search-number,evaluation,evals-requested-so-far,number_of_agents*,number_of_opinion_dimensions*,model*,boundary_mean*,set-seed?*,avoid_seed_control?*,boundary_distribution*,conformity_mean*,conformity_distribution*,boundary_std*,network_type*,scale_free_degree*,scale_free_selection-mu*,scale_free_selection-sigma*,scale_free_selection-distribution*,media_house_distribution*,number_of_media_houses*,media_house_distribution_normal_mean*,media_house_distribution_normal_std*,opinion_distribution*,opinion_mean*,opinion_std*,save_end_sim_data*,endsimdirectory*,use_media_influence_factor?*,media_influence_factor*,silence_alpha*,silence_tau*,silence_delta0*,classify_proponents_by_boundary?*,use_silence?*,random-seed,min-result,max-result,mean-result,stdev-result,final-step-result,triplet_id,triplet_mean,triplet_std,triplet_range
1,11,180,1000,1,"""HK""",0.13,False,True,"""normal""",1,"""constant""",0.3,"""Scale-free""",4,0.0,-0.5,"""uniform""","""deterministic-normal""",45,0.9000000000000001,0.4,"""normal""",0.4000000000000001,1.0,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,1.0,0.6000000000000001,1,0.8,False,False,"""-1526183740""",0.6957198313651501,0.6957198313651501,0.6957198313651501,0,0.6957198313651501,3,0.6954706333779107,0.01249493543285186,0.03060317254658884
1,12,180,1000,1,"""HK""",0.13,False,True,"""normal""",1,"""constant""",0.3,"""Scale-free""",4,0.0,-0.5,"""uniform""","""deterministic-normal""",45,0.9000000000000001,0.4,"""normal""",0.4000000000000001,1.0,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,1.0,0.6000000000000001,1,0.8,False,False,"""-723658037""",0.6800444481109965,0.6800444481109965,0.6800444481109965,0,0.6800444481109965,3,0.6954706333779107,0.01249493543285186,0.03060317254658884
1,13,180,1000,1,"""HK""",0.16,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",2,0.1,0.4000000000000001,"""uniform""","""deterministic-normal""",30,-1.0,0.8,"""normal""",-0.2999999999999999,0.1,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.1,0.8,5,0.5,True,False,"""-1998184123""",0.7979069026583404,0.7979069026583404,0.7979069026583404,0,0.7979069026583404,4,0.7979069026583404,0.0,0.0
1,14,180,1000,1,"""HK""",0.16,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",2,0.1,0.4000000000000001,"""uniform""","""deterministic-normal""",30,-1.0,0.8,"""normal""",-0.2999999999999999,0.1,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.1,0.8,5,0.5,True,False,"""-1628377823""",0.7979069026583404,0.7979069026583404,0.7979069026583404,0,0.7979069026583404,4,0.7979069026583404,0.0,0.0
1,15,180,1000,1,"""HK""",0.16,False,True,"""normal""",1,"""constant""",0.0,"""Scale-free""",2,0.1,0.4000000000000001,"""uniform""","""deterministic-normal""",30,-1.0,0.8,"""normal""",-0.2999999999999999,0.1,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.1,0.8,5,0.5,True,False,"""-1135538621""",0.7979069026583404,0.7979069026583404,0.7979069026583404,0,0.7979069026583404,4,0.7979069026583404,0.0,0.0
1,16,180,1000,1,"""HK""",0.16,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",1,0.0,0.4000000000000001,"""uniform""","""deterministic-normal""",25,-0.3999999999999999,0.4,"""normal""",-1.0,0.7000000000000001,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.0,0.2,0,-0.8,False,False,"""304697700""",0.8472035345702276,0.8472035345702276,0.8472035345702276,0,0.8472035345702276,5,0.8504123493730713,0.007070098350538916,0.016402081172854577
1,17,180,1000,1,"""HK""",0.16,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",1,0.0,0.4000000000000001,"""uniform""","""deterministic-normal""",25,-0.3999999999999999,0.4,"""normal""",-1.0,0.7000000000000001,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.0,0.2,0,-0.8,False,False,"""1619890707""",0.8602177973609205,0.8602177973609205,0.8602177973609205,0,0.8602177973609205,5,0.8504123493730713,0.007070098350538916,0.016402081172854577
1,18,180,1000,1,"""HK""",0.16,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",1,0.0,0.4000000000000001,"""uniform""","""deterministic-normal""",25,-0.3999999999999999,0.4,"""normal""",-1.0,0.7000000000000001,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.0,0.2,0,-0.8,False,False,"""1507463829""",0.843815716188066,0.843815716188066,0.843815716188066,0,0.843815716188066,5,0.8504123493730713,0.007070098350538916,0.016402081172854577
1,19,180,1000,1,"""HK""",0.02,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",4,0.5,-0.0999999999999999,"""uniform""","""deterministic-normal""",50,-0.2999999999999999,0.4,"""normal""",0.9000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,0.5,5,0.1,False,False,"""-1939774637""",0.8216822108289877,0.8216822108289877,0.8216822108289877,0,0.8216822108289877,6,0.8230271903219433,0.0020526720357284998,0.004455767656437848
1,20,180,1000,1,"""HK""",0.02,False,True,"""normal""",1,"""constant""",0.2,"""Scale-free""",4,0.5,-0.0999999999999999,"""uniform""","""deterministic-normal""",50,-0.2999999999999999,0.4,"""normal""",0.9000000000000001,0.4,False,"""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""",True,0.3,0.5,5,0.1,False,False,"""-888160745""",0.82592756389664,0.82592756389664,0.82592756389664,0,0.82592756389664,6,0.8230271903219433,0.0020526720357284998,0.004455767656437848
