"search-number","evaluation","evals-requested-so-far","number_of_agents*","number_of_opinion_dimensions*","model*","boundary_mean*","set-seed?*","avoid_seed_control?*","boundary_distribution*","conformity_mean*","conformity_distribution*","boundary_std*","network_type*","scale_free_degree*","scale_free_selection-mu*","scale_free_selection-sigma*","scale_free_selection-distribution*","media_house_distribution*","number_of_media_houses*","media_house_distribution_normal_mean*","media_house_distribution_normal_std*","opinion_distribution*","opinion_mean*","opinion_std*","save_end_sim_data*","endsimdirectory*","use_media_influence_factor?*","media_influence_factor*","silence_alpha*","silence_tau*","silence_delta0*","classify_proponents_by_boundary?*","use_silence?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","11","180","1000","1","""HK""","0.13","false","true","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","4","0","-0.5","""uniform""","""deterministic-normal""","45","0.9000000000000001","0.4","""normal""","0.40000000000000013","1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","1","0.6000000000000001","1","0.8","false","false","""-1526183740""","0.6957198313651501","0.6957198313651501","0.6957198313651501","0","0.6957198313651501"
"1","12","180","1000","1","""HK""","0.13","false","true","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","4","0","-0.5","""uniform""","""deterministic-normal""","45","0.9000000000000001","0.4","""normal""","0.40000000000000013","1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","1","0.6000000000000001","1","0.8","false","false","""-723658037""","0.6800444481109965","0.6800444481109965","0.6800444481109965","0","0.6800444481109965"
"1","13","180","1000","1","""HK""","0.16","false","true","""normal""","1","""constant""","0","""Scale-free""","2","0.10000000000000009","0.40000000000000013","""uniform""","""deterministic-normal""","30","-1","0.8","""normal""","-0.29999999999999993","0.1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.1","0.8","5","0.5","true","false","""-1998184123""","0.7979069026583404","0.7979069026583404","0.7979069026583404","0","0.7979069026583404"
"1","14","180","1000","1","""HK""","0.16","false","true","""normal""","1","""constant""","0","""Scale-free""","2","0.10000000000000009","0.40000000000000013","""uniform""","""deterministic-normal""","30","-1","0.8","""normal""","-0.29999999999999993","0.1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.1","0.8","5","0.5","true","false","""-1628377823""","0.7979069026583404","0.7979069026583404","0.7979069026583404","0","0.7979069026583404"
"1","15","180","1000","1","""HK""","0.16","false","true","""normal""","1","""constant""","0","""Scale-free""","2","0.10000000000000009","0.40000000000000013","""uniform""","""deterministic-normal""","30","-1","0.8","""normal""","-0.29999999999999993","0.1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.1","0.8","5","0.5","true","false","""-1135538621""","0.7979069026583404","0.7979069026583404","0.7979069026583404","0","0.7979069026583404"
"1","16","180","1000","1","""HK""","0.16","false","true","""normal""","1","""constant""","0.2","""Scale-free""","1","0","0.40000000000000013","""uniform""","""deterministic-normal""","25","-0.3999999999999999","0.4","""normal""","-1","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0","0.2","0","-0.8","false","false","""304697700""","0.8472035345702276","0.8472035345702276","0.8472035345702276","0","0.8472035345702276"
"1","17","180","1000","1","""HK""","0.16","false","true","""normal""","1","""constant""","0.2","""Scale-free""","1","0","0.40000000000000013","""uniform""","""deterministic-normal""","25","-0.3999999999999999","0.4","""normal""","-1","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0","0.2","0","-0.8","false","false","""1619890707""","0.8602177973609205","0.8602177973609205","0.8602177973609205","0","0.8602177973609205"
"1","18","180","1000","1","""HK""","0.16","false","true","""normal""","1","""constant""","0.2","""Scale-free""","1","0","0.40000000000000013","""uniform""","""deterministic-normal""","25","-0.3999999999999999","0.4","""normal""","-1","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0","0.2","0","-0.8","false","false","""1507463829""","0.843815716188066","0.843815716188066","0.843815716188066","0","0.843815716188066"
"1","19","180","1000","1","""HK""","0.02","false","true","""normal""","1","""constant""","0.2","""Scale-free""","4","0.5","-0.09999999999999998","""uniform""","""deterministic-normal""","50","-0.29999999999999993","0.4","""normal""","0.9000000000000001","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","0.5","5","0.10000000000000009","false","false","""-1939774637""","0.8216822108289877","0.8216822108289877","0.8216822108289877","0","0.8216822108289877"
"1","20","180","1000","1","""HK""","0.02","false","true","""normal""","1","""constant""","0.2","""Scale-free""","4","0.5","-0.09999999999999998","""uniform""","""deterministic-normal""","50","-0.29999999999999993","0.4","""normal""","0.9000000000000001","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step7""","true","0.30000000000000004","0.5","5","0.10000000000000009","false","false","""-888160745""","0.82592756389664","0.82592756389664","0.82592756389664","0","0.82592756389664"
