"search-number","evaluation","evals-requested-so-far","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","hk-benchmark?*","max-ticks*","n-agents*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-1946178568""","0.518","0.518","0.518","0","0.518"
"1","2","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""157721705""","0.66","0.66","0.66","0","0.66"
"1","3","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""772637868""","0.577","0.577","0.577","0","0.577"
"1","4","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-1854417698""","0.563","0.563","0.563","0","0.563"
"1","5","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-717044005""","0.684","0.684","0.684","0","0.684"
"1","6","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1708691149""","0.774","0.774","0.774","0","0.774"
"1","7","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-413040231""","0.625","0.625","0.625","0","0.625"
"1","8","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-1491812916""","0.638","0.638","0.638","0","0.638"
"1","9","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-1229420414""","0.492","0.492","0.492","0","0.492"
"1","10","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""417475160""","0.539","0.539","0.539","0","0.539"
"1","11","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""872936417""","0.661","0.661","0.661","0","0.661"
"1","12","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-1945528485""","0.596","0.596","0.596","0","0.596"
"1","13","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""38526040""","0.715","0.715","0.715","0","0.715"
"1","14","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-401342128""","0.554","0.554","0.554","0","0.554"
"1","15","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""430954191""","0.792","0.792","0.792","0","0.792"
"1","16","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1403612034""","0.423","0.423","0.423","0","0.423"
"1","17","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-2093164151""","0.715","0.715","0.715","0","0.715"
"1","18","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""169210630""","0.595","0.595","0.595","0","0.595"
"1","19","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1628554542""","0.658","0.658","0.658","0","0.658"
"1","20","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1617823621""","0.72","0.72","0.72","0","0.72"
"1","21","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1814391415""","0.838","0.838","0.838","0","0.838"
"1","22","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""895489794""","0.551","0.551","0.551","0","0.551"
"1","23","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""944483510""","0.553","0.553","0.553","0","0.553"
"1","24","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1184046776""","0.553","0.553","0.553","0","0.553"
"1","25","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-822248131""","0.668","0.668","0.668","0","0.668"
"1","26","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-1859837606""","0.745","0.745","0.745","0","0.745"
"1","27","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-998350342""","0.6","0.6","0.6","0","0.6"
"1","28","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-1418470218""","0.592","0.592","0.592","0","0.592"
"1","29","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1622250195""","0.631","0.631","0.631","0","0.631"
"1","30","30","0.45000000000000007","""uniform""","37","0.21","0.36","""uniform""","0.3","""uniform""","""openly-listen""","0.13","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-531173441""","0.718","0.718","0.718","0","0.718"
"2","1","30","0.36","""uniform""","16","0.49","0.149","""function""","0.34","""uniform""","""openly-listen""","1.06","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1801479829""","0.275","0.275","0.275","0","0.275"
"2","2","30","0.36","""uniform""","16","0.49","0.149","""function""","0.34","""uniform""","""openly-listen""","1.06","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-2141530525""","0.154","0.154","0.154","0","0.154"
"2","3","30","0.36","""uniform""","16","0.49","0.149","""function""","0.34","""uniform""","""openly-listen""","1.06","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""1732590495""","0.288","0.288","0.288","0","0.288"
"2","4","30","0.36","""uniform""","16","0.49","0.149","""function""","0.34","""uniform""","""openly-listen""","1.06","""uniform""","""community""","true","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","3000","257","""-2063699112""","0.157","0.157","0.157","0","0.157"
