Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD
126,1,129,0.05,16,2,0.1,constant,0.9,vaguely-speak,17.6,30.2,10.1,9.2,0.485
127,1,129,0.05,16,2,0.1,constant,1,openly-listen,18.4,28.9,10.98,8.4,0.491
128,1,129,0.05,16,2,0.1,constant,1,vaguely-speak,18.4,28.9,10.98,8.4,0.491
129,1,129,0.05,16,2,0.1,uniform,0.1,openly-listen,30.4,52.1,3.58,27.4,0.532
130,1,129,0.05,16,2,0.1,uniform,0.1,vaguely-speak,34.6,45.4,4.68,20.7,0.543
131,1,129,0.05,16,2,0.1,uniform,0.5,openly-listen,27.4,44.1,4.94,19.6,0.557
132,1,129,0.05,16,2,0.1,uniform,0.5,vaguely-speak,40.3,49.1,4.02,24.3,0.54
133,1,129,0.05,16,2,0.1,uniform,0.9,openly-listen,19.3,33.8,8.22,11.5,0.487
134,1,129,0.05,16,2,0.1,uniform,0.9,vaguely-speak,37.3,47.8,4.24,23,0.529
135,1,129,0.05,16,2,0.1,uniform,1,openly-listen,15.4,28.3,11.39,8.1,0.537
136,1,129,0.05,16,2,0.1,uniform,1,vaguely-speak,37.4,48.3,4.15,23.5,0.527
137,1,129,0.05,16,2,0.2,constant,0.1,openly-listen,44.2,52.3,3.56,27.5,0.534
138,1,129,0.05,16,2,0.2,constant,0.1,vaguely-speak,44.2,52.3,3.56,27.5,0.534
139,1,129,0.05,16,2,0.2,constant,0.5,openly-listen,71.4,62.9,2.48,39.9,0.501
140,1,129,0.05,16,2,0.2,constant,0.5,vaguely-speak,71.4,62.9,2.48,39.9,0.501
141,1,129,0.05,16,2,0.2,constant,0.9,openly-listen,69.3,70.9,1.96,50.7,0.506
142,1,129,0.05,16,2,0.2,constant,0.9,vaguely-speak,69.3,70.9,1.96,50.7,0.506
143,1,129,0.05,16,2,0.2,constant,1,openly-listen,74,71.3,1.94,51.3,0.455
144,1,129,0.05,16,2,0.2,constant,1,vaguely-speak,74,71.3,1.94,51.3,0.455
145,1,129,0.05,16,2,0.2,uniform,0.1,openly-listen,35.1,54.7,3.25,30.2,0.512
146,1,129,0.05,16,2,0.2,uniform,0.1,vaguely-speak,86.1,92.8,1.15,86.7,0.444
147,1,129,0.05,16,2,0.2,uniform,0.5,openly-listen,50.2,77.7,1.63,60.9,0.514
148,1,129,0.05,16,2,0.2,uniform,0.5,vaguely-speak,97.6,98.8,1.02,98.4,0.153
149,1,129,0.05,16,2,0.2,uniform,0.9,openly-listen,36.8,61.9,2.56,38.6,0.484
150,1,129,0.05,16,2,0.2,uniform,0.9,vaguely-speak,97.6,98.8,1.02,98.4,0.169
151,1,129,0.05,16,2,0.2,uniform,1,openly-listen,34.6,54.4,3.29,29.8,0.469
152,1,129,0.05,16,2,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0.001
153,1,129,0.05,16,2,0.3,constant,0.1,openly-listen,97.6,98.8,1.02,98.4,0.137
154,1,129,0.05,16,2,0.3,constant,0.1,vaguely-speak,97.6,98.8,1.02,98.4,0.137
155,1,129,0.05,16,2,0.3,constant,0.5,openly-listen,100,99.6,1,100,0
156,1,129,0.05,16,2,0.3,constant,0.5,vaguely-speak,100,99.6,1,100,0
157,1,129,0.05,16,2,0.3,constant,0.9,openly-listen,100,99.6,1,100,0
158,1,129,0.05,16,2,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0
159,1,129,0.05,16,2,0.3,constant,1,openly-listen,100,99.6,1,100,0.001
160,1,129,0.05,16,2,0.3,constant,1,vaguely-speak,100,99.6,1,100,0.001
161,1,129,0.05,16,2,0.3,uniform,0.1,openly-listen,40.8,59.3,2.78,35.5,0.386
162,1,129,0.05,16,2,0.3,uniform,0.1,vaguely-speak,100,99.6,1,100,0
163,1,129,0.05,16,2,0.3,uniform,0.5,openly-listen,36.7,53.6,3.4,28.9,0.404
164,1,129,0.05,16,2,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0
165,1,129,0.05,16,2,0.3,uniform,0.9,openly-listen,37.5,54.5,3.28,30,0.373
166,1,129,0.05,16,2,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0
167,1,129,0.05,16,2,0.3,uniform,1,openly-listen,40.6,59.8,2.73,36.1,0.383
168,1,129,0.05,16,2,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0.001
205,1,129,0.05,64,2,0.1,constant,0.1,openly-listen,19.7,28.9,10.93,8.4,0.498
206,1,129,0.05,64,2,0.1,constant,0.1,vaguely-speak,19.7,28.9,10.93,8.4,0.498
207,1,129,0.05,64,2,0.1,constant,0.5,openly-listen,20.8,33.5,8.34,11.3,0.498
208,1,129,0.05,64,2,0.1,constant,0.5,vaguely-speak,20.8,33.5,8.34,11.3,0.498
209,1,129,0.05,64,2,0.1,constant,0.9,openly-listen,25.9,38,6.57,14.5,0.5
210,1,129,0.05,64,2,0.1,constant,0.9,vaguely-speak,25.9,38,6.57,14.5,0.5
