"search-number","evaluation","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","hk-benchmark?*","max-ticks*","n-agents*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","5","0.45000000000000007","""uniform""","37","0.21","0.6","""uniform""","0.54","""uniform""","""vaguely-speak""","0.5800000000000001","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0.047","5","0.047","0.0235"
"1","10","0.35","""uniform""","42","0.24","0.53","""uniform""","0.35000000000000003","""uniform""","""vaguely-speak""","0.76","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0.009","5","0.047","0.0235"
"1","15","0.63","""uniform""","19","0.1","0.81","""uniform""","0.09","""uniform""","""vaguely-speak""","0.41000000000000003","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0.985","5","0.985","0.947"
"1","20","0.25","""uniform""","45","0.17","0.16","""uniform""","0.72","""uniform""","""openly-listen""","0.78","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0.188","5","0.985","0.947"
"1","25","0.86","""uniform""","31","0.16","0.46","""uniform""","0.78","""uniform""","""vaguely-speak""","0.5800000000000001","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0","5","0.985","0.947"
"1","30","0.62","""uniform""","29","0.1","0.05","""uniform""","0.6","""uniform""","""openly-listen""","0.29000000000000004","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0.215","5","0.985","0.947"
"1","35","0.92","""uniform""","50","0.43","0.44","""uniform""","0.51","""uniform""","""vaguely-speak""","1.04","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0","5","0.985","0.947"
"1","40","0.99","""uniform""","19","0.35000000000000003","0.36000000000000004","""uniform""","0.26","""uniform""","""openly-listen""","0.3","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0.596","5","0.985","0.947"
"1","45","0.5","""uniform""","19","0.16","0.68","""uniform""","0.9500000000000001","""uniform""","""vaguely-speak""","0.23","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0.048","5","0.985","0.947"
"1","50","0.49","""uniform""","47","0.28","0.53","""uniform""","0.16","""uniform""","""openly-listen""","0.88","""uniform""","""link""","true","4","1.0E-5","false","true","0.8","1000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","false","1000","257","0.687","5","0.985","0.947"
