Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD,DI
1893,2,257,0.05,16,1,0.2,uniform,0.9,openly-listen,58.5,79,1.59,62.7,0.35,8.858
1894,2,257,0.05,16,1,0.2,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
1895,2,257,0.05,16,1,0.2,uniform,1,openly-listen,26,47.4,4.37,22.6,0.295,17.247
1896,2,257,0.05,16,1,0.2,uniform,1,vaguely-speak,100,99.8,1,100,0.001,0.059
1897,2,257,0.05,16,1,0.3,constant,0.5,openly-listen,100,99.8,1,100,0,0
1898,2,257,0.05,16,1,0.3,constant,0.5,vaguely-speak,100,99.8,1,100,0,0
1899,2,257,0.05,16,1,0.3,constant,0.9,openly-listen,100,99.8,1,100,0,0
1900,2,257,0.05,16,1,0.3,constant,0.9,vaguely-speak,100,99.8,1,100,0,0
1901,2,257,0.05,16,1,0.3,constant,1,openly-listen,100,99.8,1,100,0.001,0.049
1902,2,257,0.05,16,1,0.3,constant,1,vaguely-speak,100,99.8,1,100,0.001,0.049
1903,2,257,0.05,16,1,0.3,uniform,0.5,openly-listen,70.9,89.7,1.24,80.8,0.308,6.844
1904,2,257,0.05,16,1,0.3,uniform,0.5,vaguely-speak,100,99.8,1,100,0,0
1905,2,257,0.05,16,1,0.3,uniform,0.9,openly-listen,51.5,75.3,1.75,56.9,0.257,9.331
1906,2,257,0.05,16,1,0.3,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
1907,2,257,0.05,16,1,0.3,uniform,1,openly-listen,38.1,62.9,2.5,39.7,0.269,12.354
1908,2,257,0.05,16,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0.001,0.07
1945,2,257,0.05,64,1,0.1,constant,0.5,openly-listen,43.3,50.1,3.93,25.2,0.489,31.588
1946,2,257,0.05,64,1,0.1,constant,0.5,vaguely-speak,43.3,50.1,3.93,25.2,0.489,31.588
1947,2,257,0.05,64,1,0.1,constant,0.9,openly-listen,40.8,49.8,3.96,24.9,0.476,30.727
1948,2,257,0.05,64,1,0.1,constant,0.9,vaguely-speak,40.8,49.8,3.96,24.9,0.476,30.727
1949,2,257,0.05,64,1,0.1,constant,1,openly-listen,41.9,49.9,3.95,25,0.472,30.557
1950,2,257,0.05,64,1,0.1,constant,1,vaguely-speak,41.9,49.9,3.95,25,0.472,30.557
1951,2,257,0.05,64,1,0.1,uniform,0.5,openly-listen,71.3,90.9,1.21,82.9,0.326,6.422
1952,2,257,0.05,64,1,0.1,uniform,0.5,vaguely-speak,76.9,72.4,1.89,52.6,0.45,21.363
1953,2,257,0.05,64,1,0.1,uniform,0.9,openly-listen,67.2,73.7,1.83,54.5,0.63,27.959
1954,2,257,0.05,64,1,0.1,uniform,0.9,vaguely-speak,54.4,57.6,2.98,33.3,0.42,25.352
1955,2,257,0.05,64,1,0.1,uniform,1,openly-listen,45.9,63.6,2.45,40.6,0.521,27.212
1956,2,257,0.05,64,1,0.1,uniform,1,vaguely-speak,77,74,1.81,55,0.434,19.647
1957,2,257,0.05,64,1,0.2,constant,0.5,openly-listen,76.9,71.8,1.92,51.8,0.456,21.988
1958,2,257,0.05,64,1,0.2,constant,0.5,vaguely-speak,76.9,71.8,1.92,51.8,0.456,21.988
1959,2,257,0.05,64,1,0.2,constant,0.9,openly-listen,76.9,71.2,1.96,50.8,0.383,18.826
1960,2,257,0.05,64,1,0.2,constant,0.9,vaguely-speak,76.9,71.2,1.96,50.8,0.383,18.826
1961,2,257,0.05,64,1,0.2,constant,1,openly-listen,76.9,71.3,1.95,51.1,0.393,19.22
1962,2,257,0.05,64,1,0.2,constant,1,vaguely-speak,76.9,71.3,1.95,51.1,0.393,19.22
1963,2,257,0.05,64,1,0.2,uniform,0.5,openly-listen,87,95.9,1.08,92.4,0.172,2.357
1964,2,257,0.05,64,1,0.2,uniform,0.5,vaguely-speak,100,99.8,1,100,0,0
1965,2,257,0.05,64,1,0.2,uniform,0.9,openly-listen,73.1,89.8,1.23,81,0.296,6.298
1966,2,257,0.05,64,1,0.2,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
1967,2,257,0.05,64,1,0.2,uniform,1,openly-listen,58.9,80,1.55,64.2,0.219,8.435
1968,2,257,0.05,64,1,0.2,uniform,1,vaguely-speak,100,99.8,1,100,0,0
1969,2,257,0.05,64,1,0.3,constant,0.5,openly-listen,100,99.8,1,100,0,0
1970,2,257,0.05,64,1,0.3,constant,0.5,vaguely-speak,100,99.8,1,100,0,0
1971,2,257,0.05,64,1,0.3,constant,0.9,openly-listen,100,99.8,1,100,0,0
1972,2,257,0.05,64,1,0.3,constant,0.9,vaguely-speak,100,99.8,1,100,0,0
1973,2,257,0.05,64,1,0.3,constant,1,openly-listen,100,99.8,1,100,0.001,0.025
1974,2,257,0.05,64,1,0.3,constant,1,vaguely-speak,100,99.8,1,100,0.001,0.025
1975,2,257,0.05,64,1,0.3,uniform,0.5,openly-listen,78,91.8,1.18,84.7,0.152,3.875
1976,2,257,0.05,64,1,0.3,uniform,0.5,vaguely-speak,100,99.8,1,100,0,0
1977,2,257,0.05,64,1,0.3,uniform,0.9,openly-listen,57.1,80.7,1.53,65.3,0.284,10.945
1978,2,257,0.05,64,1,0.3,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
1979,2,257,0.05,64,1,0.3,uniform,1,openly-listen,56.5,80.6,1.53,65.2,0.259,10.202
1980,2,257,0.05,64,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0,0
2017,2,257,0.25,4,1,0.1,constant,0.5,openly-listen,15.5,45.3,4.79,20.6,0.482,31.777
2018,2,257,0.25,4,1,0.1,constant,0.5,vaguely-speak,15.5,45.3,4.79,20.6,0.482,31.777
2019,2,257,0.25,4,1,0.1,constant,0.9,openly-listen,18.5,45.9,4.66,21.1,0.475,31.253
2020,2,257,0.25,4,1,0.1,constant,0.9,vaguely-speak,18.5,45.9,4.66,21.1,0.475,31.253
2021,2,257,0.25,4,1,0.1,constant,1,openly-listen,29.2,55.9,3.16,31.4,0.495,29.228
2022,2,257,0.25,4,1,0.1,constant,1,vaguely-speak,29.2,55.9,3.16,31.4,0.495,29.228
2023,2,257,0.25,4,1,0.1,uniform,0.5,openly-listen,38.5,56.3,3.12,31.8,0.408,24.435
2024,2,257,0.25,4,1,0.1,uniform,0.5,vaguely-speak,32.1,54,3.39,29.2,0.485,29.409
2025,2,257,0.25,4,1,0.1,uniform,0.9,openly-listen,66.6,70.5,1.99,50,0.305,14.716
2026,2,257,0.25,4,1,0.1,uniform,0.9,vaguely-speak,37.4,52.7,3.55,27.9,0.465,29.078
2027,2,257,0.25,4,1,0.1,uniform,1,openly-listen,26,63.5,2.45,40.5,0.677,35.089
2028,2,257,0.25,4,1,0.1,uniform,1,vaguely-speak,65.7,84.3,1.4,71.3,0.387,11.826
2029,2,257,0.25,4,1,0.2,constant,0.5,openly-listen,81,92.9,1.15,86.7,0.293,5.672
2030,2,257,0.25,4,1,0.2,constant,0.5,vaguely-speak,81,92.9,1.15,86.7,0.293,5.672
2031,2,257,0.25,4,1,0.2,constant,0.9,openly-listen,87.2,95.6,1.09,91.7,0.244,3.646
2032,2,257,0.25,4,1,0.2,constant,0.9,vaguely-speak,87.2,95.6,1.09,91.7,0.244,3.646
2033,2,257,0.25,4,1,0.2,constant,1,openly-listen,83.6,94.4,1.12,89.4,0.237,3.97
2034,2,257,0.25,4,1,0.2,constant,1,vaguely-speak,83.6,94.4,1.12,89.4,0.237,3.97
2035,2,257,0.25,4,1,0.2,uniform,0.5,openly-listen,77,91.8,1.18,84.5,0.182,3.851
2036,2,257,0.25,4,1,0.2,uniform,0.5,vaguely-speak,82.3,92.9,1.15,86.6,0.288,5.541
2037,2,257,0.25,4,1,0.2,uniform,0.9,openly-listen,60.3,85.9,1.35,74.1,0.49,13.793
2038,2,257,0.25,4,1,0.2,uniform,0.9,vaguely-speak,89.2,96.3,1.07,93.1,0.227,3.045
2039,2,257,0.25,4,1,0.2,uniform,1,openly-listen,30.3,58.9,2.85,34.8,0.347,16.004
2040,2,257,0.25,4,1,0.2,uniform,1,vaguely-speak,84.8,94.8,1.11,90.2,0.243,3.991
2041,2,257,0.25,4,1,0.3,constant,0.5,openly-listen,94.3,98.3,1.03,96.9,0.15,1.336
2042,2,257,0.25,4,1,0.3,constant,0.5,vaguely-speak,94.3,98.3,1.03,96.9,0.15,1.336
2043,2,257,0.25,4,1,0.3,constant,0.9,openly-listen,92.2,97.1,1.06,94.6,0.178,2.102
2044,2,257,0.25,4,1,0.3,constant,0.9,vaguely-speak,92.2,97.1,1.06,94.6,0.178,2.102
2045,2,257,0.25,4,1,0.3,constant,1,openly-listen,98.5,99.4,1.01,99.2,0.079,0.385
2046,2,257,0.25,4,1,0.3,constant,1,vaguely-speak,98.5,99.4,1.01,99.2,0.079,0.385
2047,2,257,0.25,4,1,0.3,uniform,0.5,openly-listen,69.5,87.7,1.29,77.3,0.178,5
2048,2,257,0.25,4,1,0.3,uniform,0.5,vaguely-speak,100,99.8,1,100,0,0
2049,2,257,0.25,4,1,0.3,uniform,0.9,openly-listen,56.7,80.5,1.53,65,0.328,9.274
2050,2,257,0.25,4,1,0.3,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
2051,2,257,0.25,4,1,0.3,uniform,1,openly-listen,27.2,48.6,4.16,23.7,0.299,16.509
2052,2,257,0.25,4,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0.001,0.044
2089,2,257,0.25,16,1,0.1,constant,0.5,openly-listen,41.8,50.1,3.92,25.2,0.493,31.793
2090,2,257,0.25,16,1,0.1,constant,0.5,vaguely-speak,41.8,50.1,3.92,25.2,0.493,31.793
2091,2,257,0.25,16,1,0.1,constant,0.9,openly-listen,41.9,50.3,3.9,25.4,0.48,30.866
2092,2,257,0.25,16,1,0.1,constant,0.9,vaguely-speak,41.9,50.3,3.9,25.4,0.48,30.866
2093,2,257,0.25,16,1,0.1,constant,1,openly-listen,40.1,49.8,3.97,24.9,0.476,30.851
2094,2,257,0.25,16,1,0.1,constant,1,vaguely-speak,40.1,49.8,3.97,24.9,0.476,30.851
2095,2,257,0.25,16,1,0.1,uniform,0.5,openly-listen,54,67.2,2.2,45.3,0.685,36.004
2096,2,257,0.25,16,1,0.1,uniform,0.5,vaguely-speak,54.7,60.9,2.67,37.3,0.449,25.08
2097,2,257,0.25,16,1,0.1,uniform,0.9,openly-listen,51.6,69.3,2.07,48.2,0.693,33.956
2098,2,257,0.25,16,1,0.1,uniform,0.9,vaguely-speak,56.7,61.2,2.65,37.5,0.424,24.061
2099,2,257,0.25,16,1,0.1,uniform,1,openly-listen,67.4,88.6,1.27,78.7,0.409,8.523
2100,2,257,0.25,16,1,0.1,uniform,1,vaguely-speak,64.3,70.4,2,49.7,0.403,20.196
2101,2,257,0.25,16,1,0.2,constant,0.5,openly-listen,76.9,70.4,2,49.8,0.4,20.053
2102,2,257,0.25,16,1,0.2,constant,0.5,vaguely-speak,76.9,70.4,2,49.8,0.4,20.053
2103,2,257,0.25,16,1,0.2,constant,0.9,openly-listen,100,99.8,1,100,0,0
2104,2,257,0.25,16,1,0.2,constant,0.9,vaguely-speak,100,99.8,1,100,0,0
2105,2,257,0.25,16,1,0.2,constant,1,openly-listen,76.9,70.6,1.99,50.1,0.392,19.609
2106,2,257,0.25,16,1,0.2,constant,1,vaguely-speak,76.9,70.6,1.99,50.1,0.392,19.609
2107,2,257,0.25,16,1,0.2,uniform,0.5,openly-listen,91.2,97.5,1.05,95.4,0.206,2.356
2108,2,257,0.25,16,1,0.2,uniform,0.5,vaguely-speak,98.5,99.4,1.01,99.2,0.071,0.312
2109,2,257,0.25,16,1,0.2,uniform,0.9,openly-listen,63.3,84.7,1.39,72.1,0.561,16.698
2110,2,257,0.25,16,1,0.2,uniform,0.9,vaguely-speak,98.5,99.4,1.01,99.2,0.086,0.379
2111,2,257,0.25,16,1,0.2,uniform,1,openly-listen,59.2,84,1.41,70.9,0.483,14.36
2112,2,257,0.25,16,1,0.2,uniform,1,vaguely-speak,98.5,99.4,1.01,99.2,0.086,0.407
2113,2,257,0.25,16,1,0.3,constant,0.5,openly-listen,100,99.8,1,100,0,0
2114,2,257,0.25,16,1,0.3,constant,0.5,vaguely-speak,100,99.8,1,100,0,0
2115,2,257,0.25,16,1,0.3,constant,0.9,openly-listen,100,99.8,1,100,0,0
2116,2,257,0.25,16,1,0.3,constant,0.9,vaguely-speak,100,99.8,1,100,0,0
2117,2,257,0.25,16,1,0.3,constant,1,openly-listen,100,99.8,1,100,0,0
2118,2,257,0.25,16,1,0.3,constant,1,vaguely-speak,100,99.8,1,100,0,0
2119,2,257,0.25,16,1,0.3,uniform,0.5,openly-listen,84.1,95.2,1.1,90.9,0.183,3.574
2120,2,257,0.25,16,1,0.3,uniform,0.5,vaguely-speak,100,99.8,1,100,0,0
2121,2,257,0.25,16,1,0.3,uniform,0.9,openly-listen,83.6,95,1.1,90.6,0.166,3.769
2122,2,257,0.25,16,1,0.3,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
2123,2,257,0.25,16,1,0.3,uniform,1,openly-listen,46.9,73.2,1.85,53.8,0.265,11.39
2124,2,257,0.25,16,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0,0.024
2161,2,257,0.25,64,1,0.1,constant,0.5,openly-listen,56.1,60,2.75,36.2,0.486,28.242
2162,2,257,0.25,64,1,0.1,constant,0.5,vaguely-speak,56.1,60,2.75,36.2,0.486,28.242
2163,2,257,0.25,64,1,0.1,constant,0.9,openly-listen,42,49.9,3.96,25,0.473,30.573
2164,2,257,0.25,64,1,0.1,constant,0.9,vaguely-speak,42,49.9,3.96,25,0.473,30.573
2165,2,257,0.25,64,1,0.1,constant,1,openly-listen,41.9,50,3.94,25.1,0.47,30.366
2166,2,257,0.25,64,1,0.1,constant,1,vaguely-speak,41.9,50,3.94,25.1,0.47,30.366
2167,2,257,0.25,64,1,0.1,uniform,0.5,openly-listen,78.2,91.8,1.18,84.7,0.149,3.31
2168,2,257,0.25,64,1,0.1,uniform,0.5,vaguely-speak,76.9,72.9,1.87,53.4,0.434,20.261
2169,2,257,0.25,64,1,0.1,uniform,0.9,openly-listen,55.2,68.6,2.11,47.2,0.574,28.121
2170,2,257,0.25,64,1,0.1,uniform,0.9,vaguely-speak,54.4,57.7,2.97,33.4,0.437,26.268
2171,2,257,0.25,64,1,0.1,uniform,1,openly-listen,44.2,63.2,2.48,40.1,0.474,25.025
2172,2,257,0.25,64,1,0.1,uniform,1,vaguely-speak,54.3,57.5,2.99,33.2,0.42,25.294
2173,2,257,0.25,64,1,0.2,constant,0.5,openly-listen,76.9,70.5,2,49.8,0.355,17.781
2174,2,257,0.25,64,1,0.2,constant,0.5,vaguely-speak,76.9,70.5,2,49.8,0.355,17.781
2175,2,257,0.25,64,1,0.2,constant,0.9,openly-listen,76.9,71.3,1.95,51.1,0.364,17.806
2176,2,257,0.25,64,1,0.2,constant,0.9,vaguely-speak,76.9,71.3,1.95,51.1,0.364,17.806
2177,2,257,0.25,64,1,0.2,constant,1,openly-listen,76.9,71.4,1.95,51.2,0.369,18.028
2178,2,257,0.25,64,1,0.2,constant,1,vaguely-speak,76.9,71.4,1.95,51.2,0.369,18.028
2179,2,257,0.25,64,1,0.2,uniform,0.5,openly-listen,80.6,93.2,1.14,87.3,0.202,3.696
2180,2,257,0.25,64,1,0.2,uniform,0.5,vaguely-speak,100,99.8,1,100,0,0
2181,2,257,0.25,64,1,0.2,uniform,0.9,openly-listen,81.2,93.8,1.13,88.3,0.163,2.946
2182,2,257,0.25,64,1,0.2,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
2183,2,257,0.25,64,1,0.2,uniform,1,openly-listen,76.4,92.4,1.17,85.7,0.265,4.948
2184,2,257,0.25,64,1,0.2,uniform,1,vaguely-speak,100,99.8,1,100,0,0
2185,2,257,0.25,64,1,0.3,constant,0.5,openly-listen,100,99.8,1,100,0,0
2186,2,257,0.25,64,1,0.3,constant,0.5,vaguely-speak,100,99.8,1,100,0,0
2187,2,257,0.25,64,1,0.3,constant,0.9,openly-listen,100,99.8,1,100,0,0
2188,2,257,0.25,64,1,0.3,constant,0.9,vaguely-speak,100,99.8,1,100,0,0
2189,2,257,0.25,64,1,0.3,constant,1,openly-listen,100,99.8,1,100,0,0
2190,2,257,0.25,64,1,0.3,constant,1,vaguely-speak,100,99.8,1,100,0,0
2191,2,257,0.25,64,1,0.3,uniform,0.5,openly-listen,73.2,88.8,1.26,79.1,0.197,5.605
2192,2,257,0.25,64,1,0.3,uniform,0.5,vaguely-speak,100,99.8,1,100,0,0
2193,2,257,0.25,64,1,0.3,uniform,0.9,openly-listen,79.6,91.8,1.18,84.5,0.131,2.913
2194,2,257,0.25,64,1,0.3,uniform,0.9,vaguely-speak,100,99.8,1,100,0,0
2195,2,257,0.25,64,1,0.3,uniform,1,openly-listen,55.6,79.3,1.58,63.1,0.273,11.087
2196,2,257,0.25,64,1,0.3,uniform,1,vaguely-speak,100,99.8,1,100,0,0
2233,2,513,0.05,4,1,0.1,constant,0.5,openly-listen,6.7,33.3,8.85,11.1,0.476,33.395
2234,2,513,0.05,4,1,0.1,constant,0.5,vaguely-speak,6.7,33.3,8.85,11.1,0.476,33.395
2235,2,513,0.05,4,1,0.1,constant,0.9,openly-listen,7.1,33.9,8.53,11.5,0.475,33.092
2236,2,513,0.05,4,1,0.1,constant,0.9,vaguely-speak,7.1,33.9,8.53,11.5,0.475,33.092
2237,2,513,0.05,4,1,0.1,constant,1,openly-listen,7.3,34.2,8.42,11.7,0.472,32.917
2238,2,513,0.05,4,1,0.1,constant,1,vaguely-speak,7.3,34.2,8.42,11.7,0.472,32.917
2239,2,513,0.05,4,1,0.1,uniform,0.5,openly-listen,23.8,57.1,3.05,32.6,0.612,34.271
2240,2,513,0.05,4,1,0.1,uniform,0.5,vaguely-speak,10.1,42.1,5.58,17.8,0.491,32.652
2241,2,513,0.05,4,1,0.1,uniform,0.9,openly-listen,20.5,55.5,3.23,30.9,0.571,32.695
2242,2,513,0.05,4,1,0.1,uniform,0.9,vaguely-speak,11.3,41.9,5.63,17.6,0.468,30.69
2243,2,513,0.05,4,1,0.1,uniform,1,openly-listen,14.8,53.2,3.51,28.4,0.597,34.063
2244,2,513,0.05,4,1,0.1,uniform,1,vaguely-speak,8.3,36.8,7.3,13.5,0.47,32.251
2245,2,513,0.05,4,1,0.2,constant,0.5,openly-listen,45.6,62.8,2.52,39.6,0.419,23.039
2246,2,513,0.05,4,1,0.2,constant,0.5,vaguely-speak,45.6,62.8,2.52,39.6,0.419,23.039
2247,2,513,0.05,4,1,0.2,constant,0.9,openly-listen,61,83.7,1.42,70.2,0.374,11.512
2248,2,513,0.05,4,1,0.2,constant,0.9,vaguely-speak,61,83.7,1.42,70.2,0.374,11.512
2249,2,513,0.05,4,1,0.2,constant,1,openly-listen,62,84.1,1.41,70.8,0.354,11.089
2250,2,513,0.05,4,1,0.2,constant,1,vaguely-speak,62,84.1,1.41,70.8,0.354,11.089
2251,2,513,0.05,4,1,0.2,uniform,0.5,openly-listen,53.7,72.5,1.89,52.7,0.206,7.741
2252,2,513,0.05,4,1,0.2,uniform,0.5,vaguely-speak,80.8,93.7,1.14,88,0.294,5.319
2253,2,513,0.05,4,1,0.2,uniform,0.9,openly-listen,51,74.8,1.78,56.1,0.265,8.721
2254,2,513,0.05,4,1,0.2,uniform,0.9,vaguely-speak,88.4,96.4,1.07,93.1,0.223,3.006
2255,2,513,0.05,4,1,0.2,uniform,1,openly-listen,18.6,38.3,6.72,14.7,0.335,22.084
2256,2,513,0.05,4,1,0.2,uniform,1,vaguely-speak,82.1,94.1,1.13,88.7,0.274,5.124
2257,2,513,0.05,4,1,0.3,constant,0.5,openly-listen,86,95.4,1.1,91.3,0.227,3.444
2258,2,513,0.05,4,1,0.3,constant,0.5,vaguely-speak,86,95.4,1.1,91.3,0.227,3.444
2259,2,513,0.05,4,1,0.3,constant,0.9,openly-listen,89.1,96.8,1.07,93.9,0.198,2.525
2260,2,513,0.05,4,1,0.3,constant,0.9,vaguely-speak,89.1,96.8,1.07,93.9,0.198,2.525
2261,2,513,0.05,4,1,0.3,constant,1,openly-listen,91.7,97.6,1.05,95.4,0.181,2.195
2262,2,513,0.05,4,1,0.3,constant,1,vaguely-speak,91.7,97.6,1.05,95.4,0.181,2.195
2263,2,513,0.05,4,1,0.3,uniform,0.5,openly-listen,37.1,56.1,3.15,31.6,0.219,12.139
2264,2,513,0.05,4,1,0.3,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
2265,2,513,0.05,4,1,0.3,uniform,0.9,openly-listen,41.5,66.5,2.25,44.3,0.282,11.106
2266,2,513,0.05,4,1,0.3,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0.024
2267,2,513,0.05,4,1,0.3,uniform,1,openly-listen,24.3,42.3,5.52,17.9,0.29,18.391
2268,2,513,0.05,4,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0.005,0.319
2305,2,513,0.05,16,1,0.1,constant,0.5,openly-listen,37.6,49.8,4.01,24.8,0.477,30.571
2306,2,513,0.05,16,1,0.1,constant,0.5,vaguely-speak,37.6,49.8,4.01,24.8,0.477,30.571
2307,2,513,0.05,16,1,0.1,constant,0.9,openly-listen,52.7,58.6,2.89,34.4,0.477,28.38
2308,2,513,0.05,16,1,0.1,constant,0.9,vaguely-speak,52.7,58.6,2.89,34.4,0.477,28.38
2309,2,513,0.05,16,1,0.1,constant,1,openly-listen,53.5,58.9,2.87,34.7,0.489,28.978
2310,2,513,0.05,16,1,0.1,constant,1,vaguely-speak,53.5,58.9,2.87,34.7,0.489,28.978
2311,2,513,0.05,16,1,0.1,uniform,0.5,openly-listen,45,70.6,2,49.9,0.359,16.939
2312,2,513,0.05,16,1,0.1,uniform,0.5,vaguely-speak,54.1,61.1,2.66,37.4,0.472,26.832
2313,2,513,0.05,16,1,0.1,uniform,0.9,openly-listen,55.6,80.6,1.54,65,0.346,9.837
2314,2,513,0.05,16,1,0.1,uniform,0.9,vaguely-speak,58.5,63.8,2.44,40.8,0.461,25.394
2315,2,513,0.05,16,1,0.1,uniform,1,openly-listen,25.8,54.8,3.31,30.1,0.481,29.017
2316,2,513,0.05,16,1,0.1,uniform,1,vaguely-speak,74.5,70.6,2,50,0.421,21.017
2317,2,513,0.05,16,1,0.2,constant,0.5,openly-listen,100,99.9,1,100,0,0
2318,2,513,0.05,16,1,0.2,constant,0.5,vaguely-speak,100,99.9,1,100,0,0
2319,2,513,0.05,16,1,0.2,constant,0.9,openly-listen,76.9,71.1,1.97,50.7,0.384,18.996
2320,2,513,0.05,16,1,0.2,constant,0.9,vaguely-speak,76.9,71.1,1.97,50.7,0.384,18.996
2321,2,513,0.05,16,1,0.2,constant,1,openly-listen,100,99.9,1,100,0.001,0.05
2322,2,513,0.05,16,1,0.2,constant,1,vaguely-speak,100,99.9,1,100,0.001,0.05
2323,2,513,0.05,16,1,0.2,uniform,0.5,openly-listen,68.1,88,1.29,77.6,0.246,6.01
2324,2,513,0.05,16,1,0.2,uniform,0.5,vaguely-speak,97.6,99.3,1.01,98.8,0.093,0.505
2325,2,513,0.05,16,1,0.2,uniform,0.9,openly-listen,58.9,85,1.38,72.4,0.448,13.199
2326,2,513,0.05,16,1,0.2,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
2327,2,513,0.05,16,1,0.2,uniform,1,openly-listen,57.4,82.5,1.46,68.2,0.411,11.582
2328,2,513,0.05,16,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0.001,0.061
2329,2,513,0.05,16,1,0.3,constant,0.5,openly-listen,100,99.9,1,100,0,0
2330,2,513,0.05,16,1,0.3,constant,0.5,vaguely-speak,100,99.9,1,100,0,0
2331,2,513,0.05,16,1,0.3,constant,0.9,openly-listen,100,99.9,1,100,0,0
2332,2,513,0.05,16,1,0.3,constant,0.9,vaguely-speak,100,99.9,1,100,0,0
2333,2,513,0.05,16,1,0.3,constant,1,openly-listen,100,99.9,1,100,0.001,0.061
2334,2,513,0.05,16,1,0.3,constant,1,vaguely-speak,100,99.9,1,100,0.001,0.061
2335,2,513,0.05,16,1,0.3,uniform,0.5,openly-listen,48.9,67.7,2.17,46,0.269,9.44
2336,2,513,0.05,16,1,0.3,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
2337,2,513,0.05,16,1,0.3,uniform,0.9,openly-listen,55.5,76.1,1.72,58,0.251,8.053
2338,2,513,0.05,16,1,0.3,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
2339,2,513,0.05,16,1,0.3,uniform,1,openly-listen,31.8,52.6,3.59,27.7,0.266,14.292
2340,2,513,0.05,16,1,0.3,uniform,1,vaguely-speak,100,99.9,1,100,0.001,0.067
2377,2,513,0.05,64,1,0.1,constant,0.5,openly-listen,38.6,52.1,3.66,27.2,0.471,29.72
2378,2,513,0.05,64,1,0.1,constant,0.5,vaguely-speak,38.6,52.1,3.66,27.2,0.471,29.72
2379,2,513,0.05,64,1,0.1,constant,0.9,openly-listen,38.9,50.6,3.87,25.7,0.467,29.979
2380,2,513,0.05,64,1,0.1,constant,0.9,vaguely-speak,38.9,50.6,3.87,25.7,0.467,29.979
2381,2,513,0.05,64,1,0.1,constant,1,openly-listen,37.4,51,3.82,26.1,0.461,29.331
2382,2,513,0.05,64,1,0.1,constant,1,vaguely-speak,37.4,51,3.82,26.1,0.461,29.331
2383,2,513,0.05,64,1,0.1,uniform,0.5,openly-listen,63,68.7,2.11,47.3,0.558,28.395
2384,2,513,0.05,64,1,0.1,uniform,0.5,vaguely-speak,76.9,70.6,2,49.9,0.468,23.441
2385,2,513,0.05,64,1,0.1,uniform,0.9,openly-listen,61.8,85.9,1.35,73.9,0.342,8.337
2386,2,513,0.05,64,1,0.1,uniform,0.9,vaguely-speak,59.4,63.7,2.45,40.7,0.447,24.536
2387,2,513,0.05,64,1,0.1,uniform,1,openly-listen,46.7,64,2.43,41.1,0.393,21.271
2388,2,513,0.05,64,1,0.1,uniform,1,vaguely-speak,58,62.6,2.54,39.3,0.44,24.496
2389,2,513,0.05,64,1,0.2,constant,0.5,openly-listen,76.9,70.6,2,49.9,0.433,21.69
2390,2,513,0.05,64,1,0.2,constant,0.5,vaguely-speak,76.9,70.6,2,49.9,0.433,21.69
2391,2,513,0.05,64,1,0.2,constant,0.9,openly-listen,76.9,70.7,1.99,50.1,0.418,20.874
2392,2,513,0.05,64,1,0.2,constant,0.9,vaguely-speak,76.9,70.7,1.99,50.1,0.418,20.874
2393,2,513,0.05,64,1,0.2,constant,1,openly-listen,76.9,70.8,1.99,50.2,0.415,20.701
2394,2,513,0.05,64,1,0.2,constant,1,vaguely-speak,76.9,70.8,1.99,50.2,0.415,20.701
2395,2,513,0.05,64,1,0.2,uniform,0.5,openly-listen,76.1,92.3,1.17,85.5,0.206,4.173
2396,2,513,0.05,64,1,0.2,uniform,0.5,vaguely-speak,100,99.9,1,100,0,0
2397,2,513,0.05,64,1,0.2,uniform,0.9,openly-listen,68.7,87.9,1.29,77.4,0.426,11.481
2398,2,513,0.05,64,1,0.2,uniform,0.9,vaguely-speak,100,99.9,1,100,0,0
2399,2,513,0.05,64,1,0.2,uniform,1,openly-listen,62.4,85.8,1.35,73.8,0.429,11.638
2400,2,513,0.05,64,1,0.2,uniform,1,vaguely-speak,100,99.9,1,100,0,0
2401,2,513,0.05,64,1,0.3,constant,0.5,openly-listen,100,99.9,1,100,0,0
2402,2,513,0.05,64,1,0.3,constant,0.5,vaguely-speak,100,99.9,1,100,0,0
