Sim_ID,Seed,Population,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD,DI
98,1,129,0.05,16,1,0.2,constant,0.5,vaguely-speak,92.4,96.5,1.06,93.9,0.213,2.701
99,1,129,0.05,16,1,0.2,constant,0.9,openly-listen,76.9,72.5,1.88,52.9,0.407,19.203
100,1,129,0.05,16,1,0.2,constant,0.9,vaguely-speak,76.9,72.5,1.88,52.9,0.407,19.203
101,1,129,0.05,16,1,0.2,constant,1,openly-listen,76.9,72.5,1.88,52.9,0.426,20.169
102,1,129,0.05,16,1,0.2,constant,1,vaguely-speak,76.9,72.5,1.88,52.9,0.426,20.169
103,1,129,0.05,16,1,0.2,uniform,0.5,openly-listen,94.3,98.1,1.03,96.9,0.06,1.461
104,1,129,0.05,16,1,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
105,1,129,0.05,16,1,0.2,uniform,0.9,openly-listen,78.9,91.9,1.17,85.1,0.155,4.103
106,1,129,0.05,16,1,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
107,1,129,0.05,16,1,0.2,uniform,1,openly-listen,48,75.4,1.74,57.2,0.272,10.332
108,1,129,0.05,16,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0.001,0.039
109,1,129,0.05,16,1,0.3,constant,0.5,openly-listen,97.3,98.8,1.02,98.4,0.109,0.682
110,1,129,0.05,16,1,0.3,constant,0.5,vaguely-speak,97.3,98.8,1.02,98.4,0.109,0.682
111,1,129,0.05,16,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
112,1,129,0.05,16,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
113,1,129,0.05,16,1,0.3,constant,1,openly-listen,100,99.6,1,100,0.001,0.044
114,1,129,0.05,16,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0.001,0.044
115,1,129,0.05,16,1,0.3,uniform,0.5,openly-listen,94.5,98.1,1.03,96.9,0.081,1.609
116,1,129,0.05,16,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
117,1,129,0.05,16,1,0.3,uniform,0.9,openly-listen,42.4,67.5,2.16,45.9,0.277,11.772
118,1,129,0.05,16,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
119,1,129,0.05,16,1,0.3,uniform,1,openly-listen,48.7,69.9,2.02,49.2,0.249,9.83
120,1,129,0.05,16,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0,0.024
169,1,129,0.05,64,1,0.1,constant,0.5,openly-listen,50.5,57,3,32.8,0.454,26.34
170,1,129,0.05,64,1,0.1,constant,0.5,vaguely-speak,50.5,57,3,32.8,0.454,26.34
171,1,129,0.05,64,1,0.1,constant,0.9,openly-listen,54.6,57.7,2.93,33.6,0.469,27.706
172,1,129,0.05,64,1,0.1,constant,0.9,vaguely-speak,54.6,57.7,2.93,33.6,0.469,27.706
173,1,129,0.05,64,1,0.1,constant,1,openly-listen,49.3,56.3,3.08,32,0.465,27.557
174,1,129,0.05,64,1,0.1,constant,1,vaguely-speak,49.3,56.3,3.08,32,0.465,27.557
175,1,129,0.05,64,1,0.1,uniform,0.5,openly-listen,46.6,65.9,2.26,43.8,0.501,25.346
176,1,129,0.05,64,1,0.1,uniform,0.5,vaguely-speak,77,73.7,1.82,54.7,0.432,19.638
177,1,129,0.05,64,1,0.1,uniform,0.9,openly-listen,44.2,63.6,2.42,40.8,0.429,22.336
178,1,129,0.05,64,1,0.1,uniform,0.9,vaguely-speak,77,73,1.85,53.8,0.483,22.383
179,1,129,0.05,64,1,0.1,uniform,1,openly-listen,44,64,2.4,41.3,0.406,21.271
180,1,129,0.05,64,1,0.1,uniform,1,vaguely-speak,77,73,1.85,53.8,0.477,22.128
181,1,129,0.05,64,1,0.2,constant,0.5,openly-listen,77,73.3,1.83,54.2,0.47,21.61
182,1,129,0.05,64,1,0.2,constant,0.5,vaguely-speak,77,73.3,1.83,54.2,0.47,21.61
183,1,129,0.05,64,1,0.2,constant,0.9,openly-listen,77,73,1.85,53.8,0.463,21.458
184,1,129,0.05,64,1,0.2,constant,0.9,vaguely-speak,77,73,1.85,53.8,0.463,21.458
185,1,129,0.05,64,1,0.2,constant,1,openly-listen,77,73,1.85,53.8,0.458,21.227
186,1,129,0.05,64,1,0.2,constant,1,vaguely-speak,77,73,1.85,53.8,0.458,21.227
187,1,129,0.05,64,1,0.2,uniform,0.5,openly-listen,92.5,97.3,1.05,95.4,0.155,1.491
188,1,129,0.05,64,1,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
189,1,129,0.05,64,1,0.2,uniform,0.9,openly-listen,89.7,95.8,1.08,92.4,0.332,4.701
190,1,129,0.05,64,1,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
191,1,129,0.05,64,1,0.2,uniform,1,openly-listen,86.9,95,1.1,91,0.217,3.361
