"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormationLite-Networkfree.nlogo"
"robCheck060"
"05/06/2022 11:11:16:900 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","id_threshold","opinions","boundary","conformity-level","record?","updating","set-seed?","polar_repeats","model","max-ticks","Centroids_change","boundary-drawn","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","record-length","centroid_color?","use_identity?","conformity-drawn","N_centroids","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","threshold_drawn","X-opinion","Y-opinion","[step]","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"2","51","0.39","1","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.443","0.357","-0.005574919867509292","0","0","0","0.5740126007867206","0","0","0","-0.483","0","0","0","-0.48300000000000004","0","0","0","0.11340825321500425","0","0","0"
"4","51","0.39","1","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.444","0.357","-0.0022210248568629693","0","0","0","0.5756500116056624","0","0","0","-0.48","0","0","0","-0.48","0","0","0","0.11313416895523035","0","0","0"
"6","51","0.39","1","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.414","0.388","-0.0953410852713181","0","0","0","0.5280539818540693","0","0","0","-0.5629999999999997","0","0","0","-0.563","0","0","0","0.14900000000000005","0","0","0"
"5","51","0.39","1","0.1","0.54","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.394","0.328","-0.34126846110842635","0","0","0","0.44256675612273716","0","0","0","-0.014000000000000002","0","0","0","-0.843","0","0","0","-0.01","0","0","0"
"16","51","0.39","1","0.28","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.558","0.558","0.10470170712620638","0","0","0","0.5625018191476394","0","0","0","-0.426","0","0","0","-0.42600000000000005","0","0","0","0.6952642115282546","0","0","0"
"1","51","0.39","1","0.1","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.372","0.361","0.07052977850728454","0","0","0","0.5257985710948836","0","0","0","-0.24998606526770448","0","0","0","-0.322","0","0","0","0.37193583353831206","0","0","0"
"9","51","0.39","1","0.22","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.564","0.578","-0.01871352179592051","0","0","0","0.5937652906667241","0","0","0","-0.2630000000000004","0","0","0","-0.5870000102461714","0","0","0","0.5927370143169182","0","0","0"
"15","51","0.39","1","0.28","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.612","0.613","-0.02796882600465951","0","0","0","0.6228598051375217","0","0","0","-0.5683434318999095","0","0","0","-0.6275273508869501","0","0","0","0.6198794677655732","0","0","0"
"3","51","0.39","1","0.1","0.45","false","1","true","20","HK","365","1.0E-5","uniform","1010","openly-listen","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.372","0.364","0.07669783151015215","0","0","0","0.5264437753672684","0","0","0","-0.24506717821296592","0","0","0","-0.3179999999999185","0","0","0","0.38521906364930036","0","0","0"
"8","51","0.39","1","0.22","0.36","false","1","true","20","HK","365","1.0E-5","uniform","1010","vaguely-speak","0.8","365","5","40","true","true","uniform","2","true","129","false","false","false","uniform","1","2","364","0.402","0.33","-0.07329457364341087","0","0","0","0.5781481536323104","0","0","0","-0.095","0","0","0","-0.5865","0","0","0","0.375","0","0","0","0.424","0.424","-0.024556517205483124","0","0","0","0.42966368124001697","0","0","0","-0.429","0","0","0","-0.42900000000000005","0","0","0","0.42000000000000004","0","0","0"
