"search-number","evaluation","conformity-level*","boundary*","n-agents*","opinions*","model*","avoid_seed_control?*","set-seed?*","boundary-drawn*","updating*","record-length*","max-ticks*","conformity-drawn*","centroids_change*","centroid_color?*","killing_centroids?*","polarisation-each-n-steps*","polar_repeats*","use_identity?*","esbg_furthest_out*","normalize_distances?*","show_dice_rolls?*","opinion_sigmoid?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"2","5","0.516","0.219","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.22640000000000002","30","0.30369999999999997"
"2","10","0.516","0.21700000000000003","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.33440000000000003","30","0.3280666666666667"
"2","20","0.668","0.11599999999999999","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.36360000000000003","30","0.3835333333333333"
"2","30","0.668","0.057","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.4064","30","0.41086666666666666"
"2","55","0.47100000000000003","0.044000000000000004","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.4128","30","0.41409999999999997"
"2","60","0.47100000000000003","0.042","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.4312","30","0.4092"
"2","85","0.543","0.042","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.43360000000000004","30","0.4174000000000001"
"2","110","0.29000000000000004","0.14900000000000002","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.43479999999999996","30","0.3729333333333334"
"2","160","0.42200000000000004","0.048","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.43760000000000004","30","0.4169333333333334"
"2","400","0.9660000000000001","0.119","129","1","""HK""","true","false","""constant""","1","15","365","""constant""","1.0E-5","false","true","365","50","false","5","true","false","false","5","0.47520000000000007","30","0.4027"
