"search-number","evaluation","evals-requested-so-far","n-agents*","opinions*","model*","set-seed?*","avoid_seed_control?*","conformity-level*","conformity-std*","conformity-drawn*","boundary*","boundary-std*","boundary-drawn*","mean-opinion-sigmoid-steepness*","std-opinion-sigmoid-steepness*","opinion_sigmoid?*","id_threshold*","id_threshold-std*","threshold_drawn*","mean-identity-sigmoid-xoffset*","std-identity-sigmoid-xoffset*","mean-identity-sigmoid-steepness*","std-identity-sigmoid-steepness*","identity_sigmoid?*","use_identity?*","identity_type*","identity_levels*","min_id_level*","max_id_level*","maxsteepness*","updating*","record-length*","max-ticks*","centroids_change*","centroid_color?*","killing_centroids?*","polarisation-each-n-steps*","polar_repeats*","d_threshold*","esbg_furthest_out*","normalize_distances?*","show_dice_rolls?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"42","11","15","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.656","""normal""","0.964","0","true","0.338","0.457","""normal""","0.8220000000000001","0.719","0.623","0.39","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""975674473""","0.008","0.008","0.008","0","0.008"
"42","12","15","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.656","""normal""","0.964","0","true","0.338","0.457","""normal""","0.8220000000000001","0.719","0.623","0.39","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""4737467""","0.007","0.007","0.007","0","0.007"
"42","13","15","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.656","""normal""","0.964","0","true","0.338","0.457","""normal""","0.8220000000000001","0.719","0.623","0.39","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-924525050""","0.001","0.001","0.001","0","0.001"
"42","14","15","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.656","""normal""","0.964","0","true","0.338","0.457","""normal""","0.8220000000000001","0.719","0.623","0.39","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""421499124""","0.008","0.008","0.008","0","0.008"
"42","15","15","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.656","""normal""","0.964","0","true","0.338","0.457","""normal""","0.8220000000000001","0.719","0.623","0.39","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-481400991""","0.001","0.001","0.001","0","0.001"
"42","16","20","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-78986251""","0.025","0.025","0.025","0","0.025"
"42","17","20","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-1590136734""","0.001","0.001","0.001","0","0.001"
"42","18","20","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""786893414""","0.001","0.001","0.001","0","0.001"
"42","19","20","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""1297384287""","0.035","0.035","0.035","0","0.035"
"42","20","20","129","2","""HK""","false","true","0.778","0.667","""normal""","0.633","0.714","""normal""","0.846","0","true","0.338","0.457","""normal""","0.6950000000000001","0.759","0.623","0.381","true","true","""individual""","7","0.25","0.85","700","1","15","365","1.0E-5","false","true","365","50","0.8","5","true","false","""-22250223""","0.023","0.023","0.023","0","0.023"
