"search-number","evaluation","number_of_agents*","number_of_opinion_dimensions*","model*","boundary_mean*","set-seed?*","boundary_distribution*","conformity_mean*","conformity_distribution*","boundary_std*","network_type*","scale_free_degree*","scale_free_selection-mu*","scale_free_selection-sigma*","scale_free_selection-distribution*","media_house_distribution*","number_of_media_houses*","media_house_distribution_normal_mean*","media_house_distribution_normal_std*","opinion_distribution*","opinion_mean*","opinion_std*","save_end_sim_data*","endsimdirectory*","use_media_influence_factor?*","media_influence_factor*","silence_alpha*","silence_tau*","silence_delta0*","classify_proponents_by_boundary?*","use_silence?*","fitness","num-replicates","best-fitness-so-far"
"1","4","1000","1","""HK""","0.17","false","""normal""","1","""constant""","0.5","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","5","1","0.2","""normal""","-0.19999999999999996","0.6000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.8","0.30000000000000004","2","-1","true","true","0.3366839546366579","4","0.3366839546366579"
"1","8","1000","1","""HK""","0.060000000000000005","false","""normal""","1","""constant""","0.2","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","10","-0.7","0.6000000000000001","""normal""","-0.29999999999999993","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.6000000000000001","1","4","-0.9","true","true","0.1464121140693792","4","0.1464121140693792"
"1","12","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0.4","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","35","-0.7","0","""normal""","1","0.7000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.4","0","-0.9","true","true","0.34022115667469194","4","0.1464121140693792"
"1","16","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","40","-0.3999999999999999","0.2","""normal""","0","0.6000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","7","0.10000000000000009","true","true","0.1262449436550611","4","0.1262449436550611"
"1","20","1000","1","""HK""","0.24000000000000002","false","""normal""","1","""constant""","0.2","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","25","0","0.30000000000000004","""normal""","-0.6","0.4","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.5","0.8","7","-0.6","true","true","0.4228254444725619","4","0.1262449436550611"
"1","24","1000","1","""HK""","0.09","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","20","-0.3999999999999999","0.2","""normal""","0.30000000000000004","0.5","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.8","8","0.20000000000000018","true","true","0.24898149224050226","4","0.1262449436550611"
"1","28","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","40","-0.19999999999999996","0.5","""normal""","-1","0.30000000000000004","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.2","0.5","5","-0.19999999999999996","true","true","0.3780666517174039","4","0.1262449436550611"
"1","32","1000","1","""HK""","0.04","false","""normal""","1","""constant""","0","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","40","-0.7","0.8","""normal""","0.6000000000000001","1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.4","0","-0.19999999999999996","true","true","0.22636675864823244","4","0.1262449436550611"
"1","36","1000","1","""HK""","0.01","false","""normal""","1","""constant""","0","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","45","-0.5","0","""normal""","-1","0.1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.30000000000000004","0","5","0.20000000000000018","true","true","0.7462549457570213","4","0.1262449436550611"
"1","40","1000","1","""HK""","0.18000000000000002","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","20","-0.29999999999999993","0.7000000000000001","""normal""","0.6000000000000001","0.8","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.5","1","8","-0.29999999999999993","true","true","0.28359924938622916","4","0.1262449436550611"
"1","44","1000","1","""HK""","0.09","false","""normal""","1","""constant""","0.1","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","40","0.40000000000000013","0.30000000000000004","""normal""","-0.29999999999999993","0.5","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.4","0.8","2","0.40000000000000013","true","true","0.2039189772724798","4","0.1262449436550611"
"1","48","1000","1","""HK""","0.24000000000000002","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","45","0.30000000000000004","0.8","""normal""","0.10000000000000009","0.5","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","0.9","2","-0.5","true","true","0.3933131870485552","4","0.1262449436550611"
"1","52","1000","1","""HK""","0.01","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","10","-0.3999999999999999","0.30000000000000004","""normal""","-0.19999999999999996","0.6000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","1","0.2","10","0","true","true","0.22280180877397432","4","0.1262449436550611"
"1","56","1000","1","""HK""","0.21000000000000002","false","""normal""","1","""constant""","0.1","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","20","0.9000000000000001","0.2","""normal""","0","1","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.1","0","0.8","true","true","0.28319113146478436","4","0.1262449436550611"
