"search-number","evaluation","evals-requested-so-far","number_of_agents*","number_of_opinion_dimensions*","model*","boundary_mean*","set-seed?*","boundary_distribution*","conformity_mean*","conformity_distribution*","boundary_std*","network_type*","scale_free_degree*","scale_free_selection-mu*","scale_free_selection-sigma*","scale_free_selection-distribution*","media_house_distribution*","number_of_media_houses*","media_house_distribution_normal_mean*","media_house_distribution_normal_std*","opinion_distribution*","opinion_mean*","opinion_std*","save_end_sim_data*","endsimdirectory*","use_media_influence_factor?*","media_influence_factor*","silence_alpha*","silence_tau*","silence_delta0*","classify_proponents_by_boundary?*","use_silence?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","120","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0.4","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1212301713""","0.35538135663126835","0.35538135663126835","0.35538135663126835","0","0.35538135663126835"
"1","2","120","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0.4","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""530791920""","0.36475144588686853","0.36475144588686853","0.36475144588686853","0","0.36475144588686853"
"1","3","120","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0.4","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""186112642""","0.3515689316479754","0.3515689316479754","0.3515689316479754","0","0.3515689316479754"
"1","4","120","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0.4","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-679011462""","0.3322627787138454","0.3322627787138454","0.3322627787138454","0","0.3322627787138454"
"1","5","120","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""417042546""","0.2161036266203263","0.2161036266203263","0.2161036266203263","0","0.2161036266203263"
"1","6","120","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1659474179""","0.1749371141836253","0.1749371141836253","0.1749371141836253","0","0.1749371141836253"
"1","7","120","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""2017982414""","0.21984782415224974","0.21984782415224974","0.21984782415224974","0","0.21984782415224974"
"1","8","120","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1777468206""","0.1973746542923142","0.1973746542923142","0.1973746542923142","0","0.1973746542923142"
"1","9","120","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.2","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1962833264""","0.3657635766989231","0.3657635766989231","0.3657635766989231","0","0.3657635766989231"
"1","10","120","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.2","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1021324440""","0.3305286472747677","0.3305286472747677","0.3305286472747677","0","0.3305286472747677"
"1","11","120","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.2","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""616965715""","0.3482473798137613","0.3482473798137613","0.3482473798137613","0","0.3482473798137613"
"1","12","120","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.2","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""2014092744""","0.34117817468072725","0.34117817468072725","0.34117817468072725","0","0.34117817468072725"
"1","13","120","1000","1","""HK""","0.02","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-2035240141""","0.14924850420874117","0.14924850420874117","0.14924850420874117","0","0.14924850420874117"
"1","14","120","1000","1","""HK""","0.02","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1639224058""","0.20092625392422564","0.20092625392422564","0.20092625392422564","0","0.20092625392422564"
"1","15","120","1000","1","""HK""","0.02","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""616507704""","0.15615765812249918","0.15615765812249918","0.15615765812249918","0","0.15615765812249918"
"1","16","120","1000","1","""HK""","0.02","false","""normal""","1","""constant""","0.1","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""70246760""","0.17562969757057292","0.17562969757057292","0.17562969757057292","0","0.17562969757057292"
"1","17","120","1000","1","""HK""","0.08","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-583858936""","0.34269721283209675","0.34269721283209675","0.34269721283209675","0","0.34269721283209675"
"1","18","120","1000","1","""HK""","0.08","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1732269752""","0.338266243375379","0.338266243375379","0.338266243375379","0","0.338266243375379"
"1","19","120","1000","1","""HK""","0.08","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1893017595""","0.3462285519913628","0.3462285519913628","0.3462285519913628","0","0.3462285519913628"
"1","20","120","1000","1","""HK""","0.08","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1615797037""","0.3384810235807929","0.3384810235807929","0.3384810235807929","0","0.3384810235807929"
"1","21","120","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.4","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1353373905""","0.3410866791296236","0.3410866791296236","0.3410866791296236","0","0.3410866791296236"
"1","22","120","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.4","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""256760518""","0.339158109117771","0.339158109117771","0.339158109117771","0","0.339158109117771"
"1","23","120","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.4","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-311406408""","0.3509875495004776","0.3509875495004776","0.3509875495004776","0","0.3509875495004776"
"1","24","120","1000","1","""HK""","0.05","false","""normal""","1","""constant""","0.4","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-468360349""","0.3507470031889388","0.3507470031889388","0.3507470031889388","0","0.3507470031889388"
"1","25","120","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1717382044""","0.18633886361710533","0.18633886361710533","0.18633886361710533","0","0.18633886361710533"
"1","26","120","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1991901565""","0.18499938752724288","0.18499938752724288","0.18499938752724288","0","0.18499938752724288"
"1","27","120","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""709662800""","0.1882079853994453","0.1882079853994453","0.1882079853994453","0","0.1882079853994453"
"1","28","120","1000","1","""HK""","0.03","false","""normal""","1","""constant""","0","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-764190294""","0.18646723109007277","0.18646723109007277","0.18646723109007277","0","0.18646723109007277"
"1","29","120","1000","1","""HK""","0.22","false","""normal""","1","""constant""","0.5","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""2143697575""","0.38701303367377426","0.38701303367377426","0.38701303367377426","0","0.38701303367377426"
"1","30","120","1000","1","""HK""","0.22","false","""normal""","1","""constant""","0.5","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1466538936""","0.3773805950280023","0.3773805950280023","0.3773805950280023","0","0.3773805950280023"
"1","31","120","1000","1","""HK""","0.22","false","""normal""","1","""constant""","0.5","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-1445849527""","0.3992835356365234","0.3992835356365234","0.3992835356365234","0","0.3992835356365234"
"1","32","120","1000","1","""HK""","0.22","false","""normal""","1","""constant""","0.5","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1549941258""","0.37184682260677904","0.37184682260677904","0.37184682260677904","0","0.37184682260677904"
"1","33","120","1000","1","""HK""","0.02","false","""normal""","1","""constant""","0.2","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1396039060""","0.24581387735916763","0.24581387735916763","0.24581387735916763","0","0.24581387735916763"
"1","34","120","1000","1","""HK""","0.02","false","""normal""","1","""constant""","0.2","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-50287505""","0.2416417211843355","0.2416417211843355","0.2416417211843355","0","0.2416417211843355"
"1","35","120","1000","1","""HK""","0.02","false","""normal""","1","""constant""","0.2","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-340121150""","0.2292352428199742","0.2292352428199742","0.2292352428199742","0","0.2292352428199742"
"1","36","120","1000","1","""HK""","0.02","false","""normal""","1","""constant""","0.2","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1713388310""","0.22926666642105398","0.22926666642105398","0.22926666642105398","0","0.22926666642105398"
"1","37","120","1000","1","""HK""","0.22","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""1148761336""","0.3905011137105494","0.3905011137105494","0.3905011137105494","0","0.3905011137105494"
"1","38","120","1000","1","""HK""","0.22","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","0","0","1","""uniform""","0","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0","1","0","0","true","false","""-157306227""","0.388698280906967","0.388698280906967","0.388698280906967","0","0.388698280906967"
