JSD (pooled), JSD (best), Thresholded counts , matching_distributions at threshold: 0.374
0.5095184510641297,0.35209309734165956,2.625863094185574,{IE 2023} && {IE 2025}
0.5095184510641297,0.35209309734165956,2.625863094185574,{IE 2023} && {IE 2025}
0.5095184510641297,0.35209309734165956,2.625863094185574,{IE 2023} && {IE 2025}
0.5095184510641297,0.35209309734165956,2.625863094185574,{IE 2023} && {IE 2025}
0.5095184510641297,0.35209309734165956,2.625863094185574,{IE 2023} && {IE 2025}
0.659377572013083,0.5927615629643563,0.40723843703564366,
0.6263361536363676,0.553582987882798,0.446417012117202,
0.6263361536363676,0.553582987882798,0.446417012117202,
0.659377572013083,0.5927615629643563,0.40723843703564366,
0.659377572013083,0.5927615629643563,0.40723843703564366,
0.6561994191067062,0.5891775125679298,0.41082248743207017,
0.659377572013083,0.5927615629643563,0.40723843703564366,
0.659377572013083,0.5927615629643563,0.40723843703564366,
0.6561994191067062,0.5891775125679298,0.41082248743207017,
0.6585086114197837,0.5915768359981242,0.40842316400187584,
0.659377572013083,0.5927615629643563,0.40723843703564366,
0.659377572013083,0.5927615629643563,0.40723843703564366,
0.6385879582355731,0.5696834167091539,0.4303165832908461,
0.6166584833877234,0.5475718132037747,0.4524281867962253,
0.6385879582355731,0.5696834167091539,0.4303165832908461,
0.6385879582355731,0.5696834167091539,0.4303165832908461,
0.6385879582355731,0.5696834167091539,0.4303165832908461,
0.6166584833877234,0.5475718132037747,0.4524281867962253,
0.6166584833877234,0.5475718132037747,0.4524281867962253,
0.5744323586667462,0.5084614435986142,0.4915385564013858,
0.5744323586667462,0.5084614435986142,0.4915385564013858,
0.3659473099723049,0.22120573021718593,0.7787942697828141,
0.3767155739717361,0.24139357766650435,0.7586064223334956,
0.36281615358693703,0.2212696743584041,0.9287303256415959,
