"search-number","evaluation","evals-requested-so-far","number_of_agents*","number_of_opinion_dimensions*","model*","boundary_mean*","set-seed?*","boundary_distribution*","conformity_mean*","conformity_distribution*","boundary_std*","network_type*","scale_free_degree*","scale_free_selection-mu*","scale_free_selection-sigma*","scale_free_selection-distribution*","media_house_distribution*","number_of_media_houses*","media_house_distribution_normal_mean*","media_house_distribution_normal_std*","opinion_distribution*","opinion_mean*","opinion_std*","save_end_sim_data*","endsimdirectory*","use_media_influence_factor?*","media_influence_factor*","silence_alpha*","silence_tau*","silence_delta0*","classify_proponents_by_boundary?*","use_silence?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","60","1000","1","""HK""","0.28","false","""normal""","1","""constant""","0.1","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","15","0.10000000000000009","0.30000000000000004","""normal""","-0.9","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.4","10","-0.7","true","true","""-946983272""","0.4393960572588023","0.4393960572588023","0.4393960572588023","0","0.4393960572588023"
"1","2","60","1000","1","""HK""","0.28","false","""normal""","1","""constant""","0.1","""Scale-free""","2","0","1","""uniform""","""deterministic-normal""","15","0.10000000000000009","0.30000000000000004","""normal""","-0.9","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.4","10","-0.7","true","true","""599165404""","0.4424072709692256","0.4424072709692256","0.4424072709692256","0","0.4424072709692256"
"1","3","60","1000","1","""HK""","0.25","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","25","1","0.2","""normal""","0","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.9","7","0.6000000000000001","true","true","""1109822453""","0.26954427686581284","0.26954427686581284","0.26954427686581284","0","0.26954427686581284"
"1","4","60","1000","1","""HK""","0.25","false","""normal""","1","""constant""","0.1","""Scale-free""","1","0","1","""uniform""","""deterministic-normal""","25","1","0.2","""normal""","0","0.9","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.7000000000000001","0.9","7","0.6000000000000001","true","true","""-509465799""","0.2716032594814568","0.2716032594814568","0.2716032594814568","0","0.2716032594814568"
"1","5","60","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","1","0.6000000000000001","""normal""","0.8","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","1","0.8","6","0.40000000000000013","true","true","""-1424067513""","0.4172489765203039","0.4172489765203039","0.4172489765203039","0","0.4172489765203039"
"1","6","60","1000","1","""HK""","0.26","false","""normal""","1","""constant""","0.30000000000000004","""Scale-free""","5","0","1","""uniform""","""deterministic-normal""","0","1","0.6000000000000001","""normal""","0.8","0","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","1","0.8","6","0.40000000000000013","true","true","""1643703708""","0.4039934228232197","0.4039934228232197","0.4039934228232197","0","0.4039934228232197"
"1","7","60","1000","1","""HK""","0.12","false","""normal""","1","""constant""","0","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","50","-0.5","0.6000000000000001","""normal""","0.40000000000000013","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.2","0.7000000000000001","5","-0.3999999999999999","true","true","""-1163907641""","0.623570213950729","0.623570213950729","0.623570213950729","0","0.623570213950729"
"1","8","60","1000","1","""HK""","0.12","false","""normal""","1","""constant""","0","""Scale-free""","4","0","1","""uniform""","""deterministic-normal""","50","-0.5","0.6000000000000001","""normal""","0.40000000000000013","0.2","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.2","0.7000000000000001","5","-0.3999999999999999","true","true","""1805202376""","0.6455992032038053","0.6455992032038053","0.6455992032038053","0","0.6455992032038053"
"1","9","60","1000","1","""HK""","0.060000000000000005","false","""normal""","1","""constant""","0.2","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","40","0.5","0.1","""normal""","0.20000000000000018","0.6000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.4","0.9","0","-0.09999999999999998","true","true","""372202519""","0.20352045183098813","0.20352045183098813","0.20352045183098813","0","0.20352045183098813"
"1","10","60","1000","1","""HK""","0.060000000000000005","false","""normal""","1","""constant""","0.2","""Scale-free""","3","0","1","""uniform""","""deterministic-normal""","40","0.5","0.1","""normal""","0.20000000000000018","0.6000000000000001","false","""/home/ramaswamy.51/Documents/github/Spirals/Media/data/cluster/endsim/BehaviorSearch/Step6_Trial""","true","0.4","0.9","0","-0.09999999999999998","true","true","""1073097815""","0.1746765131422965","0.1746765131422965","0.1746765131422965","0","0.1746765131422965"
