"BehaviorSpace results (NetLogo 6.2.2)"
"polarized4D.nlogo"
"polarizedStartPart93RS80"
"04/07/2022 09:10:12:602 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","boundary","id_threshold","polrzd_opnns","polrzd_dist","polrzd_ratio","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"8","71","4","0.04","0.08","3","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844955","0.7286976919118394","0.3174631709839429","2.246487403100775","0.411","0.28","0.07054263565891472","0.07054263565891473","0.07054263565891472","-0.08703100775193802","0.6991516176739668","0.6991516176739668","0.6991516176739668","0.5998990011085265","0.7","0.7","0.7","-0.164","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","114.4263565891473","0.4120575263478636","0.6462468575778764","2.787911821705426","0.445","0.284","0.07054263565891472","0.07054263565891472","0.07054263565891472","-0.09064953529048098","0.6991516176739668","0.6991516176739668","0.6991516176739668","0.594339509878413","0.7","0.7","0.7","-0.08529560627688078","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"16","71","4","0.04","0.12","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844955","0.7286976919118394","0.3174631709839429","2.246487403100775","0.239","0.116","0.03527131782945736","0.03527131782945736","0.03527131782945736","-0.08703100775193798","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.5998990011085265","0.35","0.35","0.35","-0.164","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","110","0.20829652918530578","0.6359086556857706","2.71875","0.224","0.111","0.03527131782945736","0.03527131782945736","0.03527131782945736","-0.08922684977398694","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.6004029484646304","0.35","0.35","0.35","-0.0713323541651169","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"7","71","4","0.04","0.08","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844955","0.7286976919118394","0.3174631709839429","2.246487403100775","0.239","0.116","0.03527131782945736","0.03527131782945736","0.03527131782945736","-0.08703100775193798","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.5998990011085265","0.35","0.35","0.35","-0.164","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","110","0.20829652918530578","0.6359086556857706","2.71875","0.224","0.111","0.03527131782945736","0.03527131782945736","0.03527131782945736","-0.08922684977398694","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.6004029484646304","0.35","0.35","0.35","-0.0713323541651169","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"9","71","4","0.04","0.08","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844962","0.7286976919118391","0.31746317098394267","2.246487403100775","0.563","0.391","0.10077519379844961","0.10077519379844961","0.10077519379844961","-0.08703100775193799","0.9987880252485235","0.9987880252485235","0.9987880252485234","0.5998990011085263","1","1","1","-0.164","-1","-1","-1","-1","1","1","1","1","113.92248062015504","0.2060600764653225","0.6546812232865789","2.7800387596899223","0.591","0.394","0.10077519379844961","0.10077519379844961","0.10077519379844961","-0.06841737543010519","0.9987880252485235","0.9987880252485234","0.9987880252485234","0.592823081542484","1","1","1","-0.06519323160285735","-1","-1","-1","-1","1","1","1","1"
"13","71","4","0.04","0.12","2","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844955","0.7286976919118394","0.3174631709839429","2.246487403100775","0.264","0.095","0.03527131782945736","0.03527131782945736","0.043271317829457354","-0.08703100775193795","0.3495758088369834","0.3495758088369834","0.5883612935510212","0.5998990011085266","0.35","0.35","0.085","-0.164","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","50.52713178294575","0.3535370130239332","0.7538995282877676","false","0.264","0.096","0.03527131782945736","0.03527131782945736","0.03651396987629034","-0.09509492812379451","0.3495758088369834","0.3495758088369834","0.5895115929726754","0.608073511408185","0.35","0.35","0.096","-0.2428978246425284","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"14","71","4","0.04","0.12","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844955","0.7286976919118394","0.3174631709839429","2.246487403100775","0.373","0.188","0.07054263565891472","0.07054263565891472","0.04327131782945735","-0.08703100775193796","0.6991516176739668","0.6991516176739668","0.5883612935510212","0.5998990011085266","0.7","0.7","0.085","-0.164","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","50.06201550387596","0.3750053518713077","0.755874240463546","false","0.372","0.187","0.07054263565891472","0.07054263565891472","0.04270582085098958","-0.08610421820891465","0.6991516176739668","0.6991516176739668","0.5857746703826882","0.607935864241977","0.7","0.7","0.096","-0.07","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"15","71","4","0.04","0.12","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844959","0.7286976919118391","0.3174631709839428","2.246487403100775","0.475","0.259","0.10077519379844961","0.10077519379844961","0.04327131782945738","-0.08703100775193798","0.9987880252485234","0.9987880252485235","0.5883612935510211","0.5998990011085265","1","1","0.085","-0.164","-1","-1","-1","-1","1","1","1","1","50.98449612403101","0.39248081499726967","0.763594242824334","false","0.477","0.257","0.10077519379844961","0.10077519379844961","0.03135191205652448","-0.08892999663588412","0.9987880252485233","0.9987880252485234","0.6023098747327329","0.6055711750151647","1","1","0.096","-0.19","-1","-1","-1","-1","1","1","1","1"
"5","71","4","0.04","0.08","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844955","0.7286976919118394","0.3174631709839429","2.246487403100775","0.373","0.188","0.07054263565891472","0.07054263565891472","0.04327131782945735","-0.08703100775193796","0.6991516176739668","0.6991516176739668","0.5883612935510212","0.5998990011085266","0.7","0.7","0.085","-0.164","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","50.06201550387596","0.3750053518713077","0.755874240463546","false","0.372","0.187","0.07054263565891472","0.07054263565891472","0.04270582085098958","-0.08610421820891465","0.6991516176739668","0.6991516176739668","0.5857746703826882","0.607935864241977","0.7","0.7","0.096","-0.07","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"4","71","4","0.04","0.08","2","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844955","0.7286976919118394","0.3174631709839429","2.246487403100775","0.264","0.095","0.03527131782945736","0.03527131782945736","0.043271317829457354","-0.08703100775193795","0.3495758088369834","0.3495758088369834","0.5883612935510212","0.5998990011085266","0.35","0.35","0.085","-0.164","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","50.52713178294575","0.3535370130239332","0.7538995282877676","false","0.264","0.096","0.03527131782945736","0.03527131782945736","0.03651396987629034","-0.09509492812379451","0.3495758088369834","0.3495758088369834","0.5895115929726754","0.608073511408185","0.35","0.35","0.096","-0.2428978246425284","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"12","71","4","0.04","0.12","1","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.77519379844955","0.7286976919118394","0.3174631709839429","2.246487403100775","0.369","0.167","0.10077519379844961","0.033596899224806215","0.04327131782945736","-0.08703100775193798","0.9987880252485234","0.5866141528852761","0.5883612935510212","0.5998990011085266","1","0.028","0.085","-0.164","-1","-0.4685","-1","-0.4685","1","0.5255000000000001","1","0.5255000000000001","35.852713178294564","0.4423836567692645","0.6858359014119193","false","0.382","0.168","0.10077519379844961","0.03379537340255533","0.04097836718071024","-0.08333776801924848","0.9987880252485234","0.5843383160401956","0.585721389535601","0.5916858235438073","1","0.022013678513844934","0.085","-0.164","-1","-0.4685","-1","-0.4685","1","0.506","1","0.506"
