"BehaviorSpace results (NetLogo 6.2.2)"
"polarized4D.nlogo"
"polarizedStartPart92"
"03/31/2022 10:44:13:205 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","boundary","id_threshold","polrzd_opnns","polrzd_dist","polrzd_ratio","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"6","1","4","0.04","0.07","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.24031007751941","0.6697771847465737","0.30691832667136854","2.2381298449612403","0.472","0.259","-0.10077519379844961","-0.10077519379844961","0.055341085271317834","0.10859689922480614","0.9987880252485234","0.9987880252485234","0.6164583001930771","0.5582844469804887","-1","-1","0.046","0.102","-1","-1","-1","-1","1","1","1","1","154.98449612403104","0.17661305757140303","0.779232724430347","3.4216327519379846","0.452","0.263","-0.10077519379844961","-0.10077519379844961","0.05380165540465213","0.11961140380474863","0.9987880252485235","0.9987880252485234","0.5973709870768261","0.5690244246348147","-1","-1","0.03904469222630767","0.06399999998388035","-1","-1","-1","-1","1","1","1","1"
"3","1","4","0.04","0.07","1","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.377","0.166","-0.10077519379844961","0.06223255813953488","0.055341085271317855","0.10859689922480611","0.9987880252485235","0.5335844665975444","0.6164583001930771","0.5582844469804887","-1","0.059","0.046","0.102","-1","-0.354","-1","-0.354","1","0.4665","1","0.4665","35.418604651162795","0.4228860523064008","0.6559188570647222","false","0.377","0.165","-0.10077519379844961","0.06564352318243126","0.05705464716369426","0.10586703482519103","0.9987880252485234","0.5330504349426064","0.6191669074836151","0.5564593659911112","-1","0.046","0.033000420831879825","0.102","-1","-0.3814992469858427","-1","-0.3814992469858427","1","0.474","1","0.474"
"2","1","4","0.04","0.07","1","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.313","0.121","-0.07054263565891472","0.062232558139534926","0.055341085271317814","0.10859689922480614","0.6991516176739668","0.5335844665975444","0.6164583001930771","0.5582844469804886","-0.7","0.059","0.046","0.102","-0.7","-0.354","-0.7","-0.354","0.7","0.4665","0.7","0.4665","35.713178294573645","0.41732638458795573","0.6573696772243488","false","0.305","0.118","-0.07054263565891472","0.067828024678602","0.05849517838671103","0.10630351659148511","0.6991516176739668","0.5324449070170842","0.6188206636486209","0.5563699026797683","-0.7","0.072","0.019","0.102","-0.7","-0.3740863819665009","-0.7","-0.3740863819665009","0.7","0.474","0.7","0.474"
"11","1","4","0.04","0.11","1","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.313","0.121","-0.07054263565891472","0.062232558139534926","0.055341085271317814","0.10859689922480614","0.6991516176739668","0.5335844665975444","0.6164583001930771","0.5582844469804886","-0.7","0.059","0.046","0.102","-0.7","-0.354","-0.7","-0.354","0.7","0.4665","0.7","0.4665","35.713178294573645","0.41732638458795573","0.6573696772243488","false","0.305","0.118","-0.07054263565891472","0.067828024678602","0.05849517838671103","0.10630351659148511","0.6991516176739668","0.5324449070170842","0.6188206636486209","0.5563699026797683","-0.7","0.072","0.019","0.102","-0.7","-0.3740863819665009","-0.7","-0.3740863819665009","0.7","0.474","0.7","0.474"
"1","1","4","0.04","0.07","1","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.243","0.089","-0.03527131782945736","0.06223255813953488","0.05534108527131783","0.10859689922480614","0.3495758088369834","0.5335844665975445","0.6164583001930771","0.5582844469804888","-0.35","0.059","0.046","0.102","-0.35","-0.354","-0.35","-0.354","0.35","0.4665","0.35","0.4665","95.59689922480615","0.3432728393440994","0.545896944948113","2.493701550387597","0.256","0.09","-0.03527131782945736","0.0665393587707415","0.05853661736234475","0.10558945014927887","0.3495758088369834","0.5318914935364484","0.6195762990121423","0.5567230204486138","-0.35","0.059","0.02500021912670047","0.102","-0.35","-0.3815","-0.35","-0.3815","0.35","0.47249999999941145","0.35","0.47249999999941145"
"10","1","4","0.04","0.11","1","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.243","0.089","-0.03527131782945736","0.06223255813953488","0.05534108527131783","0.10859689922480614","0.3495758088369834","0.5335844665975445","0.6164583001930771","0.5582844469804888","-0.35","0.059","0.046","0.102","-0.35","-0.354","-0.35","-0.354","0.35","0.4665","0.35","0.4665","95.59689922480615","0.3432728393440994","0.545896944948113","2.493701550387597","0.256","0.09","-0.03527131782945736","0.0665393587707415","0.05853661736234475","0.10558945014927887","0.3495758088369834","0.5318914935364484","0.6195762990121423","0.5567230204486138","-0.35","0.059","0.02500021912670047","0.102","-0.35","-0.3815","-0.35","-0.3815","0.35","0.47249999999941145","0.35","0.47249999999941145"
"27","1","4","0.04","0.15","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.24031007751934","0.6697771847465731","0.30691832667136865","2.2381298449612403","0.574","0.404","-0.10077519379844961","-0.10077519379844961","-0.10077519379844961","0.10859689922480614","0.9987880252485234","0.9987880252485234","0.9987880252485235","0.5582844469804887","-1","-1","-1","0.102","-1","-1","-1","-1","1","1","1","1","98.68217054263567","0.3290919027856518","0.587559892425733","2.541908914728682","0.56","0.419","-0.10077519379844961","-0.10077519379844961","-0.10077519379844961","0.10354448666273917","0.9987880252485235","0.9987880252485233","0.9987880252485233","0.5198525238599454","-1","-1","-1","0.08880053142937475","-1","-1","-1","-1","1","1","1","1"
"18","1","4","0.04","0.11","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.24031007751938","0.6697771847465737","0.3069183266713685","2.2381298449612403","0.574","0.404","-0.10077519379844961","-0.10077519379844961","-0.10077519379844961","0.10859689922480614","0.9987880252485234","0.9987880252485234","0.9987880252485236","0.5582844469804888","-1","-1","-1","0.102","-1","-1","-1","-1","1","1","1","1","100.75968992248062","0.3081300274634123","0.596710905353716","2.5743701550387597","0.587","0.42","-0.10077519379844961","-0.10077519379844961","-0.10077519379844961","0.14657427445228843","0.9987880252485234","0.9987880252485235","0.9987880252485234","0.5026149878571148","-1","-1","-1","0.11236968705156498","-1","-1","-1","-1","1","1","1","1"
"17","1","4","0.04","0.11","3","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.419","0.29","-0.07054263565891472","-0.07054263565891472","-0.07054263565891472","0.10859689922480616","0.6991516176739668","0.6991516176739668","0.6991516176739668","0.5582844469804887","-0.7","-0.7","-0.7","0.102","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","97.1007751937984","0.3227545185724768","0.5701310849630864","2.517199612403101","0.445","0.299","-0.07054263565891472","-0.07054263565891473","-0.07054263565891472","0.10753677405633685","0.6991516176739668","0.6991516176739668","0.6991516176739668","0.5126630491916021","-0.7","-0.7","-0.7","0.04638558669552709","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"25","1","4","0.04","0.15","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.242","0.159","-0.03527131782945736","-0.03527131782945736","-0.03527131782945736","0.10859689922480618","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.5582844469804887","-0.35","-0.35","-0.35","0.102","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","94.5038759689923","0.19861945145805576","0.568444703539101","2.476623062015504","0.283","0.126","-0.03527131782945736","-0.03527131782945736","-0.03527131782945736","0.10874984019087931","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.5308683343657488","-0.35","-0.35","-0.35","-0.13889787337411943","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
