"BehaviorSpace results (NetLogo 6.2.2)"
"polarized4D.nlogo"
"polarizedStartPart94RS70"
"04/07/2022 08:57:53:323 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","boundary","id_threshold","polrzd_opnns","polrzd_dist","polrzd_ratio","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"7","61","4","0.05","0.05","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.56589147286827","0.6873067511234486","0.314998774848296","2.243217054263566","0.207","0.097","-0.013565891472868213","-0.013565891472868217","-0.013565891472868217","0.01717054263565892","0.35110049854353576","0.35110049854353576","0.3511004985435357","0.5564637106882933","-0.35","-0.35","-0.35","0.017","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","104.34883720930237","0.2550406569254009","0.6375334968016224","2.630450581395349","0.241","0.1","-0.013565891472868217","-0.013565891472868217","-0.013565891472868217","0.00611959412834434","0.35110049854353576","0.3511004985435358","0.3511004985435358","0.5510492421168033","-0.35","-0.35","-0.35","0.14887624164922936","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"8","61","4","0.05","0.05","3","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.56589147286827","0.6873067511234486","0.314998774848296","2.243217054263566","0.413","0.327","-0.027131782945736434","-0.027131782945736427","-0.027131782945736427","0.01717054263565892","0.7022009970870716","0.7022009970870716","0.7022009970870716","0.5564637106882931","-0.7","-0.7","-0.7","0.017","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","103.85271317829458","0.2735400078433935","0.6275832517282586","2.622698643410853","0.421","0.321","-0.027131782945736434","-0.027131782945736434","-0.027131782945736427","0.01456419015154149","0.7022009970870715","0.7022009970870715","0.7022009970870715","0.5563292579677465","-0.7","-0.7","-0.7","0.153532931483256","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"16","61","4","0.05","0.09","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.56589147286827","0.6873067511234486","0.314998774848296","2.243217054263566","0.207","0.097","-0.013565891472868213","-0.013565891472868217","-0.013565891472868217","0.01717054263565892","0.35110049854353576","0.35110049854353576","0.3511004985435357","0.5564637106882933","-0.35","-0.35","-0.35","0.017","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","104.34883720930237","0.2550406569254009","0.6375334968016224","2.630450581395349","0.241","0.1","-0.013565891472868217","-0.013565891472868217","-0.013565891472868217","0.00611959412834434","0.35110049854353576","0.3511004985435358","0.3511004985435358","0.5510492421168033","-0.35","-0.35","-0.35","0.14887624164922936","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"9","61","4","0.05","0.05","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.56589147286822","0.6873067511234484","0.31499877484829586","2.243217054263566","0.59","0.466","-0.03875968992248062","-0.03875968992248062","-0.03875968992248062","0.01717054263565892","1.0031442815529596","1.0031442815529596","1.0031442815529596","0.5564637106882934","-1","-1","-1","0.017","-1","-1","-1","-1","1","1","1","1","104.41085271317834","0.3865284805732814","0.6380207751544781","2.6314195736434107","0.572","0.465","-0.03875968992248062","-0.03875968992248062","-0.03875968992248062","0.011860962611649352","1.0031442815529594","1.0031442815529594","1.0031442815529594","0.5434255411853082","-1","-1","-1","-0.07403665657043973","-1","-1","-1","-1","1","1","1","1"
"6","61","4","0.05","0.05","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.5658914728682","0.6873067511234487","0.31499877484829575","2.243217054263566","0.449","0.29","-0.03875968992248062","-0.03875968992248062","-0.0062093023255814","0.01717054263565891","1.0031442815529594","1.0031442815529594","0.5910318793540588","0.5564637106882934","-1","-1","0.02","0.017","-1","-1","-1","-1","1","1","1","1","39.906976744186046","0.4352509807365801","0.7598614022060493","false","0.453","0.287","-0.03875968992248062","-0.03875968992248062","0.017712024416184212","-0.00693175003341309","1.0031442815529594","1.0031442815529594","0.572874173983633","0.5676198928206911","-1","-1","0.059","-0.055","-1","-1","-1","-1","1","1","1","1"
"14","61","4","0.05","0.09","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.56589147286827","0.6873067511234486","0.314998774848296","2.243217054263566","0.343","0.205","-0.027131782945736434","-0.027131782945736434","-0.006209302325581397","0.01717054263565892","0.7022009970870716","0.7022009970870715","0.5910318793540587","0.5564637106882934","-0.7","-0.7","0.02","0.017","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","43.806201550387605","0.37577820584453625","0.7434773157816412","false","0.347","0.204","-0.027131782945736427","-0.027131782945736434","0.0075011140515770704","0.023751792783301574","0.7022009970870716","0.7022009970870715","0.5775222102060238","0.54743416819776","-0.7","-0.7","0.11220018485484189","0.06966768404456408","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"13","61","4","0.05","0.09","2","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.56589147286827","0.6873067511234486","0.314998774848296","2.243217054263566","0.227","0.11","-0.013565891472868217","-0.013565891472868217","-0.0062093023255813855","0.017170542635658932","0.35110049854353576","0.35110049854353576","0.5910318793540587","0.5564637106882934","-0.35","-0.35","0.02","0.017","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","189.09302325581396","0.20164137683625305","0.7542183706528858","3.954578488372093","0.231","0.087","-0.013565891472868217","-0.013565891472868217","0.005404750309593201","-0.0018802007721408747","0.35110049854353576","0.3511004985435358","0.5671016780911464","0.5612940867499518","-0.35","-0.35","0.023654","0.059","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"4","61","4","0.05","0.05","2","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.56589147286827","0.6873067511234486","0.314998774848296","2.243217054263566","0.227","0.11","-0.013565891472868217","-0.013565891472868217","-0.0062093023255813855","0.017170542635658932","0.35110049854353576","0.35110049854353576","0.5910318793540587","0.5564637106882934","-0.35","-0.35","0.02","0.017","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","189.09302325581396","0.20164137683625305","0.7542183706528858","3.954578488372093","0.231","0.087","-0.013565891472868217","-0.013565891472868217","0.005404750309593201","-0.0018802007721408747","0.35110049854353576","0.3511004985435358","0.5671016780911464","0.5612940867499518","-0.35","-0.35","0.023654","0.059","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"15","61","4","0.05","0.09","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.5658914728682","0.6873067511234489","0.314998774848296","2.243217054263566","0.449","0.29","-0.03875968992248062","-0.03875968992248062","-0.006209302325581402","0.0171705426356589","1.0031442815529594","1.0031442815529594","0.5910318793540588","0.5564637106882931","-1","-1","0.02","0.017","-1","-1","-1","-1","1","1","1","1","42.76744186046512","0.38499208980168065","0.7347489331828211","false","0.454","0.294","-0.03875968992248062","-0.03875968992248062","0.00661284840861872","0.01450241254682444","1.0031442815529594","1.0031442815529594","0.5704279301789626","0.5390908769159972","-1","-1","0.03734435828","0.08607494502564728","-1","-1","-1","-1","1","1","1","1"
"5","61","4","0.05","0.05","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.56589147286827","0.6873067511234486","0.314998774848296","2.243217054263566","0.343","0.205","-0.027131782945736434","-0.027131782945736434","-0.006209302325581397","0.01717054263565892","0.7022009970870716","0.7022009970870715","0.5910318793540587","0.5564637106882934","-0.7","-0.7","0.02","0.017","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","43.806201550387605","0.37577820584453625","0.7434773157816412","false","0.347","0.204","-0.027131782945736427","-0.027131782945736434","0.0075011140515770704","0.023751792783301574","0.7022009970870716","0.7022009970870715","0.5775222102060238","0.54743416819776","-0.7","-0.7","0.11220018485484189","0.06966768404456408","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
