"BehaviorSpace results (NetLogo 6.2.2)"
"polarized4D.nlogo"
"polarizedStartPart93RS40"
"04/04/2022 11:35:09:570 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","boundary","id_threshold","polrzd_opnns","polrzd_dist","polrzd_ratio","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"2","31","4","0.04","0.08","1","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085275","0.7134575567025978","0.32993003468559645","2.258963178294574","0.285","0.13","0.005426356589147285","-0.0885193798449612","0.08349612403100774","-0.03124031007751938","0.7027079404791174","0.5531865940391293","0.5642668656655151","0.5518210162610727","0.7","-0.155","0.147","-0.037","-0.7","-0.5469999999999999","-0.7","-0.5469999999999999","0.7","0.2935","0.7","0.2935","34.108527131782935","0.4503123347350426","0.6656438016938497","false","0.271","0.13","0.005426356589147295","-0.0891387441630516","0.08348912365999811","-0.027562435139923045","0.7027079404791176","0.556029538585639","0.5633517051721493","0.5477424235159624","0.7","-0.15","0.147","-0.021","-0.7","-0.58","-0.7","-0.58","0.7","0.2935","0.7","0.2935"
"6","31","4","0.04","0.08","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085275","0.713457556702598","0.3299300346855965","2.258963178294574","0.447","0.301","0.007751937984496124","0.007751937984496124","0.08349612403100776","-0.031240310077519422","1.0038684863987397","1.00386848639874","0.5642668656655151","0.5518210162610727","1","1","0.147","-0.037","-1","-1","-1","-1","1","1","1","1","38.93023255813954","0.4357779082899765","0.7438496044424154","false","0.432","0.306","0.007751937984496124","0.007751937984496124","0.06676261455529554","-0.028470910235053628","1.0038684863987402","1.0038684863987397","0.5494942690700101","0.5389395670621665","1","1","0.1300345171444826","-0.08966492408304984","-1","-1","-1","-1","1","1","1","1"
"11","31","4","0.04","0.12","1","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085275","0.7134575567025978","0.32993003468559645","2.258963178294574","0.285","0.13","0.005426356589147285","-0.0885193798449612","0.08349612403100774","-0.03124031007751938","0.7027079404791174","0.5531865940391293","0.5642668656655151","0.5518210162610727","0.7","-0.155","0.147","-0.037","-0.7","-0.5469999999999999","-0.7","-0.5469999999999999","0.7","0.2935","0.7","0.2935","34.108527131782935","0.4503123347350426","0.6656438016938497","false","0.271","0.13","0.005426356589147295","-0.0891387441630516","0.08348912365999811","-0.027562435139923045","0.7027079404791176","0.556029538585639","0.5633517051721493","0.5477424235159624","0.7","-0.15","0.147","-0.021","-0.7","-0.58","-0.7","-0.58","0.7","0.2935","0.7","0.2935"
"3","31","4","0.04","0.08","1","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085275","0.7134575567025978","0.32993003468559645","2.258963178294574","0.351","0.185","0.007751937984496124","-0.08851937984496121","0.08349612403100778","-0.031240310077519387","1.0038684863987397","0.5531865940391293","0.564266865665515","0.5518210162610727","1","-0.155","0.147","-0.037","-1","-0.5469999999999999","-1","-0.5469999999999999","1","0.2935","1","0.2935","33.8217054263566","0.4595210479380585","0.6647651100959384","false","0.343","0.185","0.007751937984496124","-0.09127268158582381","0.08248118749374504","-0.026935864492151504","1.0038684863987395","0.557284829875651","0.5641102228091746","0.5478005954642353","1","-0.155","0.147","-0.021","-1","-0.58","-1","-0.58","1","0.2935","1","0.2935"
"1","31","4","0.04","0.08","1","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085275","0.7134575567025978","0.32993003468559645","2.258963178294574","0.244","0.097","0.0027131782945736425","-0.08851937984496122","0.08349612403100776","-0.031240310077519373","0.35135397023955883","0.5531865940391294","0.564266865665515","0.5518210162610727","0.35","-0.155","0.147","-0.037","-0.35","-0.5469999999999999","-0.35","-0.5469999999999999","0.35","0.2935","0.35","0.2935","93.56589147286822","0.3250251769478923","0.5398509239481333","2.461967054263566","0.247","0.088","0.0027131782945736425","-0.0914899542692717","0.08574759997456327","-0.026332837620506738","0.3513539702395588","0.5557909592321612","0.562574837613579","0.5475456110171273","0.35","-0.155","0.147","-0.021","-0.35","-0.58","-0.35","-0.58","0.35","0.2935","0.35","0.2935"
"10","31","4","0.04","0.12","1","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085275","0.7134575567025978","0.32993003468559645","2.258963178294574","0.244","0.097","0.0027131782945736425","-0.08851937984496122","0.08349612403100776","-0.031240310077519373","0.35135397023955883","0.5531865940391294","0.564266865665515","0.5518210162610727","0.35","-0.155","0.147","-0.037","-0.35","-0.5469999999999999","-0.35","-0.5469999999999999","0.35","0.2935","0.35","0.2935","93.56589147286822","0.3250251769478923","0.5398509239481333","2.461967054263566","0.247","0.088","0.0027131782945736425","-0.0914899542692717","0.08574759997456327","-0.026332837620506738","0.3513539702395588","0.5557909592321612","0.562574837613579","0.5475456110171273","0.35","-0.155","0.147","-0.021","-0.35","-0.58","-0.35","-0.58","0.35","0.2935","0.35","0.2935"
"27","31","4","0.04","0.16","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085267","0.7134575567025976","0.3299300346855964","2.258963178294574","0.59","0.469","0.007751937984496124","0.007751937984496124","0.007751937984496124","-0.031240310077519387","1.0038684863987397","1.0038684863987397","1.0038684863987397","0.5518210162610727","1","1","1","-0.037","-1","-1","-1","-1","1","1","1","1","115.74418604651166","0.19130813001557478","0.6980910275493571","2.808502906976744","0.619","0.501","0.007751937984496124","0.007751937984496124","0.007751937984496124","-0.01678852062075496","1.0038684863987402","1.00386848639874","1.00386848639874","0.4910751327066794","1","1","1","-0.09946634448820413","-1","-1","-1","-1","1","1","1","1"
"18","31","4","0.04","0.12","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.5736434108527","0.7134575567025976","0.32993003468559634","2.258963178294574","0.59","0.469","0.007751937984496124","0.007751937984496124","0.007751937984496124","-0.03124031007751938","1.0038684863987397","1.0038684863987397","1.0038684863987395","0.5518210162610727","1","1","1","-0.037","-1","-1","-1","-1","1","1","1","1","114.46511627906969","0.18790701893106948","0.6768820579541841","2.7885174418604652","0.588","0.481","0.007751937984496124","0.007751937984496124","0.007751937984496124","-0.015607032614215033","1.0038684863987397","1.00386848639874","1.00386848639874","0.5342017117559735","1","1","1","-0.039","-1","-1","-1","-1","1","1","1","1"
"17","31","4","0.04","0.12","3","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085275","0.7134575567025978","0.32993003468559645","2.258963178294574","0.413","0.329","0.0054263565891472885","0.0054263565891472885","0.005426356589147285","-0.031240310077519394","0.7027079404791174","0.7027079404791174","0.7027079404791176","0.5518210162610726","0.7","0.7","0.7","-0.037","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","113.40310077519378","0.19009061382148257","0.6680141371621489","2.771923449612403","0.422","0.337","0.0054263565891472885","0.005426356589147285","0.0054263565891472885","-0.013669370087555852","0.7027079404791174","0.7027079404791176","0.7027079404791176","0.5105403436485033","0.7","0.7","0.7","-0.10236077919186094","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"20","31","4","0.04","0.16","1","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","80.57364341085275","0.7134575567025978","0.32993003468559645","2.258963178294574","0.285","0.13","0.005426356589147285","-0.0885193798449612","0.08349612403100774","-0.03124031007751938","0.7027079404791174","0.5531865940391293","0.5642668656655151","0.5518210162610727","0.7","-0.155","0.147","-0.037","-0.7","-0.5469999999999999","-0.7","-0.5469999999999999","0.7","0.2935","0.7","0.2935","34.108527131782935","0.4503123347350426","0.6656438016938497","false","0.271","0.13","0.005426356589147295","-0.0891387441630516","0.08348912365999811","-0.027562435139923045","0.7027079404791176","0.556029538585639","0.5633517051721493","0.5477424235159624","0.7","-0.15","0.147","-0.021","-0.7","-0.58","-0.7","-0.58","0.7","0.2935","0.7","0.2935"
