random-seed,20
conformity-mean,0.2
conformity-sd,0
conformity-distribution,normal
HK-distribution,false
N,101
boundary-mean,0.1
boundary-sd,0.05
boundary-distribution,normal
SPIRO-mean,0.25
SPIRO-sd,0
SPIRO-distribution,normal
Identity-Type,global
Identity-Levels,7
Use_Identity?,true
timeStep, agentID, opinion, previousOpinion, boundary, conformity, SPIRO, groupNumber
0,1,[0.0912],[0.083],0.086,0.2,0.25,204
0,9,[-0.9692],[-0.991],0.113,0.2,0.25,203
0,5,[-0.2254],[-0.191],0.174,0.2,0.25,203
1,76,[-0.6097199999999999],[-0.6113999999999999],0.037,0.2,0.25,205
1,60,[-0.00772],[-0.0074],0.035,0.2,0.25,206
1,2,[-0.5124],[-0.505],0.186,0.2,0.25,205
1,23,[-0.15016],[-0.13419999999999999],0.077,0.2,0.25,205
1,74,[-0.37028],[-0.3676],0.095,0.2,0.25,205
1,8,[0.25484],[0.2548],0.016,0.2,0.25,206
1,11,[0.31056],[0.3132],0.094,0.2,0.25,206
1,12,[0.1292],[0.121],0.12,0.2,0.25,206
1,50,[0.5356000000000001],[0.539],0.091,0.2,0.25,206
1,56,[0.20984],[0.20779999999999998],0.087,0.2,0.25,206
1,69,[-0.6208],[-0.617],0.066,0.2,0.25,205
1,83,[0.26608],[0.2676],0.059,0.2,0.25,206
1,95,[-0.37032000000000004],[-0.35540000000000005],0.176,0.2,0.25,205
1,33,[-0.30004000000000003],[-0.2978],0.087,0.2,0.25,205
1,70,[0.40399999999999997],[0.408],0.074,0.2,0.25,206
1,9,[-0.94756],[-0.9692],0.113,0.2,0.25,205
1,84,[-0.69824],[-0.7008],0.172,0.2,0.25,205
1,38,[0.7777999999999999],[0.8069999999999999],0.199,0.2,0.25,206
1,28,[-0.8742800000000001],[-0.8886000000000001],0.095,0.2,0.25,205
1,34,[0.84012],[0.8363999999999999],0.055,0.2,0.25,206
1,43,[-0.7398],[-0.747],0.15,0.2,0.25,205
1,18,[-0.73036],[-0.7262],0.054,0.2,0.25,205
1,4,[0.15596000000000002],[0.1542],0.047,0.2,0.25,206
1,22,[-0.31324],[-0.2968],0.153,0.2,0.25,205
1,26,[-0.50652],[-0.4954],0.169,0.2,0.25,205
1,16,[-0.58544],[-0.5808],0.109,0.2,0.25,205
1,87,[0.4404],[0.445],0.033,0.2,0.25,206
1,15,[-0.93072],[-0.9634],0.17,0.2,0.25,205
1,5,[-0.25451999999999997],[-0.2254],0.174,0.2,0.25,205
1,61,[0.26396],[0.2652],0.15,0.2,0.25,206
1,100,[-0.7658400000000001],[-0.7658],0.092,0.2,0.25,205
1,64,[-0.63796],[-0.6382],0.171,0.2,0.25,205
1,57,[0.46556000000000003],[0.4772],0.142,0.2,0.25,206
1,1,[0.09656],[0.0912],0.086,0.2,0.25,206
1,41,[-0.47071999999999997],[-0.4704],0.128,0.2,0.25,205
1,72,[-0.30219999999999997],[-0.303],0.063,0.2,0.25,205
1,44,[-0.71212],[-0.7143999999999999],0.121,0.2,0.25,205
1,10,[0.1996],[0.194],0.05,0.2,0.25,206
1,14,[-0.79372],[-0.7974],0.051,0.2,0.25,205
1,73,[-0.81924],[-0.8328],0.161,0.2,0.25,205
1,80,[0.68992],[0.6924],0.085,0.2,0.25,206
1,6,[-0.34476],[-0.3382],0.108,0.2,0.25,205
1,30,[-0.48475999999999997],[-0.47919999999999996],0.136,0.2,0.25,205
1,71,[0.69292],[0.6984],0.114,0.2,0.25,206
1,13,[0.59548],[0.5966],0.088,0.2,0.25,206
1,48,[0.02784],[0.0228],0.075,0.2,0.25,206
1,46,[-0.22872],[-0.22840000000000002],0.031,0.2,0.25,205
1,52,[-0.19088],[-0.1886],0.043,0.2,0.25,205
1,90,[-0.7173999999999999],[-0.719],0.144,0.2,0.25,205
1,82,[-0.97736],[-0.9892],0.053,0.2,0.25,205
1,21,[-0.5064],[-0.509],0.106,0.2,0.25,205
1,78,[-0.50532],[-0.4944],0.199,0.2,0.25,205
1,51,[0.2122],[0.21],0.144,0.2,0.25,206
1,58,[-0.81368],[-0.8296],0.164,0.2,0.25,205
1,67,[-0.7250800000000001],[-0.7286],0.151,0.2,0.25,205
1,96,[0.26916],[0.2672],0.206,0.2,0.25,206
1,53,[0.85712],[0.8593999999999999],0.02,0.2,0.25,206
1,75,[-0.30988],[-0.3126],0.068,0.2,0.25,205
1,0,[-0.88],[-0.897],0.109,0.2,0.25,205
1,65,[0.23340000000000002],[0.234],0.122,0.2,0.25,206
1,55,[0.00224],[-0.0062],0.065,0.2,0.25,206
1,94,[0.71668],[0.7236],0.138,0.2,0.25,206
1,86,[-0.80292],[-0.8104],0.146,0.2,0.25,205
1,40,[-0.73164],[-0.7308],0.066,0.2,0.25,205
1,66,[-0.8892800000000001],[-0.9086000000000001],0.11,0.2,0.25,205
1,47,[0.24212],[0.2404],0.158,0.2,0.25,206
1,88,[0.08760000000000001],[0.069],0.144,0.2,0.25,206
1,24,[0.3256],[0.326],0.027,0.2,0.25,206
1,81,[-0.8323999999999999],[-0.833],0.049,0.2,0.25,205
1,36,[-0.54584],[-0.5388000000000001],0.156,0.2,0.25,205
1,91,[-0.68324],[-0.6948],0.209,0.2,0.25,205
1,25,[0.89428],[0.9176],0.16,0.2,0.25,206
1,77,[0.01108],[0.0126],0.019,0.2,0.25,206
1,97,[-0.39996],[-0.3982],0.069,0.2,0.25,205
1,54,[-0.035879999999999995],[-0.0676],0.146,0.2,0.25,206
1,63,[0.5801200000000001],[0.5864],0.099,0.2,0.25,206
1,3,[0.57528],[0.5796],0.043,0.2,0.25,206
1,93,[0.7091999999999999],[0.71],0.037,0.2,0.25,206
1,31,[0.38168],[0.3856],0.082,0.2,0.25,206
1,35,[-0.45816],[-0.4592],0.114,0.2,0.25,205
1,19,[-0.49432000000000004],[-0.48240000000000005],0.196,0.2,0.25,205
1,37,[0.50612],[0.5124],0.086,0.2,0.25,206
1,17,[-0.8788],[-0.897],0.13,0.2,0.25,205
1,92,[0.53352],[0.5334],0.046,0.2,0.25,206
1,29,[-0.51888],[-0.5156000000000001],0.111,0.2,0.25,205
1,32,[-0.75772],[-0.7694],0.175,0.2,0.25,205
1,98,[-0.634],[-0.63],0.12,0.2,0.25,205
1,7,[-0.7363999999999999],[-0.738],0.125,0.2,0.25,205
1,27,[-0.29803999999999997],[-0.2798],0.146,0.2,0.25,205
1,85,[0.92852],[0.9604],0.134,0.2,0.25,206
1,39,[0.291],[0.291],0.003,0.2,0.25,206
1,89,[0.40636],[0.4162],0.184,0.2,0.25,206
1,49,[-0.23792],[-0.2254],0.087,0.2,0.25,205
1,68,[-0.8076800000000001],[-0.8096000000000001],0.095,0.2,0.25,205
1,20,[-0.73536],[-0.7312],0.098,0.2,0.25,205
1,62,[0.1006],[0.089],0.108,0.2,0.25,206
1,42,[-0.9039999999999999],[-0.9269999999999999],0.121,0.2,0.25,205
1,99,[0.36519999999999997],[0.367],0.118,0.2,0.25,206
1,59,[-0.38016],[-0.3722],0.14,0.2,0.25,205
1,79,[0.18267999999999998],[0.18059999999999998],0.09,0.2,0.25,206
1,45,[0.39468],[0.40159999999999996],0.182,0.2,0.25,206
2,0,[-0.8646],[-0.88],0.109,0.2,0.25,207
2,17,[-0.86004],[-0.8788],0.13,0.2,0.25,207
2,23,[-0.169128],[-0.15016],0.077,0.2,0.25,207
2,35,[-0.456928],[-0.45816],0.114,0.2,0.25,207
2,47,[0.243696],[0.24212],0.158,0.2,0.25,208
2,20,[-0.738888],[-0.73536],0.098,0.2,0.25,207
2,46,[-0.228576],[-0.22872],0.031,0.2,0.25,207
2,53,[0.858496],[0.85712],0.02,0.2,0.25,208
2,36,[-0.550272],[-0.54584],0.156,0.2,0.25,207
2,40,[-0.7317119999999999],[-0.73164],0.066,0.2,0.25,207
2,71,[0.687336],[0.69292],0.114,0.2,0.25,208
2,98,[-0.6384],[-0.634],0.12,0.2,0.25,207
2,66,[-0.872024],[-0.8892800000000001],0.11,0.2,0.25,207
2,43,[-0.73324],[-0.7398],0.15,0.2,0.25,207
2,65,[0.23312000000000002],[0.23340000000000002],0.122,0.2,0.25,208
2,30,[-0.491208],[-0.48475999999999997],0.136,0.2,0.25,207
2,44,[-0.710896],[-0.71212],0.121,0.2,0.25,207
2,94,[0.706744],[0.71668],0.138,0.2,0.25,208
2,19,[-0.508256],[-0.49432000000000004],0.196,0.2,0.25,207
2,68,[-0.8031440000000001],[-0.8076800000000001],0.095,0.2,0.25,207
2,29,[-0.521904],[-0.51888],0.111,0.2,0.25,207
2,52,[-0.195104],[-0.19088],0.043,0.2,0.25,207
2,56,[0.213672],[0.20984],0.087,0.2,0.25,208
2,79,[0.182944],[0.18267999999999998],0.09,0.2,0.25,208
2,91,[-0.673592],[-0.68324],0.209,0.2,0.25,207
2,90,[-0.71532],[-0.7173999999999999],0.144,0.2,0.25,207
2,100,[-0.7660720000000001],[-0.7658400000000001],0.092,0.2,0.25,207
2,24,[0.32508],[0.3256],0.027,0.2,0.25,208
2,31,[0.377944],[0.38168],0.082,0.2,0.25,208
2,70,[0.4002],[0.40399999999999997],0.074,0.2,0.25,208
2,54,[-0.0039039999999999977],[-0.035879999999999995],0.146,0.2,0.25,208
2,10,[0.20268],[0.1996],0.05,0.2,0.25,208
2,27,[-0.31563199999999997],[-0.29803999999999997],0.146,0.2,0.25,207
2,81,[-0.83012],[-0.8323999999999999],0.049,0.2,0.25,207
2,83,[0.264864],[0.26608],0.059,0.2,0.25,208
2,89,[0.398288],[0.40636],0.184,0.2,0.25,208
2,2,[-0.52272],[-0.5124],0.186,0.2,0.25,207
2,60,[-0.006176],[-0.00772],0.035,0.2,0.25,208
2,67,[-0.721464],[-0.7250800000000001],0.151,0.2,0.25,207
2,18,[-0.733088],[-0.73036],0.054,0.2,0.25,207
2,32,[-0.7475759999999999],[-0.75772],0.175,0.2,0.25,207
2,9,[-0.9224479999999999],[-0.94756],0.113,0.2,0.25,207
2,1,[0.10624800000000001],[0.09656],0.086,0.2,0.25,208
2,82,[-0.963888],[-0.97736],0.053,0.2,0.25,207
2,42,[-0.8837999999999999],[-0.9039999999999999],0.121,0.2,0.25,207
2,6,[-0.351408],[-0.34476],0.108,0.2,0.25,207
2,13,[0.593784],[0.59548],0.088,0.2,0.25,208
2,74,[-0.373824],[-0.37028],0.095,0.2,0.25,207
2,34,[0.844096],[0.84012],0.055,0.2,0.25,208
2,11,[0.306648],[0.31056],0.094,0.2,0.25,208
2,78,[-0.519656],[-0.50532],0.199,0.2,0.25,207
2,63,[0.5746960000000001],[0.5801200000000001],0.099,0.2,0.25,208
2,96,[0.270928],[0.26916],0.206,0.2,0.25,208
2,15,[-0.900576],[-0.93072],0.17,0.2,0.25,207
2,93,[0.71076],[0.7091999999999999],0.037,0.2,0.25,208
2,16,[-0.589152],[-0.58544],0.109,0.2,0.25,207
2,22,[-0.329392],[-0.31324],0.153,0.2,0.25,207
2,80,[0.686936],[0.68992],0.085,0.2,0.25,208
2,51,[0.21436],[0.2122],0.144,0.2,0.25,208
2,88,[0.10508],[0.08760000000000001],0.144,0.2,0.25,208
2,59,[-0.387728],[-0.38016],0.14,0.2,0.25,207
2,73,[-0.801792],[-0.81924],0.161,0.2,0.25,207
2,28,[-0.861024],[-0.8742800000000001],0.095,0.2,0.25,207
2,77,[0.010464],[0.01108],0.019,0.2,0.25,208
2,26,[-0.5158159999999999],[-0.50652],0.169,0.2,0.25,207
2,41,[-0.47197599999999995],[-0.47071999999999997],0.128,0.2,0.25,207
