ID,Sim,Seed,Population,Random_links,Close_links,Dimensions,Updating,Boundary,Boundary_method,P_speaking,Mode,Step,Uncertainty,Opinion1_Start,Opinion1_Final
Nei0,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.642,0.64
Nei1,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.114,-0.081
Nei2,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.941,0.64
Nei3,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.514,0.64
Nei4,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.103,-0.081
Nei5,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.561,-0.709
Nei6,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.543,-0.709
Nei7,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.488,0.64
Nei8,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.189,-0.081
Nei9,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.007,-0.081
Nei10,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.136,-0.081
Nei11,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.563,0.64
Nei12,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.266,0.64
Nei13,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.446,-0.709
Nei14,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.376,0.64
Nei15,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.466,0.64
Nei16,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.157,-0.081
Nei17,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.071,-0.081
Nei18,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.19,-0.081
Nei19,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.76,-0.709
Nei20,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.725,0.64
Nei21,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.852,-0.709
Nei22,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.601,0.64
Nei23,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.76,-0.709
Nei24,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.337,-0.081
Nei25,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.705,-0.709
Nei26,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.737,-0.709
Nei27,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.018,-0.081
Nei28,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.999,0.64
Nei29,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.754,0.64
Nei30,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.837,-0.709
Nei31,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.628,0.64
Nei32,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.045,-0.081
Nei33,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.821,-0.709
Nei34,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.99,0.64
Nei35,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.452,-0.709
Nei36,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.755,0.64
Nei37,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.351,0.64
Nei38,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.61,0.64
Nei39,Sims02,47,129,0,64,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.151,-0.081
