ID,Sim,Seed,Population,Random_links,Close_links,Dimensions,Updating,Boundary,Boundary_method,P_speaking,Mode,Step,Uncertainty,Opinion1_Start,Opinion1_Final
Nei0,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.619,-0.335
Nei1,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.82,-0.789
Nei2,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.512,0.4
Nei3,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.659,0.4
Nei4,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.14,-0.335
Nei5,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.729,-0.789
Nei6,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.092,-0.021
Nei7,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.828,-0.789
Nei8,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.367,0.4
Nei9,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.648,-0.789
Nei10,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.011,-0.021
Nei11,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.472,0.4
Nei12,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.643,0.4
Nei13,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.267,-0.335
Nei14,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.193,0.4
Nei15,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.046,-0.021
Nei16,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.899,0.812
Nei17,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.586,0.4
Nei18,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.417,0.4
Nei19,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.477,-0.335
Nei20,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.891,-0.789
Nei21,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.242,0.4
Nei22,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.46,-0.335
Nei23,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.656,-0.789
Nei24,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.059,-0.021
Nei25,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.868,-0.789
Nei26,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.284,0.4
Nei27,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.419,-0.335
Nei28,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.571,0.4
Nei29,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.522,0.4
Nei30,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.917,-0.789
Nei31,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.813,-0.789
Nei32,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.487,0.4
Nei33,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.657,-0.789
Nei34,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.831,-0.789
Nei35,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.612,-0.335
Nei36,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.371,-0.335
Nei37,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.82,-0.789
Nei38,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.184,-0.335
Nei39,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.6,0.4
Nei40,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.269,-0.335
Nei41,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.95,0.812
Nei42,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.41,0.4
Nei43,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.44,0.4
Nei44,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.749,-0.789
Nei45,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.286,-0.335
Nei46,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.254,-0.335
Nei47,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.201,-0.335
Nei48,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.018,-0.021
Nei49,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.206,0.4
Nei50,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.511,-0.335
Nei51,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.54,-0.335
Nei52,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.363,0.4
Nei53,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.892,-0.789
Nei54,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.27,-0.335
Nei55,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.359,-0.335
Nei56,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.881,0.812
Nei57,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.482,0.4
Nei58,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.435,0.4
Nei59,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.806,0.812
Nei60,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.814,-0.789
Nei61,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.477,-0.335
Nei62,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.936,0.812
Nei63,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.045,-0.021
Nei64,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.462,-0.335
Nei65,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.808,0.812
Nei66,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,0.389,0.4
Nei67,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.712,-0.789
Nei68,Sims02,6,129,0,64,1,1,0.1,constant,1,openly-listen,206,0.1,-0.575,-0.335
