"BehaviorSpace results (NetLogo 6.2.0)"
"groupFormation.nlogo"
"HK-benchmarkV02"
"12/06/2021 22:21:28:778 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","record?","construct-name?","max-ticks","RS","N-agents","p-random","HK-benchmark?","opinions","updating","boundary","boundary-drawn","p-speaking","mode","X-opinion","Y-opinion","model","min-boundary","sigma","set-seed?","mu","record-length","[step]","ticks"
"3","true","true","5000","11","129","0","true","1","1","0.1","constant","0.9","openly-listen","1","1","HK","0","0.05","true","0.5","100","203","204"
"4","true","true","5000","11","129","0","true","1","1","0.1","constant","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"2","true","true","5000","11","129","0","true","1","1","0.1","constant","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","204","205"
"1","true","true","5000","11","129","0","true","1","1","0.1","constant","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","204","205"
"5","true","true","5000","11","129","0","true","1","1","0.1","constant","0.5","openly-listen","1","1","HK","0","0.05","true","0.5","100","206","207"
"6","true","true","5000","11","129","0","true","1","1","0.1","constant","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","206","207"
"7","true","true","5000","11","129","0","true","1","1","0.1","uniform","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","257","258"
"8","true","true","5000","11","129","0","true","1","1","0.1","uniform","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","205","206"
"10","true","true","5000","11","129","0","true","1","1","0.1","uniform","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","205","206"
"12","true","true","5000","11","129","0","true","1","1","0.1","uniform","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","206","207"
"13","true","true","5000","11","129","0","true","1","1","0.2","constant","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","203","204"
"14","true","true","5000","11","129","0","true","1","1","0.2","constant","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"15","true","true","5000","11","129","0","true","1","1","0.2","constant","0.9","openly-listen","1","1","HK","0","0.05","true","0.5","100","204","205"
"17","true","true","5000","11","129","0","true","1","1","0.2","constant","0.5","openly-listen","1","1","HK","0","0.05","true","0.5","100","204","205"
"16","true","true","5000","11","129","0","true","1","1","0.2","constant","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","204","205"
"18","true","true","5000","11","129","0","true","1","1","0.2","constant","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","204","205"
"19","true","true","5000","11","129","0","true","1","1","0.2","uniform","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","281","282"
"20","true","true","5000","11","129","0","true","1","1","0.2","uniform","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","204","205"
"22","true","true","5000","11","129","0","true","1","1","0.2","uniform","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","205","206"
"11","true","true","5000","11","129","0","true","1","1","0.1","uniform","0.5","openly-listen","1","1","HK","0","0.05","true","0.5","100","4999","5000"
"24","true","true","5000","11","129","0","true","1","1","0.2","uniform","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","204","205"
"25","true","true","5000","11","129","0","true","1","1","0.3","constant","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","203","204"
"26","true","true","5000","11","129","0","true","1","1","0.3","constant","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"27","true","true","5000","11","129","0","true","1","1","0.3","constant","0.9","openly-listen","1","1","HK","0","0.05","true","0.5","100","203","204"
"9","true","true","5000","11","129","0","true","1","1","0.1","uniform","0.9","openly-listen","1","1","HK","0","0.05","true","0.5","100","4999","5000"
"28","true","true","5000","11","129","0","true","1","1","0.3","constant","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"29","true","true","5000","11","129","0","true","1","1","0.3","constant","0.5","openly-listen","1","1","HK","0","0.05","true","0.5","100","204","205"
"30","true","true","5000","11","129","0","true","1","1","0.3","constant","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","204","205"
"31","true","true","5000","11","129","0","true","1","1","0.3","uniform","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","235","236"
"23","true","true","5000","11","129","0","true","1","1","0.2","uniform","0.5","openly-listen","1","1","HK","0","0.05","true","0.5","100","4999","5000"
"32","true","true","5000","11","129","0","true","1","1","0.3","uniform","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","202","203"
"34","true","true","5000","11","129","0","true","1","1","0.3","uniform","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","202","203"
"36","true","true","5000","11","129","0","true","1","1","0.3","uniform","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"35","true","true","5000","11","129","0","true","1","1","0.3","uniform","0.5","openly-listen","1","1","HK","0","0.05","true","0.5","100","952","953"
"37","true","true","5000","11","257","0","true","1","1","0.1","constant","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","203","204"
"38","true","true","5000","11","257","0","true","1","1","0.1","constant","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"21","true","true","5000","11","129","0","true","1","1","0.2","uniform","0.9","openly-listen","1","1","HK","0","0.05","true","0.5","100","4999","5000"
"39","true","true","5000","11","257","0","true","1","1","0.1","constant","0.9","openly-listen","1","1","HK","0","0.05","true","0.5","100","203","204"
"41","true","true","5000","11","257","0","true","1","1","0.1","constant","0.5","openly-listen","1","1","HK","0","0.05","true","0.5","100","204","205"
"40","true","true","5000","11","257","0","true","1","1","0.1","constant","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"42","true","true","5000","11","257","0","true","1","1","0.1","constant","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","204","205"
"44","true","true","5000","11","257","0","true","1","1","0.1","uniform","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","207","208"
"46","true","true","5000","11","257","0","true","1","1","0.1","uniform","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","207","208"
"43","true","true","5000","11","257","0","true","1","1","0.1","uniform","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","509","510"
"33","true","true","5000","11","129","0","true","1","1","0.3","uniform","0.9","openly-listen","1","1","HK","0","0.05","true","0.5","100","4999","5000"
"48","true","true","5000","11","257","0","true","1","1","0.1","uniform","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","205","206"
"49","true","true","5000","11","257","0","true","1","1","0.2","constant","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","203","204"
"50","true","true","5000","11","257","0","true","1","1","0.2","constant","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"51","true","true","5000","11","257","0","true","1","1","0.2","constant","0.9","openly-listen","1","1","HK","0","0.05","true","0.5","100","203","204"
"53","true","true","5000","11","257","0","true","1","1","0.2","constant","0.5","openly-listen","1","1","HK","0","0.05","true","0.5","100","202","203"
"52","true","true","5000","11","257","0","true","1","1","0.2","constant","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"54","true","true","5000","11","257","0","true","1","1","0.2","constant","0.5","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","202","203"
"56","true","true","5000","11","257","0","true","1","1","0.2","uniform","1","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
"55","true","true","5000","11","257","0","true","1","1","0.2","uniform","1","openly-listen","1","1","HK","0","0.05","true","0.5","100","294","295"
"58","true","true","5000","11","257","0","true","1","1","0.2","uniform","0.9","vaguely-speak","1","1","HK","0","0.05","true","0.5","100","203","204"
