ID,Sim,Seed,Population,Random_links,Close_links,Dimensions,Updating,Boundary,Boundary_method,P_speaking,Mode,Step,Uncertainty,Opinion1_Start,Opinion1_Final
Nei0,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.636,0.773
Nei1,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.685,-0.695
Nei2,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.977,0.773
Nei3,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.847,-0.695
Nei4,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.841,0.773
Nei5,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.943,-0.695
Nei6,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.713,-0.695
Nei7,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.604,0.773
Nei8,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.559,0.773
Nei9,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.242,-0.276
Nei10,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.448,0.185
Nei11,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.871,-0.695
Nei12,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.69,0.773
Nei13,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.025,-0.276
Nei14,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.911,-0.695
Nei15,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.63,-0.695
Nei16,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.363,-0.276
Nei17,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.641,-0.695
Nei18,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.881,-0.695
Nei19,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.313,0.185
Nei20,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.583,-0.695
Nei21,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.074,-0.276
Nei22,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.122,0.185
Nei23,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.057,-0.276
Nei24,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.07,0.185
Nei25,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.543,-0.695
Nei26,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.804,-0.695
Nei27,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.192,-0.276
Nei28,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.44,-0.276
Nei29,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.382,0.185
Nei30,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.477,0.185
Nei31,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.648,0.773
Nei32,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.647,0.773
Nei33,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.29,0.185
Nei34,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.664,0.773
Nei35,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.768,0.773
Nei36,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.813,0.773
Nei37,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,0.95,0.773
Nei38,Sims02,31,257,0,128,1,1,0.1,constant,0.5,openly-listen,205,0.1,-0.587,-0.695
