ID,Sim,Seed,Population,Random_links,Close_links,Dimensions,Updating,Boundary,Boundary_method,P_speaking,Mode,Step,Uncertainty,Opinion1_Start,Opinion1_Final
Nei0,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.919,-0.731
Nei1,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.922,0.651
Nei2,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.208,-0.121
Nei3,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.641,-0.731
Nei4,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.705,-0.731
Nei5,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.512,0.651
Nei6,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.518,0.651
Nei7,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.583,0.651
Nei8,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.134,-0.121
Nei9,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.438,0.651
Nei10,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.194,-0.121
Nei11,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.3,-0.121
Nei12,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.645,0.651
Nei13,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.69,-0.731
Nei14,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.328,-0.121
Nei15,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.092,-0.121
Nei16,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.747,0.651
Nei17,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.455,-0.121
Nei18,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.926,0.651
Nei19,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.799,-0.731
Nei20,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.688,-0.731
Nei21,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.82,-0.731
Nei22,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.82,0.651
Nei23,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.358,-0.121
Nei24,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,0.861,0.651
Nei25,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.496,-0.121
Nei26,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.2,-0.121
Nei27,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.713,-0.731
Nei28,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.474,-0.121
Nei29,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.958,-0.731
Nei30,Sims02,63,513,0,256,1,1,0.1,constant,0.5,openly-listen,223,0.1,-0.973,-0.731
