"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identityPaper_reducedModel.nlogo"
"Step4.2_IndID-hetPar_RS01-25"
"01/06/2023 05:51:13:215 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","Number_Of_Agents","HK_opinion_distribution?","Use_Present_Opinion?","Boundary_Distribution","Boundary_Mean","Boundary_STD","Conformity_Distribution","Conformity_Mean","Conformity_STD","Use_Identity?","Identity_Type","SPIRO_Distribution","SPIRO_Mean","SPIRO_STD","Identity_Levels","Minimum_SPIRO","Maximum_SPIRO","Proportion_Of_High_Covert_SPIRO","centroid_color?","N_centroids","killing_centroids?","avoid_seed_control?","updating","set-seed?","polar_repeats","Normalize_Distances?","Y-opinion","X-opinion","Number_Of_Opinion_Dimensions","model","max-ticks","Centroids_change","polarisation-each-n-steps","show_dice_rolls?","ESBG_furthest_out","[step]","ticks","precision diversity 3","precision extremness 3","precision ESBG_polarisation 3","precision mean [own-boundary] of turtles 3","precision standard-deviation [own-boundary] of turtles 3","precision mean [own-conformity] of turtles 3","precision standard-deviation [own-conformity] of turtles 3","SPIRO_0.15","SPIRO_0.25","SPIRO_0.35","SPIRO_0.45","SPIRO_0.55","SPIRO_0.65","SPIRO_0.75","SPIRO_0.85"
"4","4","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0.475","0.15","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.545","0.509","0.433","0.1","0","0.797","0.082","0","8","23","26","25","15","4","0"
"6","6","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0.475","0.15","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.546","0.508","0.43","0.1","0","0.783","0.085","0","5","10","31","27","22","5","1"
"8","8","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0.475","0.15","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.544","0.507","0.428","0.1","0","0.794","0.102","1","12","24","29","21","8","5","1"
"3","3","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0.475","0.15","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.546","0.506","0.423","0.1","0","0.804","0.11","4","9","23","35","18","11","1","0"
"7","7","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0.475","0.15","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.542","0.504","0.426","0.1","0","0.798","0.095","1","14","21","27","26","11","1","0"
"1","1","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0.475","0.15","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.543","0.502","0.418","0.1","0","0.795","0.096","4","4","20","22","30","15","5","1"
"2","2","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0.475","0.15","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.541","0.503","0.425","0.1","0","0.783","0.085","4","8","17","31","24","9","8","0"
"5","5","101","true","false","normal","0.1","0","normal","0.8","0.1","true","individual","normal","0.475","0.15","8","0.15","0.85","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","365","0.545","0.504","0.421","0.1","0","0.789","0.097","3","12","13","26","29","12","5","1"
