"search-number","evaluation","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","conformity-level*","conformity-drawn*","network-change*","cut-links-randomly?*","create-links-randomly?*","min-comm-neis*","dissatisfied_updates_opinion*","id_threshold*","use_identity?*","use_opponents_ratio?*","polarisation-each-n-steps*","polar_repeats*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","esbg_furthest_out*","n-agents*","opinions*","model*","rs*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","record?*","max-ticks*","hk-benchmark?*","record-each-n-steps*","avoid-redundancies?*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"61","77","52","0.16","0.018000000000000002","""uniform""","0.5","""uniform""","""vaguely-speak""","0.97","""uniform""","0.47000000000000003","""uniform""","""link""","false","true","8","0.19","0.55","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.642","0.5445"
"61","84","12","0.22","0.058","""uniform""","0.04","""uniform""","""vaguely-speak""","0.04","""uniform""","0.77","""uniform""","""link""","false","false","2","0.58","0.11","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.509","7","0.642","0.5445"
"61","91","8","0.25","0.726","""uniform""","0.26","""uniform""","""vaguely-speak""","0.8200000000000001","""uniform""","1","""uniform""","""link""","false","true","2","0.87","0.29000000000000004","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.642","0.5445"
"61","98","37","0.44","0.726","""uniform""","0.17","""uniform""","""vaguely-speak""","0.37","""uniform""","0.73","""uniform""","""link""","false","false","4","0.17","0.15000000000000002","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0","7","0.642","0.5445"
"61","105","20","0.3","0.302","""uniform""","0.26","""uniform""","""vaguely-speak""","0.04","""uniform""","0.92","""uniform""","""link""","false","false","6","0.61","0.72","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.556","7","0.642","0.5445"
"61","112","4","0.32","0.092","""uniform""","0.12","""uniform""","""openly-listen""","0.74","""uniform""","0.36000000000000004","""uniform""","""link""","false","true","3","0.9500000000000001","0.6","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.551","7","0.642","0.5445"
"61","119","29","0.5","0.15300000000000002","""uniform""","0.35000000000000003","""uniform""","""openly-listen""","0.78","""uniform""","0.15000000000000002","""uniform""","""link""","false","true","5","0.45","0.19","false","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.176","7","0.642","0.5445"
"61","126","25","0.37","0.395","""uniform""","0.11","""uniform""","""vaguely-speak""","0.15000000000000002","""uniform""","0.29000000000000004","""uniform""","""link""","false","false","2","0.99","0.77","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.5760000000000001","7","0.642","0.5445"
"61","133","16","0.47000000000000003","0.655","""uniform""","0.02","""uniform""","""openly-listen""","1.1","""uniform""","0.45","""uniform""","""link""","false","false","3","0.89","0.14","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.504","7","0.642","0.5445"
"61","140","34","0.23","0.928","""uniform""","0.02","""uniform""","""vaguely-speak""","0.51","""uniform""","0.92","""uniform""","""link""","false","false","6","0.47000000000000003","0.18","true","false","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","0.516","7","0.642","0.5445"
