"search-number","evaluation","evals-requested-so-far","conformity-level*","conformity-drawn*","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","network-change*","random-network-change?*","n_centroids*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","polarisation-each-n-steps*","polar_repeats*","opinions*","model*","record-each-n-steps*","avoid-redundancies?*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","construct-name?*","record?*","max-ticks*","hk-benchmark?*","n-agents*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","11","25","0.37","""uniform""","35","0.25","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1774240146""","0.993","0.993","0.993","0","0.993"
"1","12","25","0.37","""uniform""","35","0.25","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-282028156""","0.812","0.812","0.812","0","0.812"
"1","13","25","0.37","""uniform""","35","0.25","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1414895396""","0.976","0.976","0.976","0","0.976"
"1","14","25","0.37","""uniform""","35","0.25","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""128818312""","0.901","0.901","0.901","0","0.901"
"1","15","25","0.37","""uniform""","35","0.25","0.07","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.48","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1636172126""","0.972","0.972","0.972","0","0.972"
"1","16","25","0.45000000000000007","""uniform""","49","0.27","0.91","""uniform""","0.31","""uniform""","""vaguely-speak""","0.19","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-2069911082""","0.071","0.071","0.071","0","0.071"
"1","17","25","0.45000000000000007","""uniform""","49","0.27","0.91","""uniform""","0.31","""uniform""","""vaguely-speak""","0.19","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1001538389""","0.292","0.292","0.292","0","0.292"
"1","18","25","0.45000000000000007","""uniform""","49","0.27","0.91","""uniform""","0.31","""uniform""","""vaguely-speak""","0.19","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-2103063992""","0.073","0.073","0.073","0","0.073"
"1","19","25","0.45000000000000007","""uniform""","49","0.27","0.91","""uniform""","0.31","""uniform""","""vaguely-speak""","0.19","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""-1861667623""","0.091","0.091","0.091","0","0.091"
"1","20","25","0.45000000000000007","""uniform""","49","0.27","0.91","""uniform""","0.31","""uniform""","""vaguely-speak""","0.19","""uniform""","""link""","false","4","1.0E-5","false","true","0.8","3000","20","2","""HK""","5000","false","false","1","2","1","25","true","false","3000","false","257","""1220693024""","0.103","0.103","0.103","0","0.103"
