"search-number","evaluation","n-neis*","p-random*","p-speaking-level*","p-speaking-drawn*","boundary*","boundary-drawn*","mode*","tolerance-level*","tolerance-drawn*","conformity-level*","conformity-drawn*","network-change*","cut-links-randomly?*","create-links-randomly?*","min-comm-neis*","dissatisfied_updates_opinion*","id_threshold*","use_identity?*","use_opponents_ratio?*","identity_levels*","polarisation-each-n-steps*","polar_repeats*","centroids_change*","centroid_color?*","killing_centroids?*","d_threshold*","esbg_furthest_out*","n-agents*","opinions*","model*","rs*","set-seed?*","x-opinion*","y-opinion*","updating*","record-length*","record?*","max-ticks*","hk-benchmark?*","record-each-n-steps*","avoid-redundancies?*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"101","7","61","0.15","0.59","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.68","""uniform""","0.4","""uniform""","""link""","false","true","0","0.5","0.54","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.594","10","0.5175000000000001"
"101","154","61","0.15","0.59","""uniform""","0.09999999999999999","""uniform""","""openly-listen""","0.68","""uniform""","0.4","""uniform""","""link""","false","true","0","0.5","0.54","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.627","10","0.542"
"102","7","25","0.4","0.593","""uniform""","0.46","""uniform""","""openly-listen""","0.79","""uniform""","0.76","""uniform""","""link""","false","true","6","0.5","0.22","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.14200000000000002","10","0.1085"
"102","14","57","0.13","0.20600000000000002","""uniform""","0.2","""uniform""","""openly-listen""","0.33","""uniform""","0.060000000000000005","""uniform""","""link""","false","true","9","0.16","0.76","false","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.312","10","0.318"
"102","49","28","0.48","0.528","""uniform""","0.41000000000000003","""uniform""","""openly-listen""","0.18000000000000002","""uniform""","0.61","""uniform""","""link""","false","false","5","0.52","0.64","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.611","10","0.5415"
"102","175","35","0.25","0.983","""uniform""","0.16","""uniform""","""vaguely-speak""","0.56","""uniform""","0.29000000000000004","""uniform""","""link""","false","false","3","0.9500000000000001","0.37","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.672","10","0.001"
"103","7","45","0.26","0.36000000000000004","""uniform""","0.46","""uniform""","""vaguely-speak""","0.39","""uniform""","0.5","""uniform""","""link""","false","false","5","0.01","0.63","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.006","10","0.233"
"103","14","54","0.14","0.9660000000000001","""uniform""","0.09","""uniform""","""openly-listen""","0.72","""uniform""","0.6","""uniform""","""link""","false","false","8","0.33","0.42000000000000004","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.558","10","0.5315000000000001"
"103","21","30","0.41000000000000003","0.031","""uniform""","0.23","""uniform""","""vaguely-speak""","0.65","""uniform""","0.42000000000000004","""uniform""","""link""","false","false","6","0.71","0.72","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.591","10","0.594"
"103","147","34","0.13","0.996","""uniform""","0.23","""uniform""","""vaguely-speak""","0.7100000000000001","""uniform""","0.33","""uniform""","""link""","false","true","9","0.22","0.73","true","false","5","999","20","1.0E-5","false","true","0.8","5","129","2","""HK""","1","false","1","2","1","20","false","1000","false","10000","false","7","0.595","10","0.621"
