"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity1D.nlogo"
"regularExperimentPart29b"
"03/18/2022 16:07:42:871 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","use_identity?","id_threshold","max-ticks","record-each-n-steps","boundary","conformity-level","n-neis","p-random","mode","tolerance-level","p-speaking-level","network-change","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","polar_repeats","Y-opinion","draw_id_threshold","model","cut-links-randomly?","record?","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","updating","set-seed?","N-agents","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","sd_op1_start","median_op1_start","lower_op1_start","upper_op1_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","sd_op1_final","median_op1_final","lower_op1_final","upper_op1_final"
"27","1","1","false","0.49","365","365","0.126","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","12.000000000000005","0.8283996200003264","0.8584981634213216","1.1875","0.6","0.539","0.021975487923545856","0.6134569641430433","0.5719050398009453","-0.650150132198126","0.5827497955285665"
"30","1","1","false","0.49","365","365","0.129","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","12.000000000000002","0.8278232703994995","0.8579827892375818","1.1875","0.591","0.563","-0.019132061880185566","0.6131475863578656","0.5432590578256759","-0.6861079116100519","0.5521210083574881"
"29","1","1","false","0.49","365","365","0.128","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","11.999999999999996","0.8298107862370877","0.8633823560768866","1.1875","0.549","0.553","-0.1003205134135735","0.5770910840228263","0.18300000000000002","-0.7138788959887254","0.43774329643077725"
"16","1","1","false","0.49","365","365","0.115","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","12","0.8320127448287458","0.8705803524667723","1.1875","0.546","0.505","-0.06704952808953539","0.5795737275384005","0.45056698028820075","-0.712808238955801","0.4574322235751329"
"31","1","1","false","0.49","365","365","0.13","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","11.999999999999998","0.8288940724937561","0.8609538364724378","1.1875","0.574","0.55","-0.044270717464533926","0.6008195115767867","0.49628082425003306","-0.6991151984833659","0.5153649955504012"
"28","1","1","false","0.49","365","365","0.127","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","12.01550387596899","0.8327669953120017","0.8610278318702743","1.1877422480620154","0.557","0.534","-0.069237362746498","0.584441392653623","0.4617933918646266","-0.701133793866564","0.46870370751973767"
"25","1","1","false","0.49","365","365","0.124","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","12.03875968992248","0.8338901681651255","0.8621490992248013","1.1881056201550388","0.584","0.562","-0.03868128609440444","0.6137786666976316","0.5160709543352077","-0.704103433698941","0.5355119530191099"
"23","1","1","false","0.49","365","365","0.122","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","12.000000000000004","0.8288857163631886","0.8605062243596048","1.1875","0.56","0.538","-0.044910710399402455","0.5901785906938708","0.47649516023012534","-0.684356754525677","0.5027863601294678"
"12","1","1","false","0.49","365","365","0.111","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","11.999999999999995","0.8294454856588941","0.8622521558714416","1.1875","0.582","0.56","-0.016624862109593786","0.6058642456908574","0.5332300353903673","-0.6667281932072504","0.544584079475156"
"18","1","1","false","0.49","365","365","0.117","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","12.015503875968989","0.8339060802536256","0.8621705247932906","1.1877422480620154","0.458","0.432","-0.14951552256260692","0.4902960648395026","0.2671802634094609","-0.6768801918818532","0.27807762373404227"
"26","1","1","false","0.49","365","365","0.125","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9120932717941237","0.8126144277829309","1.1875","0.438","0.423","-0.0765968992248062","0.6250742770785805","-0.055","-0.667","0.538","11.999999999999993","0.8282880548992537","0.8584633987300592","1.1875","0.619","0.584","-0.019426060595098774","0.6392113171912052","0.5639202092700812","-0.7149366771860649","0.5736312067305026"
