"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity4D.nlogo"
"regularExperimentPart57"
"03/27/2022 14:16:00:993 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","boundary","id_threshold","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"18","61","true","4","0.05","0.22","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.929134831362418","0.8126031697517233","1.1875","0.261","0.076","-0.05994573643410856","0.06633333333333333","0.013093023255813957","-0.046279069767441866","0.5400780515073365","0.5609368744193357","0.5697931154410958","0.5771287358654289","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999995","0.8335723009194965","0.8687717906681355","1.1875","0.26","0.077","-0.05954469970137895","0.07030276034664254","0.012102933346549494","-0.043881772536199105","0.5398469448318194","0.5620077647948502","0.5697024933327257","0.5757610758590327","-0.102","0.097","-0.102","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"32","61","true","4","0.06","0.06","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8333988201720288","0.8683602866244616","1.1875","0.269","0.073","-0.06402160114531569","0.06784744306494135","0.006867924665733778","-0.044754380712896676","0.5384316611768215","0.5543851253248562","0.5697330894704267","0.5724736240681266","-0.108","0.097","-0.108","0.097","-0.439","-0.3405","-0.439","-0.3405","0.34650000000000003","0.521","0.34650000000000003","0.521"
"14","61","true","4","0.05","0.18","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"12","61","true","4","0.05","0.16","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"8","61","true","4","0.05","0.12","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"11","61","true","4","0.05","0.15","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"28","61","true","4","0.05","0.32","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12","0.9291348313624181","0.8126031697517232","1.1875","0.261","0.076","-0.05994573643410854","0.06633333333333333","0.013093023255813964","-0.04627906976744186","0.5400780515073366","0.5609368744193356","0.5697931154410956","0.5771287358654289","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","12.000000000000004","0.8334061710378748","0.8685110676613411","1.1875","0.257","0.075","-0.06067258072961265","0.0692282487070778","0.01324774728216435","-0.0463871829830378","0.5389410496857415","0.5612106882905412","0.5698105062069985","0.5760407828881914","-0.102","0.115","-0.102","0.115","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"25","61","true","4","0.05","0.29","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12","0.9291348313624178","0.8126031697517232","1.1875","0.261","0.076","-0.0599457364341085","0.06633333333333333","0.013093023255813968","-0.04627906976744185","0.5400780515073365","0.5609368744193354","0.5697931154410957","0.5771287358654289","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999996","0.8334390392094726","0.8685568886478409","1.1875","0.264","0.076","-0.058027138053067265","0.06796587235865313","0.008223612792437128","-0.04744088661402001","0.5399175587779552","0.5616760577570636","0.5691353451633162","0.5763174610900654","-0.108","0.092","-0.108","0.092","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"4","61","true","4","0.05","0.08","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
"10","61","true","4","0.05","0.14","0.45","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9291348313624181","0.8126031697517235","1.1875","0.259","0.076","-0.0599457364341085","0.0663333333333333","0.013093023255813964","-0.04627906976744184","0.5400780515073367","0.5609368744193355","0.5697931154410957","0.5771287358654288","-0.102","0.097","0.072","-0.063","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405","11.999999999999998","0.8336285740208469","0.8689016158518662","1.1875","0.262","0.076","-0.05993521452466668","0.07119895363661764","0.011285643114640797","-0.044033443892937764","0.5393186279420114","0.5618960720341326","0.5694180203529432","0.5758539400798455","-0.0988497746209544","0.097","-0.0988497746209544","0.097","-0.439","-0.36","-0.439","-0.36","0.34650000000000003","0.5405","0.34650000000000003","0.5405"
