"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity1D.nlogo"
"regularExperimentPart52"
"03/25/2022 13:24:19:683 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","use_identity?","id_threshold","boundary","max-ticks","record-each-n-steps","conformity-level","n-neis","p-random","mode","tolerance-level","p-speaking-level","network-change","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","polar_repeats","Y-opinion","draw_id_threshold","model","cut-links-randomly?","record?","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","updating","set-seed?","N-agents","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","sd_op1_start","median_op1_start","lower_op1_start","upper_op1_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","sd_op1_final","median_op1_final","lower_op1_final","upper_op1_final"
"32","1","1","true","0.61","0.36","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","12.000000000000002","0.8226293229306834","0.8363356882094353","1.1875","0.56","0.567","-0.14483654370623927","0.5744573267018078","0.08335696614905468","-0.7232758593672961","0.42485371493501245"
"11","1","1","true","0.61","0.15","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","12.015503875968996","0.8312290711289835","0.8563168682207074","1.1877422480620154","0.573","0.571","-0.041753073999665574","0.5926212050825295","0.06658848744679735","-0.6362612024706091","0.5504010871287797"
"29","1","1","true","0.61","0.33","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","12.000000000000004","0.8233583420533402","0.8386769049169588","1.1875","0.547","0.552","-0.06771699735013494","0.557681920960785","0.4706518889565985","-0.6338349519376205","0.4753668487049304"
"25","1","1","true","0.61","0.29","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","12.007751937984493","0.8269619278508731","0.8394899405641785","1.1876211240310077","0.527","0.534","-0.08919734960397802","0.5393128451845672","0.24392795191962638","-0.6364371659820092","0.437987558135018"
"24","1","1","true","0.61","0.28","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","11.999999999999998","0.8231309315846043","0.8392476597320808","1.1875","0.531","0.54","-0.09146218475306009","0.5441838545176421","0.05737452365561061","-0.6346437225297721","0.4503348542954295"
"31","1","1","true","0.61","0.35","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","12","0.8233422723142206","0.8392108485016576","1.1875","0.521","0.528","-0.09020225505794409","0.5331131672395207","0.1579368809949498","-0.6226907083112818","0.43911496339141753"
"19","1","1","true","0.61","0.23","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","11.999999999999996","0.8248141875358594","0.8452633884545928","1.1875","0.566","0.577","-0.1282869498040403","0.5802147622935833","0.07055358919965288","-0.7097419315817481","0.4478063162405934"
"27","1","1","true","0.61","0.31","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","12.000000000000002","0.8238626089037236","0.8415777392682038","1.1875","0.561","0.571","-0.13427525095122725","0.5757862473786841","0.06769590493192847","-0.7104816282023596","0.4374207171776996"
"30","1","1","true","0.61","0.34","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","12.000000000000002","0.8226595992675083","0.8369511390906565","1.1875","0.528","0.535","-0.09121979457246472","0.5393799714696311","0.07987031619057378","-0.6306531683633081","0.4458913742248365"
"28","1","1","true","0.61","0.32","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000007","0.9120932717941227","0.8126144277829307","1.1875","0.438","0.423","-0.07659689922480618","0.6250742770785805","-0.055","-0.667","0.538","11.999999999999998","0.8233795813657467","0.839353565865992","1.1875","0.523","0.531","-0.09494611704756417","0.5348309241197231","0.06508110309827397","-0.6289711445327393","0.4368374774631658"
