"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperimentPart54"
"03/25/2022 13:42:10:757 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","id_threshold","boundary","max-ticks","p-random","n-neis","mode","record-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","network-change","tolerance-level","p-speaking-level","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","cut-links-randomly?","record?","updating","set-seed?","polar_repeats","Y-opinion","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"22","1","true","2","0.05","0.26","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.2015503875969","0.8380778911734347","0.8569410112140566","1.1906492248062015","0.137","0.07","0.07830993625756909","-0.0320965185644216","0.27776505550712366","0.3276177828344287","0.0815938122847931","-0.03661902052967261","0.0683738631738058","-0.0757040472287646","0.10055021313332924","0.003600126127853892"
"14","1","true","2","0.05","0.18","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.02325581395349","0.8441916937247849","0.8779286769924272","1.1878633720930232","0.238","0.114","0.2804226727622094","-0.28250062746864724","0.3068494729534246","0.4967439055613329","0.4011278914317409","-0.5171183195656598","0.05482071854658854","-0.5220633085463247","0.40889135865649995","-0.5071407761705098"
"19","1","true","2","0.05","0.23","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.1937984496124","0.8350705605301036","0.8564988692930837","1.1905281007751938","0.142","0.072","0.06778734016478051","-0.0300324260671913","0.2941684329606786","0.32148194865927077","0.042094492621014085","-0.02507532095612479","0.017517519007892255","-0.059318789450028456","0.08639237546470407","0.012372344416080528"
"23","1","true","2","0.05","0.27","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.170542635658915","0.8397640240497384","0.8541091898717901","1.1901647286821706","0.16","0.068","-0.03673395123796175","0.03802042854806294","0.28767319923678203","0.3592922562733934","-0.06693699631507162","0.04475908426188448","-0.08904559676823759","-0.00960673181475586","-0.024847775694761303","0.0905778206227"
"17","1","true","2","0.05","0.21","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.34883720930233","0.8397989938837994","0.8630733791657734","1.192950581395349","0.184","0.087","0.19442823466880865","0.02984283745606635","0.2996655955230692","0.374399016237093","0.22468439118123396","0.03065153543452545","0.16337186586851116","-0.03338757799210225","0.2320714582305165","0.057486167983008485"
"16","1","true","2","0.05","0.2","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.217054263565888","0.8545913959477047","0.8656436833098738","1.190891472868217","0.127","0.056","0.0926334078367335","0.01910424942000161","0.2797761154881204","0.31069925820510375","0.08855100214464243","0.09678640743505337","0.08451566978059885","0.0341156374339093","0.09213170426541151","0.10808556404742245"
"18","1","true","2","0.05","0.22","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.294573643410859","0.8347082336207554","0.8566783554545422","1.1921027131782946","0.148","0.055","0.16746962779399838","0.011549652756427269","0.30777724271400597","0.35035483392906325","0.14879747420064215","0.04032941898487889","0.1361073748830542","-0.014404709440009104","0.1797593923253952","0.08246836873073704"
"20","1","true","2","0.05","0.24","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.232558139534884","0.8417124109819353","0.8565589788636387","1.1911337209302326","0.147","0.067","0.11266198975069952","-0.07072915419914773","0.2930082776371573","0.33365725087982034","0.12239707272918963","-0.08266890420347849","0.10511448740984913","-0.1069529195129374","0.1456773447607995","-0.04407442489049107"
"15","1","true","2","0.05","0.19","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.224806201550386","0.8430137499866336","0.8685106158765542","1.191012596899225","0.197","0.088","0.21771433919702962","-0.09821532195575973","0.3183037950168282","0.41686577140578274","0.27293997175113255","-0.207824137185075","0.06538050001046064","-0.25367581339435713","0.31144564135603975","-0.11399598836525363"
"13","1","true","2","0.05","0.17","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12","0.9120932717941233","0.8126144277829311","1.1875","0.363","0.155","0.09010852713178294","-0.05872868217054257","0.5861707467793364","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","12.085271317829452","0.8565368169694099","0.8879786234833774","1.1888323643410852","0.17","0.07","-0.04255749418719907","0.032587383916021936","0.3569414651221367","0.3605120534331281","-0.11753175146579849","0.1555680069408178","-0.1358242664188284","0.12503038434564093","-0.09891460589065465","0.16942231205934882"
