"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity1D.nlogo"
"regularExperimentPart11"
"03/13/2022 12:52:32:361 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","cut-links-randomly?","record?","opinions","updating","set-seed?","boundary","polar_repeats","Y-opinion","draw_id_threshold","model","max-ticks","Centroids_change","boundary-drawn","p-random","tolerance-drawn","p-speaking-drawn","n-neis","use_opponents_ratio?","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","identity_levels","record-length","id_threshold","network-change","tolerance-level","p-speaking-level","centroid_color?","use_identity?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"19","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","1.08","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","0","1","1","1","0.336","0.176","0.010054263565891468","0","0.5802130038571708","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.326","0.329","-0.26943277590641435","0","0.4240539937333472","0","0.028423539076063934","0","-0.7281215057541464","0","0.03870703355254883","0"
"23","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","1.08","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","0","1","1","1","0.336","0.176","0.010054263565891468","0","0.5802130038571708","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.263","0.267","-0.06818967902858418","0","0.49058898528952677","0","0.25299999999999995","0","-0.5665205640564938","0","0.3650538275094682","0"
"20","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","1.08","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","0","1","1","1","0.336","0.176","0.010054263565891468","0","0.5802130038571708","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.287","0.283","-0.3240695586488788","0","0.3547722544202861","0","-0.08466125070546296","0","-0.6958003445573012","0","-0.07140566544460811","0"
"22","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","1.08","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","0","1","1","1","0.336","0.176","0.010054263565891468","0","0.5802130038571708","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.292","0.332","-0.06345830659489127","0","0.47734267714298495","0","0.34187840704566147","0","-0.5628158560674679","0","0.35757151283014726","0"
"2","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","0","1","1","1","0.337","0.176","0.010054263565891447","0","0.5802130038571707","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.118","0.023","-0.1629603475945674","0","0.2503933922824069","0","-0.1618000194285627","0","-0.1847880945735043","0","-0.14728041417256282","0"
"25","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","1.08","0.65","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","364","0","1","1","1","0.336","0.176","0.010054263565891468","0","0.5802130038571708","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.263","0.3","-0.14059907628435653","0","0.4286193486210137","0","0.21826451396689525","0","-0.5659406704851317","0","0.23237530416413724","0"
"27","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","1.08","0.65","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","0","1","1","1","0.336","0.176","0.010054263565891468","0","0.5802130038571708","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.272","0.292","-0.23039800351999276","0","0.49647891245587733","0","-0.008000000000000002","0","-0.7303126504179582","0","0.22576321581930486","0"
"21","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","1.08","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","0","1","1","1","0.336","0.176","0.010054263565891468","0","0.5802130038571708","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.307","0.378","-0.22358414500942728","0","0.5394429391773061","0","0.2289236926966062","0","-0.7868322562270119","0","0.26472253028469206","0"
"24","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.49","link","1.08","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","0","1","1","1","0.336","0.176","0.010054263565891468","0","0.5802130038571708","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.287","0.292","-0.19928727426231496","0","0.5147946607073332","0","-0.33864","0","-0.6986341271098429","0","0.27472353069760713","0"
"6","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.39","link","1.08","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","0","1","1","1","0.337","0.176","0.010054263565891447","0","0.5802130038571707","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.112","0.054","-0.27471254250574606","0","0.2704569755133219","0","-0.2876840275597531","0","-0.3243840200623721","0","-0.2785496554852535","0"
"3","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","364","0","1","1","1","0.337","0.176","0.010054263565891447","0","0.5802130038571707","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.327","0.383","-0.2049180662667354","0","0.4949596760244746","0","-0.346","0","-0.673265912151664","0","0.2545265996895694","0"
"8","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.39","link","1.08","0.65","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","0","1","1","1","0.337","0.176","0.010054263565891447","0","0.5802130038571707","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.133","0.032","-0.2992867963557681","0","0.276052337127497","0","-0.3500612816269817","0","-0.37262069992166824","0","-0.33369107092851347","0"
"5","121","false","false","2","1","true","0.22","20","2","uniform","HK","365","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","365","5","2","40","0.39","link","1.08","0.543","true","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","364","0","1","1","1","0.337","0.176","0.010054263565891447","0","0.5802130038571707","0","-0.029","0","-0.471","0","0.556","0","0","1","1","1","0.14","0.031","-0.08885744262289443","0","0.25950650899823713","0","-0.09194714241065706","0","-0.09815328205217588","0","-0.06716739552499537","0"
