"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperiment"
"03/03/2022 01:40:03:749 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","cut-links-randomly?","record?","opinions","updating","set-seed?","boundary","polar_repeats","Y-opinion","draw_id_threshold","model","max-ticks","Centroids_change","boundary-drawn","p-random","tolerance-drawn","p-speaking-drawn","n-neis","use_opponents_ratio?","polarisation-each-n-steps","mode","d_threshold","record-each-n-steps","ESBG_furthest_out","identity_levels","record-length","id_threshold","network-change","tolerance-level","p-speaking-level","centroid_color?","use_identity?","conformity-drawn","N_centroids","RS","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"7","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","3","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.33","0.175","-0.0063875968992248","-0.08211627906976744","0.5703833183438671","0.5424428775788714","-0.018","-0.13","-0.4275","-0.569","0.483","0.3605","0","1","1","1","0.103","0.041","-0.18314627540362738","-0.15120739466502475","0.3012917348323143","0.2676494129444894","-0.252326861333767","-0.17843268117430452","-0.26568477322277595","-0.1837675486486569","-0.23533268862940887","-0.17001313366442317"
"15","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","5","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","999","0","1","1","1","0.336","0.177","-0.0013410852713178357","-0.024426356589147293","0.5667323758856008","0.5737849359624241","-0.048","-0.069","-0.424","-0.5215000000000001","0.4835","0.491","0","1","1","1","0.107","0.04","-0.4354959915136963","0.1996564308244795","0.31641937333915043","0.2664547471174567","-0.5216942827406257","0.242020028065155","-0.5321233015468829","0.23518434405332142","-0.5126997386148101","0.24881884394235973"
"27","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","9","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","999","0","1","1","1","0.362","0.163","-0.015209302325581393","0.026023255813953483","0.5657933820422352","0.6203196059431314","0.011","0.063","-0.512","-0.5615","0.435","0.586","0","1","1","1","0.1","0.04","0.7892099307935115","-0.4167504888636712","0.40623772747967557","0.25608813082163867","0.9172076137336493","-0.45650906345150805","0.9158923258840761","-0.4581643954861333","0.9178503878536739","-0.455516864395207"
"11","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","4","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.361","0.181","-0.04117829457364344","0.0412015503875969","0.5984108832150313","0.6092226653162846","-0.033","0.032","-0.607","-0.4435","0.444","0.623","0","1","1","1","0.088","0.029","-0.4533828195308745","0.2691536249153851","0.266905146764574","0.3055285519028293","-0.5076107141223962","0.3413057199069664","-0.5102119010711307","0.33276194499259126","-0.5017040264789143","0.3482984304683846"
"5","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.359","0.155","0.0882325581395349","0.018046511627906974","0.5754296697852711","0.6251271228276434","0.142","-0.008","-0.3985","-0.5645","0.557","0.5635","0","1","1","1","0.062","0.021","-0.0893375399381132","0.2542471101684518","0.2675940586101601","0.21137842529856807","-0.12296381924380746","0.26642038097048126","-0.1287926895011472","0.25771836744644444","-0.11912633703165126","0.26888625452638515"
"14","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","5","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.336","0.177","-0.0013410852713178357","-0.024426356589147293","0.5667323758856008","0.5737849359624241","-0.048","-0.069","-0.424","-0.5215000000000001","0.4835","0.491","0","1","1","1","0.1","0.036","0.45351159786718304","-0.2500225283449294","0.3501171952833252","0.2555941295523236","0.5502861371187073","-0.2950949153724793","0.5440024506202779","-0.3003809583318119","0.5573843593284791","-0.2887983299087804"
"19","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","7","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.321","0.151","-0.042767441860465126","-0.05565116279069768","0.5768553018254976","0.532898378726581","-0.023","-0.024","-0.6134999999999999","-0.522","0.4495","0.2845","0","1","1","1","0.057","0.023","0.09792611212678624","-0.09023702894924356","0.24126668265241252","0.17569728241533858","0.13881996230247667","-0.07448598555213769","0.11683971347764924","-0.08120213590819025","0.14634702476760086","-0.06876904961336366"
"29","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","10","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","999","0","1","1","1","0.336","0.174","0.058069767441860445","0.00601550387596899","0.58516207939081","0.5572665428300464","0.045","0.027","-0.431","-0.439","0.5794999999999999","0.4395","0","1","1","1","0.103","0.032","0.1148015807568843","-0.007006308641554464","0.2290109851365449","0.2965906612551117","0.08361323561838917","-0.05758068137329481","0.07598946709652993","-0.06713407823326897","0.10131135800835346","-0.04305083982812293"
"3","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","1","0.41","false","true","129","false","false","false","5","0.54","uniform","global","1","999","0","1","1","1","0.363","0.155","0.0901085271317829","-0.05872868217054264","0.5861707467793363","0.6136919492905468","0.061","-0.185","-0.3975","-0.594","0.6074999999999999","0.4705","0","1","1","1","0.042","0.016","-0.3788269696239914","-0.14112375739685853","0.26941787241302434","0.2357687813302487","-0.43833152080775944","-0.1464998281109921","-0.4408522729991063","-0.161202824901843","-0.4337476522477305","-0.13015818761788053"
"10","false","false","2","1","true","0.22","20","2","uniform","HK","1000","1.0E-5","uniform","0.27","uniform","uniform","64","false","1010","openly-listen","0.8","1000","5","2","40","0.39","link","1.08","0.43","true","true","uniform","2","4","0.41","false","true","129","false","false","false","5","0.36","uniform","global","1","999","0","1","1","1","0.361","0.181","-0.04117829457364344","0.0412015503875969","0.5984108832150313","0.6092226653162846","-0.033","0.032","-0.607","-0.4435","0.444","0.623","0","1","1","1","0.304","0.362","-0.16210574131703176","-0.1346681021229997","0.28990266169790624","0.606357939723688","-0.0735324719717081","-0.17899999997017216","-0.3042815704969246","-0.7415242593615219","-0.04531445973881155","0.4400359623788309"
