"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity1D.nlogo"
"regularExperimentPart51c"
"03/29/2022 05:19:23:658 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","use_identity?","id_threshold","boundary","max-ticks","record-each-n-steps","conformity-level","n-neis","p-random","mode","tolerance-level","p-speaking-level","network-change","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","polar_repeats","Y-opinion","draw_id_threshold","model","cut-links-randomly?","record?","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","updating","set-seed?","N-agents","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","sd_op1_start","median_op1_start","lower_op1_start","upper_op1_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","sd_op1_final","median_op1_final","lower_op1_final","upper_op1_final"
"26","91","1","true","0.05","0.3","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.093023255813955","0.8433853103696183","0.860383433209622","1.188953488372093","0.11","0.028","-0.2046918958191144","0.2812155882136188","-0.2493956122764009","-0.2517943932932586","-0.24587726430733312"
"19","91","1","true","0.05","0.23","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.813953488372087","0.8530392422647104","0.8797961082370709","1.200218023255814","0.117","0.036","-0.18399501411456873","0.2836840176887672","-0.22446668434093311","-0.23830056575919623","-0.21035888035995556"
"29","91","1","true","0.05","0.33","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","11.999999999999998","0.8250468319918387","0.8336977251261221","1.1875","0.14","0.062","0.10587107725740384","0.2798780918244946","0.13432838621751536","0.09201051418122017","0.15009813954498608"
"13","91","1","true","0.05","0.17","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.000000000000018","0.8290519642772158","0.863777219975277","1.1875","0.588","0.586","0.15758922569890896","0.6367545105110396","0.4020000588193598","-0.5066170549026094","0.7437175282095648"
"22","91","1","true","0.05","0.26","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.891472868217052","0.8478658788900499","0.8711027353338816","1.2014292635658914","0.101","0.016","-0.20381612415347486","0.2609103344253306","-0.23484572258266076","-0.23949242410676594","-0.22793407928738157"
"20","91","1","true","0.05","0.24","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.046511627906979","0.846653265945534","0.8570326372885684","1.1882267441860466","0.112","0.023","-0.254960653743487","0.29707707132385797","-0.30207252709719207","-0.3047150595545054","-0.29385762276685234"
"23","91","1","true","0.05","0.27","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.162790697674419","0.8485503791750649","0.8663557223333869","1.1900436046511629","0.103","0.022","-0.25557455822567715","0.2851693895615145","-0.30106518300404","-0.30788730766027006","-0.29374821590330336"
"17","91","1","true","0.05","0.21","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.147286821705428","0.8519499906098233","0.8765594239860528","1.1898013565891472","0.124","0.045","-0.12914383392171958","0.27872478299268716","-0.1437999954131731","-0.16201382065192238","-0.13493055877287463"
"6","91","1","true","0.05","0.1","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","11.999999999999998","0.8316023479160848","0.8726284176999012","1.1875","0.396","0.443","-0.002639371618736722","0.5431980335031635","0.4464033617663608","-0.600549182711092","0.4469304239474977"
"16","91","1","true","0.05","0.2","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.139534883720938","0.8565597675321939","0.8831589835121361","1.1896802325581395","0.139","0.055","-0.06046281528608987","0.29183733977753523","-0.0774325011031687","-0.08790125579275179","-0.06470681869190928"
"15","91","1","true","0.05","0.19","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.000000000000002","0.8299634346934436","0.8644734113955281","1.1875","0.374","0.41","0.07711640861273081","0.5594153367095279","0.51284127318533","-0.5350179433415653","0.5323299110405244"
"8","91","1","true","0.05","0.12","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.000000000000002","0.8354816556568792","0.8821273985473511","1.1875","0.396","0.4","0.003260123693296929","0.5364335110032495","0.40294663099151284","-0.5790252900959608","0.40792760389016924"
"11","91","1","true","0.05","0.15","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","11.999999999999996","0.8293536959459445","0.8661934669786464","1.1875","0.577","0.526","0.2009790780401407","0.6347415687072692","0.7501342719336636","-0.49264027833095836","0.7609527918970211"
"14","91","1","true","0.05","0.18","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","11.999999999999998","0.8293286103666272","0.8644549076437309","1.1875","0.608","0.577","0.1942152971274171","0.6487014587888295","0.6441310180169275","-0.497615704778965","0.7853159697873016"
"12","91","1","true","0.05","0.16","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.000000000000002","0.8305666313569642","0.8695388118000532","1.1875","0.473","0.516","0.17853922163509298","0.5973567284514982","0.6066359560298393","-0.4649937450143975","0.7103456338050267"
"10","91","1","true","0.05","0.14","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","11.999999999999998","0.8331255646093394","0.8763802969275031","1.1875","0.508","0.481","0.012792235189761962","0.5580565007583951","-0.38372973237944236","-0.4902422317895724","0.5684203079904365"
"9","91","1","true","0.05","0.13","365","365","0.45","52","0.27","openly-listen","0.648","0.5","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","11.999999999999995","0.9124554542032146","0.8126662488377647","1.1875","0.41","0.38","0.039883720930232555","0.6004367892926334","0.09","-0.4785","0.571","12.000000000000009","0.8323496834537577","0.8745269160867228","1.1875","0.383","0.401","0.07950996626999617","0.5198542963664914","0.4725437281277086","-0.46660343267867666","0.4786641540971232"
