"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity1D.nlogo"
"regularExperimentPart27a"
"03/17/2022 02:32:30:893 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","use_identity?","max-ticks","record-each-n-steps","boundary","conformity-level","n-neis","p-random","mode","id_threshold","tolerance-level","p-speaking-level","network-change","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","polar_repeats","Y-opinion","draw_id_threshold","model","cut-links-randomly?","record?","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","updating","set-seed?","N-agents","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","sd_op1_start","median_op1_start","lower_op1_start","upper_op1_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","sd_op1_final","median_op1_final","lower_op1_final","upper_op1_final"
"11","97","1","true","365","365","0.22","0.36","64","0.27","vaguely-speak","0.59","1.08","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.396","0.354","-0.09370542635658913","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","0","1","1","1","0.476","0.476","-0.10526294082600667","0.47779599870358336","0.3669958314938868","-0.5850000000000001","0.36700000000000005"
"23","97","1","true","365","365","0.22","0.36","64","0.34","vaguely-speak","0.59","1.08","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.396","0.354","-0.09370542635658913","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","0","1","1","1","0.476","0.476","-0.10526294082600667","0.47779599870358336","0.3669958314938868","-0.5850000000000001","0.36700000000000005"
"17","97","1","true","365","365","0.22","0.36","64","0.34","openly-listen","0.59","1.08","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.396","0.354","-0.09370542635658913","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","0","1","1","1","0.515","0.516","-0.10495763653945732","0.5277680794493619","0.20919553377660846","-0.6306279285757181","0.41271680768644664"
"5","97","1","true","365","365","0.22","0.36","64","0.27","openly-listen","0.59","1.08","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.396","0.354","-0.09370542635658913","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","0","1","1","1","0.515","0.516","-0.10495763653945732","0.5277680794493619","0.20919553377660846","-0.6306279285757181","0.41271680768644664"
"29","97","1","true","365","365","0.22","0.36","52","0.27","openly-listen","0.59","1.08","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9287682610964322","0.8124192758716707","1.1875","0.396","0.354","-0.09370542635658917","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","12.000000000000004","0.928768261096432","0.812419275871671","1.1875","0.473","0.473","-0.06893788049481178","0.48627250170994585","0.2089781632117987","-0.5483283038427239","0.4031263691079069"
"30","97","1","true","365","365","0.22","0.36","52","0.27","openly-listen","0.59","0.648","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000004","0.9287682610964322","0.8124192758716707","1.1875","0.396","0.354","-0.09370542635658917","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","12.000000000000007","0.8216100812796889","0.8319621666190722","1.1875","0.461","0.459","-0.03403254941433652","0.4753866956454949","0.2337665632379903","-0.5061836395239667","0.4300446677442634"
"27","97","1","true","365","365","0.22","0.36","52","0.27","openly-listen","0.49","1.08","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000009","0.9287682610964318","0.8124192758716706","1.1875","0.396","0.354","-0.09370542635658914","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","12.000000000000004","0.9287682610964318","0.8124192758716707","1.1875","0.477","0.478","-0.06486451530227613","0.49015224629111975","0.2144108000385194","-0.5503331173002362","0.4106639627066102"
"24","97","1","true","365","365","0.22","0.36","64","0.34","vaguely-speak","0.59","0.648","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.396","0.354","-0.09370542635658913","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","0","1","1","1","0.491","0.492","-0.09117016066591542","0.4939131922106772","0.396180892354089","-0.5874276769792636","0.39699999999999996"
"3","97","1","true","365","365","0.22","0.36","64","0.27","openly-listen","0.49","1.08","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.396","0.354","-0.09370542635658914","0.5741279991634703","-0.078","-0.5974999999999999","0.3795","0","1","1","1","0.519","0.519","-0.10089735634295424","0.5304846899853705","0.21403878837387255","-0.6292599572113686","0.4192328430466747"
"25","97","1","true","365","365","0.22","0.36","52","0.27","openly-listen","0.39","1.08","0.95","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","12.000000000000005","0.9287682610964317","0.812419275871671","1.1875","0.396","0.354","-0.09370542635658916","0.5741279991634701","-0.078","-0.5974999999999999","0.3795","12","0.928768261096432","0.8124192758716704","1.1875","0.493","0.493","-0.07485945529096404","0.5059686734306014","0.21519361039566215","-0.5748026691112389","0.41685914449922157"
