"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity1D.nlogo"
"regularExperimentPart22"
"03/14/2022 03:36:29:338 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","use_identity?","max-ticks","record-each-n-steps","boundary","conformity-level","n-neis","p-random","mode","id_threshold","tolerance-level","p-speaking-level","network-change","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","polar_repeats","Y-opinion","draw_id_threshold","model","cut-links-randomly?","record?","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","updating","set-seed?","N-agents","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","sd_op1_start","median_op1_start","lower_op1_start","upper_op1_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","sd_op1_final","median_op1_final","lower_op1_final","upper_op1_final"
"28","101","1","true","365","365","0.22","0.36","64","0.27","vaguely-speak","0.49","0.648","0.43","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294597","0.5852405902273117","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.528","0.528","-0.06442147906825374","0.5307626827386334","-0.5729985742165223","-0.5730000000000001","0.4845317995197823"
"8","101","1","true","365","365","0.22","0.36","64","0.27","openly-listen","0.49","1.08","0.543","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294597","0.5852405902273117","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.308","0.307","0.08150543789818292","0.3402856230972413","-0.19788478708761753","-0.20517919828033881","0.420972185051679"
"20","101","1","true","365","365","0.22","0.36","64","0.27","vaguely-speak","0.39","1.08","0.543","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294576","0.5852405902273119","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.55","0.55","-0.020812241458059336","0.5522571410495979","-0.5499999999736384","-0.5499999999999999","0.5509999999999999"
"21","101","1","true","365","365","0.22","0.36","64","0.27","vaguely-speak","0.39","1.08","0.65","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294576","0.5852405902273119","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.554","0.554","-0.026965388023575877","0.5562717013145004","-0.5599999999886879","-0.5599999999999999","0.5489999999999999"
"3","101","1","true","365","365","0.22","0.36","64","0.27","openly-listen","0.39","1.08","0.65","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294576","0.5852405902273119","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.305","0.303","0.06486917527495624","0.3352602309386535","-0.20585035766552856","-0.2174331407579368","0.39903825753793565"
"7","101","1","true","365","365","0.22","0.36","64","0.27","openly-listen","0.49","1.08","0.43","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294597","0.5852405902273117","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.357","0.355","0.00590096931884081","0.38655243009854345","-0.21643684081684156","-0.3356145077927247","0.3900887646053342"
"9","101","1","true","365","365","0.22","0.36","64","0.27","openly-listen","0.49","1.08","0.65","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294597","0.5852405902273117","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.305","0.303","0.05840794471478679","0.3349667942624928","-0.2138997851936106","-0.22507126812698694","0.39165817817282644"
"1","101","1","true","365","365","0.22","0.36","64","0.27","openly-listen","0.39","1.08","0.43","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294576","0.5852405902273119","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.363","0.36","0.05972732184260174","0.39401382517899475","-0.213846475482882","-0.2842885835151736","0.451998108904788"
"33","101","1","true","365","365","0.22","0.36","64","0.27","vaguely-speak","0.59","1.08","0.65","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294585","0.5852405902273118","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.55","0.55","-0.030805288010718437","0.5522644383949786","-0.5599999999816742","-0.5599999999999999","0.5409999999999999"
"29","101","1","true","365","365","0.22","0.36","64","0.27","vaguely-speak","0.49","0.648","0.543","link","true","uniform","2","0.41","false","true","false","false","false","5","uniform","global","1","20","2","uniform","HK","false","false","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","1","true","129","364","0","1","1","1","0.401","0.349","0.009852713178294597","0.5852405902273117","-0.006","-0.524","0.46799999999999997","0","1","1","1","0.558","0.559","-0.030622145676926893","0.5608064032606673","-0.5679912684515017","-0.5680000000000001","0.549999879025623"
