"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperimentPart44"
"03/27/2022 10:32:18:502 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","id_threshold","boundary","max-ticks","p-random","n-neis","mode","record-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","network-change","tolerance-level","p-speaking-level","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","cut-links-randomly?","record?","updating","set-seed?","polar_repeats","Y-opinion","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"17","51","true","2","0.35","0.21","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.100775193798448","0.8574572531851783","0.8931266439224336","1.1890746124031009","0.061","0.044","-0.2828588603618769","0.24541444449807615","0.27229715572441415","0.28878580340335047","-0.3373660415775321","0.3094581864800921","-0.3490566289150595","0.2964598151864384","-0.3229147540450915","0.3188203147367985"
"25","51","true","2","0.35","0.29","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.007751937984498","0.8429562704258233","0.8622185033421184","1.1876211240310077","0.11","0.06","-0.2271008115577081","0.04230437036555112","0.2727695355661339","0.258561066119446","-0.2795189884494955","0.06851605527222068","-0.2936785895150748","0.030850240938247533","-0.23638792100473094","0.09263300090633819"
"20","51","true","2","0.35","0.24","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.100775193798455","0.8517989181451674","0.8806206070952257","1.1890746124031009","0.075","0.044","-0.1716406760881666","0.2350300244037604","0.2638514532177203","0.2885818725966966","-0.20490608328490698","0.2862550072686428","-0.22084359131119358","0.27739637290281277","-0.1890989072271858","0.2993778531410145"
"26","51","true","2","0.35","0.3","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","11.682170542635655","0.8549820226939862","0.873591902910444","1.1825339147286822","0.056","0.033","-0.2545618245261137","0.19078344485458965","0.2510105522126464","0.27369718859245423","-0.29194237640567866","0.23619684535087632","-0.29918231090126346","0.22192094792396472","-0.2836585231623869","0.243833506680962"
"23","51","true","2","0.35","0.27","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.240310077519391","0.8484453800399997","0.8763038676539145","1.1912548449612403","0.068","0.043","-0.3048681167601548","0.16933915554002532","0.27002840038694254","0.2884471516193425","-0.3609890882059672","0.2158032620038372","-0.3734364689136568","0.20076781798673482","-0.35104441861749475","0.23733832651804063"
"22","51","true","2","0.35","0.26","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.124031007751936","0.8504343851567109","0.8641636374967927","1.189437984496124","0.115","0.055","-0.20644555278527896","0.04814008544868855","0.2520421802985988","0.2638334324170028","-0.23541705657433482","0.06987930977602577","-0.263326359573798","0.040721711273550364","-0.21552522297388355","0.11661702831750212"
"19","51","true","2","0.35","0.23","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.310077519379846","0.8492957198145229","0.8743616706135241","1.19234496124031","0.094","0.05","-0.13686820532459326","-6.047287086121059E-4","0.2865045005307975","0.2772622751611902","-0.16425869149822916","-0.0011922325006471517","-0.1730900209345345","-0.012195480883239415","-0.14906513161037896","0.014783187814081857"
"21","51","true","2","0.35","0.25","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.25581395348837","0.8437489952190911","0.8717744478641447","1.1914970930232558","0.113","0.055","-0.1458983202466878","0.08154228728607708","0.2732548686602144","0.28967795608328095","-0.17045956089169334","0.1021163275109627","-0.18340264069623263","0.08333548745994768","-0.1556055021019781","0.12289274714121033"
"24","51","true","2","0.35","0.28","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.201550387596905","0.8429180293663903","0.8646828242941419","1.1906492248062015","0.1","0.045","-0.2653738727546745","0.04067984476722056","0.2657401805199408","0.25906778248795215","-0.30637099836734166","0.06727019784910432","-0.3205706760951161","0.045343984667856586","-0.2935798787919466","0.09206512088653238"
"15","51","true","2","0.35","0.19","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.263565891472863","0.8545019254127417","0.8804980254492559","1.1916182170542635","0.161","0.071","-0.14804032651194915","0.15209116950115392","0.29700931395758234","0.3676860202135323","-0.1903066649173126","0.23921861778288217","-0.20004830952317607","0.2105625938058581","-0.16069985210064947","0.2665771697623609"
"12","51","true","2","0.35","0.16","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.302325581395348","0.8702405764952201","0.9132937347336102","1.1922238372093024","0.137","0.05","-0.18110804576512285","0.12048369278086796","0.3263178586414461","0.3217254161074948","-0.23640020908785278","0.1656196300977146","-0.24705349849575833","0.14256553560444235","-0.2254920960887885","0.18150908344892397"
"18","51","true","2","0.35","0.22","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000004","0.8976987081569738","0.8123839158958676","1.1875","0.342","0.16","-0.05993798449612404","0.060705426356589154","0.5744216079014011","0.5615222808789064","-0.188","0.077","-0.5589999999999999","-0.389","0.4325","0.542","12.217054263565895","0.8493557133257089","0.8760864998013922","1.190891472868217","0.111","0.058","-0.20611022855764","0.06701814668075423","0.2922688388538418","0.28669588157979925","-0.27224551458325946","0.09637869209610034","-0.2925682812767795","0.08219390361477755","-0.24133473829669685","0.12818907294479287"
