"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity.nlogo"
"regularExperimentPart54"
"03/30/2022 05:56:41:897 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","id_threshold","boundary","max-ticks","p-random","n-neis","mode","record-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","network-change","tolerance-level","p-speaking-level","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","conformity-level","threshold_drawn","identity_type","X-opinion","cut-links-randomly?","record?","updating","set-seed?","polar_repeats","Y-opinion","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","sd_op1_start","sd_op2_start","median_op1_start","median_op2_start","lower_op1_start","lower_op2_start","upper_op1_start","upper_op2_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","sd_op1_final","sd_op2_final","median_op1_final","median_op2_final","lower_op1_final","lower_op2_final","upper_op1_final","upper_op2_final"
"22","106","true","2","0.05","0.26","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","10.635658914728687","0.8701195532061692","0.8905841072887908","1.1661821705426356","0.105","0.03","-0.17801531164980214","0.2092161632184674","0.2784664208962982","0.24102667939825714","-0.21436030573823428","0.21192442863446703","-0.2211688847663773","0.18206169880994477","-0.20899227484975483","0.22024978004459567"
"15","106","true","2","0.05","0.19","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.999999999999996","0.8599569103383563","0.8899211871689695","1.1875","0.184","0.085","0.026582670578048848","0.24246667070042127","0.3785640757575025","0.3652519811868267","-0.0427628422943875","0.35280130791878594","-0.0720853052430069","0.3402362024162102","0.00935628492233418","0.3631601156394"
"21","106","true","2","0.05","0.25","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.302325581395346","0.8456079226467862","0.8640628576303322","1.1922238372093024","0.105","0.047","-0.17921258498036385","0.18677430010867796","0.2637234465197274","0.23925272013614549","-0.2022209827334242","0.17836993950830599","-0.2102888054407746","0.16208424146668715","-0.19653978314943077","0.19290571882833712"
"23","106","true","2","0.05","0.27","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","10.930232558139533","0.862583010845533","0.888029518753925","1.1707848837209303","0.102","0.028","-0.17053444200162834","0.25751443648313443","0.2797880833293183","0.2479276389500297","-0.20731032550022532","0.2637612771523727","-0.22280384424854535","0.24944784964871672","-0.2017656092205851","0.2788805159046503"
"20","106","true","2","0.05","0.24","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.000000000000005","0.8568347994245881","0.889282052523374","1.1875","0.145","0.043","-0.1984216566916469","0.1991037120611771","0.33267390198377667","0.259487457632896","-0.2647705050187306","0.20837249981218975","-0.28530568444980453","0.19328920067286406","-0.255841596296603","0.21859617391424963"
"17","106","true","2","0.05","0.21","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.999999999999998","0.8494670932971435","0.8699678967801249","1.1875","0.189","0.079","-0.029308432532408377","0.11122979859397902","0.3792522223304022","0.29696457632476864","-0.09220664104724806","0.10040129410432655","-0.14021445057607257","0.06893813207776461","-0.040632973138764295","0.14129822385515584"
"14","106","true","2","0.05","0.18","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.999999999999996","0.858766021168981","0.9109711443313324","1.1875","0.209","0.091","-0.07803568473892883","0.27275426476887643","0.42211836544434195","0.3714023909166179","-0.22288822107966158","0.3781490144662339","-0.24668706592457507","0.33526604722701453","-0.1646277917131393","0.3936892461398237"
"16","106","true","2","0.05","0.2","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.007751937984494","0.8450990147303353","0.8711625532537219","1.1876211240310077","0.199","0.081","0.047139352128855706","-0.011811723728730013","0.37892375206047485","0.33805749118796985","-0.0026864924276285397","-0.057193894839964926","-0.025677448189686654","-0.0856433682742744","0.05933294104056576","-0.02400987965535461"
"18","106","true","2","0.05","0.22","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.829457364341085","0.8583715273863064","0.8840143741405296","1.1848352713178294","0.131","0.053","-0.13226381788246808","0.1734713505731678","0.31070521144403396","0.2782913963346249","-0.15797809782400024","0.1767734235751298","-0.1691983547636307","0.13173746112714796","-0.1326001454580601","0.2132626766819852"
"12","106","true","2","0.05","0.16","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","12.000000000000002","0.856708953120629","0.9108021112616126","1.1875","0.232","0.111","-0.15149298327980415","0.2535619399187551","0.49341184490027823","0.36893457030394444","-0.375395198774396","0.33991484931926413","-0.40459556455300827","0.3135255826216386","-0.031","0.35690312994603146"
"13","106","true","2","0.05","0.17","365","0.27","52","openly-listen","365","0.8","5","2","40","link","0.648","0.5","true","uniform","2","0.41","false","true","129","false","false","false","5","0.45","uniform","global","1","false","false","1","true","20","2","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","364","12.000000000000007","0.9198786778580879","0.8126689043532331","1.1875","0.347","0.176","-0.02863565891472868","0.06648062015503875","0.5827961417005159","0.5918203789576804","-0.028","0.101","-0.507","-0.471","0.41100000000000003","0.562","11.999999999999995","0.8558573925949272","0.9013005482782647","1.1875","0.199","0.084","-0.052911033344160585","0.16183251667470597","0.41423133776297066","0.3764487126272842","-0.18633554616056186","0.204477807600681","-0.192640026953399","0.1601209928975525","-0.17365211373004225","0.2571175382809767"
