"BehaviorSpace results (NetLogo 6.2.2)"
"groupFormation_identity4D.nlogo"
"regularExperimentPart39a"
"03/18/2022 14:46:07:236 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","use_identity?","opinions","boundary","conformity-level","id_threshold","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"27","1","true","4","0.108","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12","0.8407172427758479","0.8724319741086919","1.1875","0.289","0.116","-0.020444429075399156","0.04085455656005413","0.07190958630950153","-0.14785146600910268","0.4786312204352773","0.6320704540989612","0.5034750255397418","0.5611656155330597","-0.06806997257064078","0.036","-0.06806997257064078","0.036","-0.4467678726999387","-0.631537792956754","-0.4467678726999387","-0.631537792956754","0.32797300646505745","0.635656353111024","0.32797300646505745","0.635656353111024"
"9","1","true","4","0.102","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12.000000000000004","0.8415969763137088","0.8743315639495003","1.1875","0.252","0.115","0.011825848873006885","0.03792862183662972","0.05544509097393627","-0.15275301696078444","0.4660204290498341","0.6141260150512191","0.4950231215160589","0.5454112412577109","-0.044354298357614945","0.113","-0.044354298357614945","0.113","-0.2979810541790977","-0.6125795438090231","-0.2979810541790977","-0.6125795438090231","0.3327142765565403","0.5759242205938104","0.3327142765565403","0.5759242205938104"
"24","1","true","4","0.107","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12.000000000000002","0.8407688573961211","0.8731001575181707","1.1875","0.263","0.112","-0.016763261682918404","0.04488040847541442","0.04228176732953648","-0.12455547409024426","0.4680423143638293","0.6198537823758157","0.4961482714743394","0.5652229166560803","-0.08983335473151097","0.036","-0.08983335473151097","0.036","-0.3864431162475004","-0.6227960889613797","-0.3864431162475004","-0.6227960889613797","0.343938614227501","0.596833420294305","0.343938614227501","0.596833420294305"
"15","1","true","4","0.104","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12","0.8404219190977363","0.8720563091643029","1.1875","0.272","0.101","-0.02953831554865586","0.04854239724336667","0.09738925187978008","-0.13013585536462519","0.4972199722641766","0.6096861543914743","0.5082724028994549","0.5662670079292822","-0.1642576251593043","0.036","-0.1642576251593043","0.036","-0.4281051575470335","-0.5729689009355315","-0.4281051575470335","-0.5729689009355315","0.359718220012","0.6173277843681007","0.359718220012","0.6173277843681007"
"3","1","true","4","0.1","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12","0.8392345989354661","0.8714586884364898","1.1875","0.267","0.11","-0.014090679237283249","0.02679837262894001","0.03561870017327021","-0.10200210284775545","0.4885259959637565","0.6155731402172029","0.510331775941885","0.5630704270911352","0.045872168554786256","0.084","0.045872168554786256","0.084","-0.376520505460499","-0.6347273416544537","-0.376520505460499","-0.6347273416544537","0.33726724972991196","0.5625","0.33726724972991196","0.5625"
"21","1","true","4","0.106","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12","0.840665075559617","0.8725654722182762","1.1875","0.282","0.115","-0.012576193744704374","0.03961860385158047","0.04717405805723659","-0.15626169118357874","0.46927111248980574","0.6266536290060065","0.503701941958785","0.5628780795567828","-0.09666197828659838","0.036","-0.09666197828659838","0.036","-0.384121214224734","-0.630969926594001","-0.384121214224734","-0.630969926594001","0.3144406636493863","0.6236751369334727","0.3144406636493863","0.6236751369334727"
"12","1","true","4","0.103","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12.000000000000004","0.8398386697998532","0.8714311157886883","1.1875","0.285","0.103","-0.018531280523390266","0.03932976573941629","0.05622835319946776","-0.1301968743751959","0.47985217945373637","0.6059737174388106","0.5247114284795388","0.5718892223948328","-0.13213876920509288","0.113","-0.13213876920509288","0.113","-0.35","-0.5884290982351756","-0.35","-0.5884290982351756","0.32303087911084116","0.5625","0.32303087911084116","0.5625"
"30","1","true","4","0.109","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","11.999999999999996","0.8395155677850271","0.8710318739654453","1.1875","0.291","0.112","-0.019346882482432017","0.05434992979267969","0.05187651813029633","-0.165601432028128","0.45163420955801803","0.6144909536033277","0.49612001493927477","0.5719658583386312","-0.08352283236107721","0.113","-0.08352283236107721","0.113","-0.36513269435854734","-0.6073627072205878","-0.36513269435854734","-0.6073627072205878","0.3324677252031963","0.6266015694330418","0.3324677252031963","0.6266015694330418"
"18","1","true","4","0.105","0.45","0.59","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941233","0.812614427782931","1.1875","0.277","0.084","-0.033100775193798435","0.006100775193798462","-0.0032480620155038815","-0.08737984496124031","0.5534723181447463","0.5999171406973792","0.5612732182141743","0.5891167407892096","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12","0.8394486912049484","0.8712761122513714","1.1875","0.268","0.113","-0.009437100647937706","0.040854467270210665","0.03919914447744215","-0.13943637433691025","0.47339068648351057","0.6267243875000256","0.5046418921546247","0.5587677289925607","-0.11378155571288529","0.084","-0.11378155571288529","0.084","-0.3387260202321227","-0.6323899794520896","-0.3387260202321227","-0.6323899794520896","0.34761514903498336","0.6090769761438027","0.34761514903498336","0.6090769761438027"
"25","1","true","4","0.108","0.45","0.39","0.648","0.5","openly-listen","0.27","52","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","12.000000000000002","0.9120932717941228","0.8126144277829312","1.1875","0.278","0.084","-0.03310077519379845","0.006100775193798426","-0.0032480620155038884","-0.08737984496124035","0.5534723181447464","0.5999171406973793","0.5612732182141744","0.5891167407892095","-0.076","0.009","-0.031","-0.149","-0.524","-0.5235000000000001","-0.524","-0.5235000000000001","0.3705","0.54","0.3705","0.54","12.000000000000004","0.8399621713040418","0.8708167125012751","1.1875","0.273","0.109","-7.953043543210782E-5","0.03593338832289987","0.07318618223521067","-0.15800404362894044","0.4828216678899036","0.610594405277635","0.5004706542630772","0.5657206606368506","-0.07348057008631675","0.036","-0.07348057008631675","0.036","-0.34152490555565307","-0.6215419222748535","-0.34152490555565307","-0.6215419222748535","0.3461839725835404","0.5816730367010214","0.3461839725835404","0.5816730367010214"
